Family,Status,species,Authorityu,Reference,Year
Malvaceae,,Abutilon eremitopetalum,Caum,Occas. Pap. Bernice Pauahi Bishop Mus. 10(15): 7,1934
Malvaceae,,Abutilon incanum,(Link) Sweet,Hort. Brit. 1: 53,1826
Malvaceae,,Abutilon menziesii,Seem.,Fl. Vit. 15,1865
Fabaceae,!,Acacia confusa,Merr.,Philipp. J. Sci. 5(1): 27–28,1910
Fabaceae,!,Acacia farnesiana,(L.) Willd.,Sp. Pl. 4(2): 1083–1084,1806
Fabaceae,,Acacia kauaiensis,Hillebr.,Fl. Hawaiian Isl. 113,1888
Fabaceae,,Acacia koa,A. Gray,"U.S. Expl. Exped., Phan. 1: 480–481",1854
Fabaceae,,Acacia koaia,W. Hillebrand,Fl. Hawaiian Isl. 113,1888
Fabaceae,!,Acacia mearnsii,De Wild.,Pl. Bequaert. 3(1): 62–63,1925
Euphorbiaceae,!,Acalypha cuspidata,Jacq.,"Pl. Hort. Schoenbr. 2: 63, pl. 243",1797
Asteraceae,!,Acanthospermum hispidum,DC.,Prodr. 5: 522,1836
Araceae,,Adelonema wallisii,(Regel) S.Y. Wong & Croat,Syst. Bot. 41(1): 43,2016
Araucariaceae,,Agathis robusta,(C. Moore ex F. Muell.) F.M. Bailey,Syn. Queensl. Fl. 498,1883
Asparagaceae,!,Agave sisalana,Perrine ex Engelm.,"Trans. Acad. Sci. St. Louis 3: 305, 316, pl. 2–4",1875
Asteraceae,!,Ageratina adenophora,(Spreng.) R.M. King & H. Rob.,Phytologia 19(4): 211,1970
Asteraceae,!!,Ageratum conyzoides,L.,Sp. Pl. 2: 839,1753
Asteraceae,!,Ageratum houstonianum,Mill.,Gard. Dict. (ed. 8) no. 2,1768
Araceae,,Aglaonema commutatum,Schott,Syn. Aroid. 123,1856
Araceae,,Aglaonema crispum,(Pitcher & Manda) Nicolson,Baileya 15: 126,1968
Araceae,,Aglaonema marantifolium,Blume,Rumphia 1: 153,1837
Araceae,!,Aglaonema modestum,Schott ex Engl.,Monogr. Phan. 2: 442,1897
Araceae,*,Aglaonema oblongifolium,(Roxb.) Kunth,Enum. Pl. 3: 55,1841
Poaceae,,Agrostis avenacea,J.F. Gmel.,"Syst. Nat., ed. 13[bis] 2(1): 171",1791
