"","Hawaii"
"Abelmoschus moschatus",1
"Aberia gardneri",1
"Abutilon grandifolium",1
"Abutilon indicum",1
"Acacia aneura",1
"Acacia confusa",1
"Acacia decurrens",1
"Acacia mearnsii",1
"Acacia melanoxylon",1
"Acacia parramattensis",1
"Acacia smallii",1
"Acanthocereus tetragonus",1
"Adenanthera pavonina",1
"Agave rigida",1
"Agave sisalana",1
"Ageratina riparia",1
"Ailanthus altissima",1
"Ailanthus glandulosa",1
"Albizia chinensis",1
"Albizia falcata",1
"Albizia falcataria",1
"Albizia lebbeck",1
"Albizia saman",1
"Albizia saponaria",1
"Albizia stipulata",1
"Aleurites cordata",1
"Aleurites montana",1
"Aleurites montanus",1
"Aleurites triloba",1
"Alnus nepalensis",1
"Alstonia macrophylla",1
"Alternanthera brasiliana",1
"Alternanthera dentata",1
"Archontophoenix alexandrae",1
"Ardisia crenata",1
"Ardisia elliptica",1
"Ardisia polycephala",1
"Asparagus aethiopicus",1
"Asparagus densiflorus",1
"Asparagus sprengeri",1
"Atriplex semibaccata",1
"Bambusa vulgaris",1
"Barleria lupulina",1
"Bauhinia monandra",1
"Bischofia javanica",1
"Bixa orellana",1
"Bocconia frutescens",1
"Brassaia actinophylla",1
"Breynia disticha",1
"Breynia nivosa",1
"Broussonetia papyrifera",1
"Brugmansia arborea",1
"Brugmansia ×candida",1
"Bruguiera gymnorhiza",1
"Bruguiera gymnorrhiza",1
"Bruguiera parviflora",1
"Bruguiera sexangula",1
"Buddleja asiatica",1
"Buddleja davidii",1
"Buddleja madagascariensis",1
"Caesalpinia decapetala",1
"Caesalpinia major",1
"Caesalpinia sepiaria",1
"Cajanus cajan",1
"Cajanus indicus",1
"Calophyllum inophyllum",1
"Calotropis gigantea",1
"Calotropis procera",1
"Carica papaya",1
"Cascabela thevetia",1
"Cassia alata",1
"Cassia didymobotrya",1
"Cassia glauca",1
"Cassia laevigata",1
"Cassia multijuga",1
"Cassia suffruticosa",1
"Casuarina equisetifolia",1
"Casuarina glauca",1
"Cecropia obtusifolia",1
"Cedrela toona",1
"Cerbera thevetia",1
"Cereus grandiflorus",1
"Cereus hildmannianus",1
"Cereus peruvianus",1
"Cereus uruguayanus",1
"Cestrum aurantiacum",1
"Cestrum nocturnum",1
"Cestrum parqui",1
"Chrysophyllum oliviforme",1
"Cinchona pubescens",1
"Cinchona succirubra",1
"Cinnamomum burmannii",1
"Cinnamomum camphora",1
"Cinnamomum verum",1
"Cissus rotundifolia",1
"Citharexylum caudatum",1
"Citharexylum spinosum",1
"Clerodendrum chinense",1
"Clerodendrum glabrum",1
"Clerodendrum indicum",1
"Clerodendrum inerme",1
"Clerodendrum macrostegium",1
"Clerodendrum philippinum",1
"Clerodendrum squamatum",1
"Clidemia hirta",1
"Clusia rosea",1
"Coccoloba uvifera",1
"Cocos nucifera",1
"Coffea arabica",1
"Colubrina asiatica",1
"Cordia dichotoma",1
"Cordia subcordata",1
"Cordyline fruticosa",1
"Corymbia calophylla",1
"Corymbia citriodora",1
"Corymbia ficifolia",1
"Corymbia gummifera",1
"Corynocarpus laevigatus",1
"Cotoneaster adpressus",1
"Cotoneaster nanshan",1
"Cotoneaster pannosus",1
"Crassula ovata",1
"Crotalaria anagyroides",1
"Crotalaria assamica",1
"Crotalaria longirostrata",1
"Crotalaria micans",1
"Cuphea hyssopifolia",1
"Cuphea ignea",1
"Curcas curcas",1
"Cyathea cooperi",1
"Cypholophus macrocephalus",1
"Datura arborea",1
"Datura fastuosa",1
"Datura innoxia",1
"Datura inoxia",1
"Datura metel",1
"Datura meteloides",1
"Delonix regia",1
"Desmodium cajanifolium",1
"Desmodium sandwicense",1
"Desmodium uncinatum",1
"Dillenia suffruticosa",1
"Dovyalis hebecarpa",1
"Dracaena terminalis",1
"Elaeagnus parvifolia",1
"Eriobotrya japonica",1
"Eriocereus martinii",1
"Eucalyptus albens",1
"Eucalyptus amygdalina",1
"Eucalyptus botryoides",1
"Eucalyptus bridgesiana",1
"Eucalyptus calophylla",1
"Eucalyptus cinerea",1
"Eucalyptus citriodora",1
"Eucalyptus cladocalyx",1
"Eucalyptus cornuta",1
"Eucalyptus crebra",1
"Eucalyptus deanei",1
"Eucalyptus deglupta",1
"Eucalyptus ficifolia",1
"Eucalyptus gomphocephala",1
"Eucalyptus goniocalyx",1
"Eucalyptus gummifera",1
"Eucalyptus maidenii",1
"Eucalyptus marginata",1
"Eucalyptus microcorys",1
"Eucalyptus paniculata",1
"Eucalyptus pilularis",1
"Eucalyptus raveretiana",1
"Eucalyptus resinifera",1
"Eucalyptus robusta",1
"Eucalyptus rostrata",1
"Eucalyptus rudis",1
"Eucalyptus salicifolia",1
"Eucalyptus saligna",1
"Eucalyptus tereticornis",1
"Eucalyptus viminalis",1
"Eugenia cumini",1
"Eugenia jambolana",1
"Eugenia jambos",1
"Eugenia malaccensis",1
"Eugenia nervosa",1
"Eugenia uniflora",1
"Eupatorium riparium",1
"Euphorbia pulcherrima",1
"Euphorbia tirucalli",1
"Falcataria moluccana",1
"Ficus macrophylla",1
"Ficus nota",1
"Ficus retusa",1
"Ficus rubiginosa",1
"Ficus thonningii",1
"Filicium decipiens",1
"Fitchia speciosa",1
"Flemingia strobilifera",1
"Flindersia brayleyana",1
"Fraxinus biltmoreana",1
"Fraxinus uhdei",1
"Fuchsia boliviana",1
"Fuchsia hybrida",1
"Fuchsia magellanica",1
"Fuchsia paniculata",1
"Gardenia taitensis",1
"Gmelina asiatica",1
"Gossypium brasiliense",1
"Gossypium herbaceum",1
"Gossypium mexicanum",1
"Gossypium peruvianum",1
"Gossypium purpurascens",1
"Grevillea banksii",1
"Grevillea robusta",1
"Haematoxylum campechianum",1
"Harrisia bonplandii",1
"Harrisia martinii",1
"Harrisia pomanensis",1
"Hebe speciosa",1
"Heliocarpus popayanensis",1
"Heliotropium foertherianum",1
"Herpetica alata",1
"Heterocentron subtriplinervium",1
"Hibiscus abelmoschus",1
"Hibiscus calyphyllus",1
"Hibiscus macrophyllus",1
"Hibiscus mutabilis",1
"Hibiscus tiliaceus",1
"Holmskioldia sanguinea",1
"Hylocereus costaricensis",1
"Hylocereus undatus",1
"Hypericum canariense",1
"Ichthyomethia piscipula",1
"Ilex aquifolium",1
"Ilex cassine",1
"Ilex paraguariensis",1
"Ilex paraguayensis",1
"Impatiens oliveri",1
"Impatiens sodenii",1
"Jacaranda acutifolia",1
"Jacaranda mimosifolia",1
"Jambosa jambos",1
"Jambosa malaccensis",1
"Janipha manihot",1
"Jatropha curcas",1
"Jatropha manihot",1
"Kunzea ericoides",1
"Kunzea peduncularis",1
"Lantana aculeata",1
"Lantana montevidensis",1
"Lantana sellowiana",1
"Lantana tiliifolia",1
"Lantana trifolia",1
"Leonotis leonurus",1
"Leptospermum ericoides",1
"Leptospermum morrisonii",1
"Leptospermum petersonii",1
"Ligustrum sinense",1
"Livistona chinensis",1
"Lophostemon confertus",1
"Lythrum maritimum",1
"Macaranga mappa",1
"Macaranga tanarius",1
"Mallotus philippensis",1
"Malvaviscus penduliflorus",1
"Mangifera indica",1
"Manihot esculenta",1
"Manihot glaziovii",1
"Manihot manihot",1
"Manihot utilissima",1
"Medinilla venosa",1
"Meibomia uncinata",1
"Melaleuca leucadendra",1
"Melaleuca leucadendron",1
"Melaleuca quinquenervia",1
"Melastoma candidum",1
"Melastoma sanguineum",1
"Melochia umbellata",1
"Messerschmidia argentea",1
"Metrosideros macropus",1
"Miconia calvescens",1
"Mimosa diplotricha",1
"Mimosa invisa",1
"Montanoa hibiscifolia",1
"Morella faya",1
"Morinda citrifolia",1
"Morus papyrifera",1
"Muehlenbeckia axillaris",1
"Muntingia calabura",1
"Musa ornata",1
"Musa sapientum",1
"Musa troglodytarum",1
"Musa ×paradisiaca",1
"Myrica faya",1
"Myrica pusilla",1
"Nicotiana glauca",1
"Nopalea cochenillifera",1
"Ochna kirkii",1
"Ochna serrulata",1
"Ochna thomasiana",1
"Odontonema strictum",1
"Olea africana",1
"Olea chrysophylla",1
"Olea ferruginea",1
"Olea verrucosa",1
"Opuntia cochenillifera",1
"Opuntia compressa",1
"Opuntia ficus-indica",1
"Opuntia monacantha",1
"Oxyspora paniculata",1
"Paederia foetida",1
"Paederia scandens",1
"Paraserianthes falcataria",1
"Parkinsonia aculeata",1
"Pentas lanceolata",1
"Persea americana",1
"Petrea volubilis",1
"Phoenix dactylifera",1
"Photinia arbutifolia",1
"Photinia davidiana",1
"Phragmites phragmites",1
"Physalis peruviana",1
"Pimenta dioica",1
"Pimenta officinalis",1
"Pinus caribaea",1
"Pinus patula",1
"Pinus pinaster",1
"Piper methysticum",1
"Piscidia erythrina",1
"Piscidia piscipula",1
"Pisonia grandis",1
"Pithecellobium dulce",1
"Pithecellobium saman",1
"Pittosporum pentandrum",1
"Pittosporum undulatum",1
"Pittosporum viridiflorum",1
"Pluchea carolinensis",1
"Pluchea indica",1
"Pluchea odorata",1
"Pluchea symphytifolia",1
"Plumbago auriculata",1
"Plumbago capensis",1
"Poinciana regia",1
"Poinsettia pulcherrima",1
"Polygonum uvifera",1
"Prosopis articulata",1
"Prosopis pallida",1
"Prosopis velutina",1
"Psidium guajava",1
"Psidium littorale",1
"Pterolepis glomerata",1
"Pyracantha crenatoserrata",1
"Pyracantha fortuneana",1
"Pyracantha koidzumii",1
"Quercus suber",1
"Rauvolfia vomitoria",1
"Rhizophora mangle",1
"Rhodomyrtus tomentosa",1
"Ricinus communis",1
"Rivina humilis",1
"Samanea saman",1
"Sambucus caerulea",1
"Sambucus cerulea",1
"Sambucus mexicana",1
"Sambucus simpsonii",1
"Sarothamnus scoparius",1
"Schefflera actinophylla",1
"Schinus molle",1
"Schinus terebinthifolia",1
"Schizostachyum glaucifolium",1
"Schlumbergera truncata",1
"Selenicereus grandiflorus",1
"Selenicereus macdonaldiae",1
"Senna alata",1
"Senna didymobotrya",1
"Senna multijuga",1
"Senna septemtrionalis",1
"Senna sulfurea",1
"Senna surattensis",1
"Serissa foetida",1
"Serissa japonica",1
"Sesbania sesban",1
"Sida carpinifolia",1
"Sida cordifolia",1
"Solanum americanum",1
"Solanum auriculatum",1
"Solanum aviculare",1
"Solanum capsicastrum",1
"Solanum ficifolium",1
"Solanum laciniatum",1
"Solanum mauritianum",1
"Solanum nigrescens",1
"Solanum pseudocapsicum",1
"Solanum robustum",1
"Solanum sublobatum",1
"Solanum torvum",1
"Solanum viride",1
"Spartium junceum",1
"Spathodea campanulata",1
"Sphaeropteris cooperi",1
"Stachytarpheta mutabilis",1
"Stenolobium stans",1
"Streptosolen jamesonii",1
"Stylosanthes fruticosa",1
"Stylosanthes mucronata",1
"Swietenia macrophylla",1
"Swietenia mahagoni",1
"Syncarpia glomulifera",1
"Syzygium cleistocalyx",1
"Syzygium cumini",1
"Syzygium jambolanum",1
"Syzygium jambos",1
"Syzygium malaccense",1
"Syzygium nervosum",1
"Talipariti tiliaceum",1
"Tecoma castanifolia",1
"Tectona grandis",1
"Terminalia catappa",1
"Terminalia myriocarpa",1
"Tetrazygia bicolor",1
"Thespesia populnea",1
"Thevetia neriifolia",1
"Thevetia peruviana",1
"Thyrsacanthus strictus",1
"Tibouchina herbacea",1
"Tibouchina longifolia",1
"Tibouchina urvilleana",1
"Toona australis",1
"Tournefortia argentea",1
"Trema orientalis",1
"Tristania conferta",1
"Triumfetta bartramia",1
"Triumfetta rhomboidea",1
"Triumfetta semitriloba",1
"Turnera ulmifolia",1
"Ulex europaeus",1
"Vachellia farnesiana",1
"Vernicia cordata",1
"Vernicia montana",1
"Veronica speciosa",1
"Vitex parviflora",1
"Volkameria inermis",1
"Zygocactus truncatus",1
"Abutilon auritum",1
"Acacia minuta",1
"Acanthocereus floridanus",1
"Acanthocereus pentagonus",1
"Achyranthes brasiliana",1
"Adipera laevigata",1
"Aleurites cordatus",1
"Aleurites javanica",1
"Aleurites javanicus",1
"Aleurites trilobus",1
"Alternanthera jacquinii",1
"Arundo versicolor",1
"Asclepias procera",1
"Biancaea sepiaria",1
"Bignonia stans",1
"Brugmansia candida",1
"Cactus cochenilliferus",1
"Cactus ficus-indica",1
"Cactus tetragonus",1
"Caesalpinia globulorum",1
"Cajan cajan",1
"Camphora camphora",1
"Carmona retusa",1
"Caspareopsis monandra",1
"Cassia sulfurea",1
"Casuarina litorea",1
"Cereus martinii",1
"Cereus pentagonus",1
"Cereus undatus",1
"Cerothamnus ceriferus",1
"Cerothamnus pumilus",1
"Chamaesenna didymobotrya",1
"Citharexylum pentandrum",1
"Cleistocalyx nitidus",1
"Convallaria fruticosa",1
"Conyza carolinensis",1
"Conyza cortesii",1
"Cotoneaster hybridus",1
"Crataegus arbutifolia",1
"Crotalaria berteriana",1
"Crotalaria brachystachys",1
"Cynodendron oliviforme",1
"Cypholophus moluccanus",1
"Datura candida",1
"Dodonaea ehrenbergii",1
"Dodonaea elaeagnoides",1
"Dodonaea eriocarpa",1
"Dodonaea jamaicensis",1
"Dodonaea microcarya",1
"Dodonaea sandwicensis",1
"Dodonaea spathulata",1
"Dodonaea stenoptera",1
"Dodonaea thunbergiana",1
"Epiphyllum truncatum",1
"Eucalyptus umbellatus",1
"Eugenia michelii",1
"Filicium decipens",1
"Gardenia weissichii",1
"Gomphrena brasiliana",1
"Gossypium vitifolium",1
"Guilandina ovalifolia",1
"Heterocentron macrostachyum",1
"Heteromeles salicifolia",1
"Hibiscus rockii",1
"Jambosa nitida",1
"Lantana strigocamara",1
"Laurus camphora",1
"Leptospermum polygalifolim",1
"Ligustrum microcarpum",1
"Ligustrum villosum",1
"Lippia montevidensis",1
"Livistona oliviformis",1
"Manihot aipi",1
"Manihot dulcis",1
"Manihot melanobasis",1
"Melochia indica",1
"Mespilus japonica",1
"Metrosideros Banks",1
"Metrosideros glomulifera",1
"Miconia Ruiz",1
"Mimosa farnesiana",1
"Mimosa lebbeck",1
"Moghania strobilifera",1
"Montagnaea hibiscifolia",1
"Montanoa Llave",1
"Morus tatarica",1
"Neltuma velutina",1
"Odontonema tubiforme",1
"Opuntia opuntia",1
"Paederia scandans",1
"Pandanus chamissonis",1
"Pandanus douglasii",1
"Pandanus menziesii",1
"Papaya carica",1
"Papyrius papyriferus",1
"Pariti grande",1
"Pariti tiliaceum",1
"Petrea kohautiana",1
"Philadelphus karwinskianus",1
"Phyllanthus nivosus",1
"Phyllostachys Siebold",1
"Phyllostachys henionis",1
"Physalis edulis",1
"Pimenta pimenta",1
"Piptanthocereus peruvianus",1
"Pithecellobium minutum",1
"Pittosporum Banks",1
"Pluchea cortesii",1
"Prosopis limensis",1
"Ptelea viscosa",1
"Rhexia longifolia",1
"Rhizophora gymnorhiza",1
"Rhodomyrtus tomentosus",1
"Sambucus orbiculata",1
"Sanchezia Ruiz",1
"Sanchezia speciosa",1
"Saribus oliviformis",1
"Senna septentrionalis",1
"Serissa Commerson",1
"Sida acuminata",1
"Sidastrum Baker",1
"Sidastrum acuminatum",1
"Sidastrum multiflorum",1
"Siphonanthus indicus",1
"Solanum gracilius",1
"Solanum ottonis",1
"Solanum puberulum",1
"Stachytarpheta ×trimeni",1
"Stenocereus peruvianus",1
"Tecoma gaudichaudii",1
"Toxicodendron altissimum",1
"Triumfetta excisa",1
"Vachellia Wight",1
"Vachellia densiflora",1
"Acacia farnesiana",1
"Agave americana",1
"Aleurites moluccana",1
"Aleurites moluccanus",1
"Arundo donax",1
"Atriplex lentiformis",1
"Begonia foliosa",1
"Cassia surattensis",1
"Cestrum diurnum",1
"Citharexylum fruticosum",1
"Clerodendrum fragrans",1
"Clerodendrum japonicum",1
"Conocarpus erectus",1
"Cordyline terminalis",1
"Cytisus scoparius",1
"Desmodium heterocarpon",1
"Dodonaea viscosa",1
"Duranta erecta",1
"Duranta repens",1
"Elaeagnus umbellata",1
"Encelia farinosa",1
"Eucalyptus camaldulensis",1
"Eucalyptus globulus",1
"Eucalyptus hemiphloia",1
"Eucalyptus sideroxylon",1
"Ficus microcarpa",1
"Frangula californica",1
"Fraxinus americana",1
"Gossypium barbadense",1
"Gossypium hirsutum",1
"Heteromeles arbutifolia",1
"Lantana camara",1
"Leptospermum flavescens",1
"Leptospermum scoparium",1
"Malvaviscus arboreus",1
"Manihot carthagenensis",1
"Melastoma malabathricum",1
"Melia azedarach",1
"Morella cerifera",1
"Morus alba",1
"Myrica cerifera",1
"Olea europaea",1
"Opuntia vulgaris",1
"Pandanus odoratissimus",1
"Pandanus tectorius",1
"Phragmites australis",1
"Phragmites communis",1
"Phyllostachys nigra",1
"Prosopis chilensis",1
"Prosopis glandulosa",1
"Prosopis juliflora",1
"Psidium cattleianum",1
"Rhamnus californica",1
"Sambucus canadensis",1
"Sambucus nigra",1
"Schinus terebinthifolius",1
"Senna pendula",1
"Sida acuta",1
"Solanum gracile",1
"Tecoma stans",1
"Toona ciliata",1
"Trembleya phlogiformis",1
"Vitex trifolia",1
