host,host_name,host_genus,host_authority,AtlanticCanada,CentralCanada,Florida,InlandWestUS,MidwestUS,NorthCentralUS,NortheastUS,NorthernNorthAmerica,NorthwestUS,SoutheastUS,SouthwestUS,WesternCanada
Abies ×shastensis (Lemmon) Lemmon,Abies ×shastensis,Abies,(Lemmon) Lemmon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Abies amabilis,Abies,(Douglas ex Loudon) Douglas ex Forbes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Abies balsamea (L.) Mill.,Abies balsamea,Abies,(L.) Mill.,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,Abies concolor,Abies,(Gord. & Glend.) Lindl. ex Hildebr.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Abies fraseri (Pursh) Poir.,Abies fraseri,Abies,(Pursh) Poir.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Abies grandis (Douglas ex D. Don) Lindl.,Abies grandis,Abies,(Douglas ex D. Don) Lindl.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Abies lasiocarpa (Hook.) Nutt.,Abies lasiocarpa,Abies,(Hook.) Nutt.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Abies magnifica A. Murray bis,Abies magnifica,Abies,A. Murray bis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Abies magnifica A. Murray bis var. shastensis Lemmon,Abies magnifica,Abies,A. Murray bis var. shastensis Lemmon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Abies procera Rehder,Abies procera,Abies,Rehder,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Acacia constricta Benth.,Acacia constricta,Acacia,Benth.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Acacia greggii A. Gray,Acacia greggii,Acacia,A. Gray,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Acer barbatum Michx. p.p.,Acer barbatum,Acer,Michx. p.p.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Acer circinatum Pursh,Acer circinatum,Acer,Pursh,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Acer floridanum (Chapm.) Pax,Acer floridanum,Acer,(Chapm.) Pax,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Acer glabrum Torr.,Acer glabrum,Acer,Torr.,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Acer glabrum Torr. var. douglasii (Hook.) Dippel,Acer glabrum,Acer,Torr. var. douglasii (Hook.) Dippel,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Acer grandidentatum Nutt.,Acer grandidentatum,Acer,Nutt.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Acer macrophyllum Pursh,Acer macrophyllum,Acer,Pursh,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Acer negundo L.,Acer negundo,Acer,L.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Acer nigrum Michx. f.,Acer nigrum,Acer,Michx. f.,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Acer pensylvanicum L.,Acer pensylvanicum,Acer,L.,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Acer rubrum L.,Acer rubrum,Acer,L.,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Acer saccharinum L.,Acer saccharinum,Acer,L.,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Acer saccharum Marshall,Acer saccharum,Acer,Marshall,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Acer spicatum Lam.,Acer spicatum,Acer,Lam.,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Adenostoma fasciculatum Hook. & Arn.,Adenostoma fasciculatum,Adenostoma,Hook. & Arn.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Aesculus californica (Spach) Nutt.,Aesculus californica,Aesculus,(Spach) Nutt.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Aesculus flava Aiton,Aesculus flava,Aesculus,Aiton,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Aesculus glabra Willd.,Aesculus glabra,Aesculus,Willd.,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Aesculus pavia L.,Aesculus pavia,Aesculus,L.,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Aesculus sylvatica W. Bartram,Aesculus sylvatica,Aesculus,W. Bartram,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Agave americana L.,Agave americana,Agave,L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Agave utahensis Engelm.,Agave utahensis,Agave,Engelm.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Agoseris glauca (Pursh) Raf.,Agoseris glauca,Agoseris,(Pursh) Raf.,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Alnus incana (L.) Moench,Alnus incana,Alnus,(L.) Moench,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,Alnus incana,Alnus,(L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Alnus incana (L.) Moench ssp. tenuifolia (Nutt.) Breitung,Alnus incana,Alnus,(L.) Moench ssp. tenuifolia (Nutt.) Breitung,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima,Alnus,(Marshall) Muhl. ex Nutt.,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Alnus rhombifolia Nutt.,Alnus rhombifolia,Alnus,Nutt.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Alnus rubra Bong.,Alnus rubra,Alnus,Bong.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Alnus serrulata (Aiton) Willd.,Alnus serrulata,Alnus,(Aiton) Willd.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill,Alnus viridis,Alnus,(Chaix) DC. ssp. crispa (Aiton) Turrill,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Alnus viridis (Chaix) DC. ssp. sinuata (Regel) Á. Löve & D. Löve,Alnus viridis,Alnus,(Chaix) DC. ssp. sinuata (Regel) Á. Löve & D. Löve,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Ambrosia dumosa (A. Gray) Payne,Ambrosia dumosa,Ambrosia,(A. Gray) Payne,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,Amelanchier alnifolia,Amelanchier,(Nutt.) Nutt. ex M. Roem.,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
