"","spec.name","spec.name.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"1","Saurauia rusbyi","Saurauia rusbyi",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1,1,"wfo-0001222300","urn:lsid:ipni.org:names:228129-2","500186","Saurauia rusbyi","species","wfo-4000034168","Britton","Actinidiaceae","","",NA,"Saurauia","","rusbyi","","species","Valid","Bull. Torrey Bot. Club 16: 64 (1889)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Bull. Torrey Bot. Club 16: 64 1889  to Bull. Torrey Bot. Club 16: 64 (1889), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl","http://www.theplantlist.org/tpl1.1/record/tro-500186","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-500186","",FALSE,"","","",""
"2","Annona boliviana","Annona boliviana",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2,1,"wfo-0000506326","urn:lsid:ipni.org:names:77080772-1","736716","Annona boliviana","species","wfo-4000002240","(R.E.Fr.) H.Rainer","Annonaceae","","",NA,"Annona","","boliviana","","species","Valid","Ann. Naturhist. Mus. Wien, B 108: 193 (2007)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Ann. Naturhist. Mus. Wien, B 108: 193. 2007 [May 2007]  to Ann. Naturhist. Mus. Wien, B 108: 193 (2007), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=htt","http://www.theplantlist.org/tpl1.1/record/kew-2603468","The Annonaceae TEN","A","kew-2603468","",FALSE,"","","",""
"3","Guatteria oblongifolia","Guatteria oblongifolia",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,3,1,"wfo-0000711430","urn:lsid:ipni.org:names:114325-2","961858","Guatteria oblongifolia","species","wfo-4000016312","Rusby","Annonaceae","","",NA,"Guatteria","","oblongifolia","","species","Valid","Bull. New York Bot. Gard. 4: 320 (1907)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Bull. New York Bot. Gard. 4: 320. 1907  to Bull. New York Bot. Gard. 4: 320 (1907), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.","http://www.theplantlist.org/tpl1.1/record/kew-2834502","The Annonaceae TEN","A","kew-2834502","",FALSE,"","","",""
"4","Aspidosperma resonans","Aspidosperma resonans",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,4,1,"wfo-0000791486","urn:lsid:ipni.org:names:77068594-1","330061","Aspidosperma resonans","species","wfo-4000003331","H.J.Will. & Goyder","Apocynaceae","","",NA,"Aspidosperma","","resonans","","species","Valid","Kew Bull. 60: 313 (2005)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Kew Bull. 60(2): 313 (-317; fig. 1). 2005 [10 Nov 2005]  to Kew Bull. 60: 313 (2005), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlis","http://www.theplantlist.org/tpl1.1/record/kew-330061","The Apocynaceae TEN","A","kew-330061","",FALSE,"","","",""
"5","Ilex pseudoebenacea","Ilex pseudoebenacea",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,5,1,"wfo-0001078581","urn:lsid:ipni.org:names:83657-1","2000447","Ilex pseudoebenacea","species","wfo-4000018994","Loes.","Aquifoliaceae","","",NA,"Ilex","","pseudoebenacea","","species","Valid","Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur. 78: 386 (1901)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur. 78: 386 1901  to Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur. 78: 386 (1901), information provided by Alan E. on email Jun. 07 2021 More det","http://www.theplantlist.org/tpl1.1/record/tro-2000447","The Aquifoliaceae Taxonomic Expert Network","A","tro-2000447","",FALSE,"","","",""
"6","Dendropanax bolivianus","Dendropanax bolivianus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,6,1,"wfo-0000941583","urn:lsid:ipni.org:names:77628-2","60023","Dendropanax bolivianus","species","wfo-4000011096","Gand.","Araliaceae","","",NA,"Dendropanax","","bolivianus","","species","Valid","Bull. Soc. Bot. France 65: 33 (1918)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Bull. Soc. Bot. France 65: 33 1918  to Bull. Soc. Bot. France 65: 33 (1918), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl","http://www.theplantlist.org/tpl1.1/record/kew-60023","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-60023","",FALSE,"","","",""
"7","Dendropanax oblongifolius","Dendropanax oblongifolius",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,7,1,"wfo-0000941660","urn:lsid:ipni.org:names:77658-2","60095","Dendropanax oblongifolius","species","wfo-4000011096","Rusby","Araliaceae","","",NA,"Dendropanax","","oblongifolius","","species","Valid","Bull. New York Bot. Gard. 4: 366 (1907)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Bull. New York Bot. Gard. 4: 366 1907  to Bull. New York Bot. Gard. 4: 366 (1907), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.o","http://www.theplantlist.org/tpl1.1/record/kew-60095","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-60095","",FALSE,"","","",""
"8","Oreopanax atopanthus","Oreopanax atopanthus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,8,1,"wfo-0000260256","urn:lsid:ipni.org:names:176164-2","143479","Oreopanax atopanthus","species","wfo-4000027097","Harms","Araliaceae","","",NA,"Oreopanax","","atopanthus","","species","Valid","Notizbl. Bot. Gart. Berlin-Dahlem 9: 1040 (1926)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Notizbl. Bot. Gart. Berlin-Dahlem 9: 1040 1926  to Notizbl. Bot. Gart. Berlin-Dahlem 9: 1040 (1926), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://","http://www.theplantlist.org/tpl1.1/record/kew-143479","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-143479","",FALSE,"","","",""
"9","Oreopanax boliviensis","Oreopanax boliviensis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,9,1,"wfo-0000260260","urn:lsid:ipni.org:names:91149-1","143482","Oreopanax boliviensis","species","wfo-4000027097","Seem.","Araliaceae","","",NA,"Oreopanax","","boliviensis","","species","Valid","J. Bot. 3: 272 (1865)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from J. Bot. 3: 272. 1865  to J. Bot. 3: 272 (1865), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-143482 >The Pl","http://www.theplantlist.org/tpl1.1/record/kew-143482","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-143482","",FALSE,"","","",""
"10","Oreopanax herzogii","Oreopanax herzogii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,10,1,"wfo-0000260324","urn:lsid:ipni.org:names:176189-2","143540","Oreopanax herzogii","species","wfo-4000027097","Harms","Araliaceae","","",NA,"Oreopanax","","herzogii","","species","Valid","Notizbl. Bot. Gart. Berlin-Dahlem 15: 686 (1942)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Notizbl. Bot. Gart. Berlin-Dahlem 15: 686 1942  to Notizbl. Bot. Gart. Berlin-Dahlem 15: 686 (1942), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://","http://www.theplantlist.org/tpl1.1/record/kew-143540","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-143540","",FALSE,"","","",""
