"x"
""
"Passiflora maculifolia"
" Noccaea caerulescens"
" Prunus pruni-spinosae"
" Trichosanthes tricuspidata"
"Aa calceata"
"Aa colombiana"
"Aa hartwegii"
"Aa leucantha"
"Aa paleacea"
"Aaronsohnia pubescens"
"Abacopteris urophylla"
"Abarema abbottii"
"Abarema acreana"
"Abarema adenophora"
"Abarema alexandri"
"Abarema asplenifolia"
"Abarema auriculata"
"Abarema barbouriana"
"Abarema barnebyana"
"Abarema bigemina"
"Abarema brachystachya"
"Abarema callejasii"
"Abarema campestris"
"Abarema cochleata"
"Abarema cochliocarpos"
"Abarema commutata"
"Abarema curvicarpa"
"Abarema ferruginea"
"Abarema filamentosa"
"Abarema floribunda"
"Abarema gallorum"
"Abarema ganymedea"
"Abarema glauca"
"Abarema grandiflora"
"Abarema idiopoda"
"Abarema josephi"
"Abarema jupunba"
"Abarema killipii"
"Abarema laeta"
"Abarema langsdorffii"
"Abarema lehmannii"
"Abarema leucophylla"
"Abarema levelii"
"Abarema limae"
"Abarema longipedunculata"
"Abarema macradenia"
"Abarema maestrensis"
"Abarema mataybifolia"
"Abarema microcalyx"
"Abarema nipensis"
"Abarema obovalis"
"Abarema oppositifolia"
"Abarema oxyphyllidia"
"Abarema piresii"
"Abarema racemiflora"
"Abarema sapindoides"
"Abarema turbinata"
"Abarema villifera"
"Abarema villosa"
"Abarema zolleriana"
"Abatia canescens"
"Abatia mexicana"
"Abatia parviflora"
"Abatia rugosa"
"Abatia spicata"
"Abbevillea maschalantha"
"Abdra aprica"
"Abdra brachycarpa"
"Abelia ×grandiflora"
"Abelia biflora"
"Abelia chinensis"
"Abelia floribunda"
"Abelia forrestii"
"Abelia schumanni"
"Abelia schumannii"
"Abelia serrata"
"Abelia sp."
"Abelia sp._1_JA-2016"
"Abelia sp._1_JC-2016"
"Abelia spathulata"
"Abelia spathulata var. stenophylla"
"Abelia tetrasepala"
"Abelia triflora"
"Abelia uniflora"
"Abelia x grandiflora"
"Abelia X_grandiflora"
"Abeliophyllum distichum"
