Search type: Characteristics
Shrub|Tree|Native - L48|Native - CAN|Labrador

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABBA,,Abies balsamea (L.) Mill.,balsam fir
ACSP2,,Acer spicatum Lam.,mountain maple
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINR,,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,speckled alder
ALVIC,,Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill,mountain alder
ARAL2,,Arctostaphylos alpina (L.) Spreng.,alpine bearberry
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ARME6,,Aronia melanocarpa (Michx.) Elliott,black chokeberry
ARME6,PHME13,Photinia melanocarpa (Michx.) K.R. Robertson & Phipps,
BEPA,,Betula papyrifera Marshall,paper birch
BEPU4,,Betula pumila L.,bog birch
CATE11,,Cassiope tetragona (L.) D. Don,white arctic mountain heather
CHCA2,,Chamaedaphne calyculata (L.) Moench,leatherleaf
COCA13,,Cornus canadensis L.,bunchberry dogwood
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
DAFRF,,Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz,shrubby cinquefoil
DAFRF,DAFL3,Dasiphora floribunda (Pursh) Raf.,
DILO,,Diervilla lonicera Mill.,northern bush honeysuckle
EMNI,,Empetrum nigrum L.,black crowberry
GAHI2,,Gaultheria hispidula (L.) Muhl. ex Bigelow,creeping snowberry
HUTO,,Hudsonia tomentosa Nutt.,woolly beachheather
JUCO6,,Juniperus communis L.,common juniper
KAPO,,Kalmia polifolia Wangenh.,bog laurel
LALA,,Larix laricina (Du Roi) K. Koch,tamarack
LEGR,,Ledum groenlandicum Oeder,bog Labrador tea
LEPA11,,Ledum palustre L.,marsh Labrador tea
MYGA,,Myrica gale L.,sweetgale
PIGL,,Picea glauca (Moench) Voss,white spruce
PIMA,,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",black spruce
PIBA2,,Pinus banksiana Lamb.,jack pine
POBA2,,Populus balsamifera L.,balsam poplar
POTR5,,Populus tremuloides Michx.,quaking aspen
PRPE2,,Prunus pensylvanica L. f.,pin cherry
RHCA6,,Rhododendron canadense (L.) Torr.,rhodora
RHLA2,,Rhododendron lapponicum (L.) Wahlenb.,Lapland rosebay
RILA,,Ribes lacustre (Pers.) Poir.,prickly currant
RITR,,Ribes triste Pall.,red currant
SABE2,,Salix bebbiana Sarg.,Bebb willow
SACA4,,Salix candida Flueggé ex Willd.,sageleaf willow
SADI,,Salix discolor Muhl.,pussy willow
SAGL,,Salix glauca L.,grayleaf willow
SAHU2,,Salix humilis Marshall,prairie willow
SALU,,Salix lucida Muhl.,shining willow
SAPL2,,Salix planifolia Pursh,diamondleaf willow
SARE2,,Salix reticulata L.,netleaf willow
SHCA,,Shepherdia canadensis (L.) Nutt.,russet buffaloberry
SODE3,,Sorbus decora (Sarg.) C.K. Schneid.,northern mountain ash
TACA7,,Taxus canadensis Marshall,Canada yew
VAAN,,Vaccinium angustifolium Aiton,lowbush blueberry
VACE,,Vaccinium cespitosum Michx.,dwarf bilberry
VACE,VACA13,"Vaccinium caespitosum Michx., orth. var.",
VAOV,,Vaccinium ovalifolium Sm.,oval-leaf blueberry
VAUL,,Vaccinium uliginosum L.,bog blueberry
VAVI,,Vaccinium vitis-idaea L.,lingonberry
VIED,,Viburnum edule (Michx.) Raf.,squashberry
