Search type: Characteristics
Shrub|Tree|Native - L48|Native - CAN|Prince Edward Island

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABBA,,Abies balsamea (L.) Mill.,balsam fir
ACNE2,,Acer negundo L.,boxelder
ACPE,,Acer pensylvanicum L.,striped maple
ACRU,,Acer rubrum L.,red maple
ACSA3,,Acer saccharum Marshall,sugar maple
ACSP2,,Acer spicatum Lam.,mountain maple
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINR,,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,speckled alder
ALVIC,,Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill,mountain alder
AMCA4,,Amelanchier canadensis (L.) Medik.,Canadian serviceberry
AMLA,,Amelanchier laevis Wiegand,Allegheny serviceberry
AMSA,,Amelanchier sanguinea (Pursh) DC.,roundleaf serviceberry
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ARAR7,,Aronia arbutifolia (L.) Pers.,red chokeberry
ARAR7,PHPY4,Photinia pyrifolia (Lam.) K.R. Robertson & Phipps,
ARME6,,Aronia melanocarpa (Michx.) Elliott,black chokeberry
ARME6,PHME13,Photinia melanocarpa (Michx.) K.R. Robertson & Phipps,
BEAL2,,Betula alleghaniensis Britton,yellow birch
BEPA,,Betula papyrifera Marshall,paper birch
BEPO,,Betula populifolia Marshall,gray birch
BEPU4,,Betula pumila L.,bog birch
CEOC2,,Cephalanthus occidentalis L.,common buttonbush
CHCA2,,Chamaedaphne calyculata (L.) Moench,leatherleaf
COPE80,,Comptonia peregrina (L.) J.M. Coult.,sweet fern
COAL2,,Cornus alternifolia L. f.,alternateleaf dogwood
COCA13,,Cornus canadensis L.,bunchberry dogwood
CORU,,Cornus rugosa Lam.,roundleaf dogwood
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
COCO6,,Corylus cornuta Marshall,beaked hazelnut
DILO,,Diervilla lonicera Mill.,northern bush honeysuckle
EMNI,,Empetrum nigrum L.,black crowberry
FAGR,,Fagus grandifolia Ehrh.,American beech
FRAM2,,Fraxinus americana L.,white ash
FRNI,,Fraxinus nigra Marshall,black ash
FRPE,,Fraxinus pennsylvanica Marshall,green ash
GAHI2,,Gaultheria hispidula (L.) Muhl. ex Bigelow,creeping snowberry
GAPR2,,Gaultheria procumbens L.,eastern teaberry
GABA,,Gaylussacia baccata (Wangenh.) K. Koch,black huckleberry
GADU,,Gaylussacia dumosa (Andrews) Torr. & A. Gray,dwarf huckleberry
HAVI4,,Hamamelis virginiana L.,American witchhazel
HUTO,,Hudsonia tomentosa Nutt.,woolly beachheather
ILVE,,Ilex verticillata (L.) A. Gray,common winterberry
JUCI,,Juglans cinerea L.,butternut
JUCO6,,Juniperus communis L.,common juniper
KAPO,,Kalmia polifolia Wangenh.,bog laurel
LALA,,Larix laricina (Du Roi) K. Koch,tamarack
LEGR,,Ledum groenlandicum Oeder,bog Labrador tea
MALUS,,Malus Mill.,apple
MOPE6,,Morella pensylvanica (Mirb.) Kartesz,northern bayberry
MYGA,,Myrica gale L.,sweetgale
OSVI,,Ostrya virginiana (Mill.) K. Koch,hophornbeam
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIGL,,Picea glauca (Moench) Voss,white spruce
PIMA,,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",black spruce
PIRU,,Picea rubens Sarg.,red spruce
PIBA2,,Pinus banksiana Lamb.,jack pine
PIRE,,Pinus resinosa Aiton,red pine
PIST,,Pinus strobus L.,eastern white pine
POBA2,,Populus balsamifera L.,balsam poplar
POGR4,,Populus grandidentata Michx.,bigtooth aspen
POTR5,,Populus tremuloides Michx.,quaking aspen
PRPE2,,Prunus pensylvanica L. f.,pin cherry
PRVI,,Prunus virginiana L.,chokecherry
QURU,,Quercus rubra L.,northern red oak
RHAL,,Rhamnus alnifolia L'Hér.,alderleaf buckthorn
RHCA6,,Rhododendron canadense (L.) Torr.,rhodora
RHTY,,Rhus typhina L.,staghorn sumac
RHTY,RHHI2,"Rhus hirta (L.) Sudw., nom. utique rej.",
RILA,,Ribes lacustre (Pers.) Poir.,prickly currant
RITR,,Ribes triste Pall.,red currant
ROPS,,Robinia pseudoacacia L.,black locust
SABE2,,Salix bebbiana Sarg.,Bebb willow
SACA4,,Salix candida Flueggé ex Willd.,sageleaf willow
SADI,,Salix discolor Muhl.,pussy willow
SAER,,Salix eriocephala Michx.,Missouri River willow
SAHU2,,Salix humilis Marshall,prairie willow
SALU,,Salix lucida Muhl.,shining willow
SANIC4,,Sambucus nigra L. ssp. canadensis (L.) R. Bolli,American black elderberry
SARAR3,,Sambucus racemosa L. var. racemosa,red elderberry
SOAM3,,Sorbus americana Marshall,American mountain ash
SPAL2,,Spiraea alba Du Roi,white meadowsweet
SPTO2,,Spiraea tomentosa L.,steeplebush
SYAL,,Symphoricarpos albus (L.) S.F. Blake,common snowberry
TACA7,,Taxus canadensis Marshall,Canada yew
THOC2,,Thuja occidentalis L.,arborvitae
TSCA,,Tsuga canadensis (L.) Carrière,eastern hemlock
ULAM,,Ulmus americana L.,American elm
VAAN,,Vaccinium angustifolium Aiton,lowbush blueberry
VAUL,,Vaccinium uliginosum L.,bog blueberry
VAVI,,Vaccinium vitis-idaea L.,lingonberry
VILA11,,Viburnum lantanoides Michx.,hobblebush
VINUC,,Viburnum nudum L. var. cassinoides (L.) Torr. & A. Gray,withe-rod
VIOP,,Viburnum opulus L.,European cranberrybush
VIOPA2,,Viburnum opulus L. var. americanum Aiton,American cranberrybush
