Search type: Characteristics
Shrub|Tree|Native - L48|Native - CAN|Manitoba

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABBA,,Abies balsamea (L.) Mill.,balsam fir
ACNE2,,Acer negundo L.,boxelder
ACSP2,,Acer spicatum Lam.,mountain maple
AGGL,,Agoseris glauca (Pursh) Raf.,pale agoseris
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINR,,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,speckled alder
ALVIC,,Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill,mountain alder
AMAL2,,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,Saskatoon serviceberry
AMCA6,,Amorpha canescens Pursh,leadplant
AMFR,,Amorpha fruticosa L.,false indigo bush
ARAL2,,Arctostaphylos alpina (L.) Spreng.,alpine bearberry
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ARCA13,,Artemisia cana Pursh,silver sagebrush
ATGA,,Atriplex gardneri (Moq.) D. Dietr.,Gardner's saltbush
BEOC2,,Betula occidentalis Hook.,water birch
BEPA,,Betula papyrifera Marshall,paper birch
BEPU4,,Betula pumila L.,bog birch
CEOC,,Celtis occidentalis L.,common hackberry
CHCA2,,Chamaedaphne calyculata (L.) Moench,leatherleaf
COAL2,,Cornus alternifolia L. f.,alternateleaf dogwood
COCA13,,Cornus canadensis L.,bunchberry dogwood
CORA6,,Cornus racemosa Lam.,gray dogwood
CORU,,Cornus rugosa Lam.,roundleaf dogwood
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
COAM3,,Corylus americana Walter,American hazelnut
COCO6,,Corylus cornuta Marshall,beaked hazelnut
DAFRF,,Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz,shrubby cinquefoil
DAFRF,DAFL3,Dasiphora floribunda (Pursh) Raf.,
DILO,,Diervilla lonicera Mill.,northern bush honeysuckle
ELCO,,Elaeagnus commutata Bernh. ex Rydb.,silverberry
EMNI,,Empetrum nigrum L.,black crowberry
FRNI,,Fraxinus nigra Marshall,black ash
FRPE,,Fraxinus pennsylvanica Marshall,green ash
GAHI2,,Gaultheria hispidula (L.) Muhl. ex Bigelow,creeping snowberry
GAPR2,,Gaultheria procumbens L.,eastern teaberry
GUSA2,,Gutierrezia sarothrae (Pursh) Britton & Rusby,broom snakeweed
HUTO,,Hudsonia tomentosa Nutt.,woolly beachheather
JUCI,,Juglans cinerea L.,butternut
JUNI,,Juglans nigra L.,black walnut
JUCO6,,Juniperus communis L.,common juniper
KAMI,,Kalmia microphylla (Hook.) A. Heller,alpine laurel
KAPO,,Kalmia polifolia Wangenh.,bog laurel
KRLA2,,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,winterfat
LALA,,Larix laricina (Du Roi) K. Koch,tamarack
LEGR,,Ledum groenlandicum Oeder,bog Labrador tea
LEPA11,,Ledum palustre L.,marsh Labrador tea
LOIN5,,Lonicera involucrata (Richardson) Banks ex Spreng.,twinberry honeysuckle
MALUS,,Malus Mill.,apple
MYGA,,Myrica gale L.,sweetgale
OSVI,,Ostrya virginiana (Mill.) K. Koch,hophornbeam
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHOP,,"Physocarpus opulifolius (L.) Maxim., orth. cons.",common ninebark
PIGL,,Picea glauca (Moench) Voss,white spruce
PIMA,,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",black spruce
PIBA2,,Pinus banksiana Lamb.,jack pine
PIRE,,Pinus resinosa Aiton,red pine
PIST,,Pinus strobus L.,eastern white pine
POBA2,,Populus balsamifera L.,balsam poplar
PODE3,,Populus deltoides W. Bartram ex Marshall,eastern cottonwood
PODEM,,Populus deltoides W. Bartram ex Marshall ssp. monilifera (Aiton) Eckenwalder,plains cottonwood
POGR4,,Populus grandidentata Michx.,bigtooth aspen
POTR5,,Populus tremuloides Michx.,quaking aspen
PRAM,,Prunus americana Marshall,American plum
PRNI,,Prunus nigra Aiton,Canadian plum
PRPE2,,Prunus pensylvanica L. f.,pin cherry
PRPU3,,Prunus pumila L.,sandcherry
PRPUB,,Prunus pumila L. var. besseyi (L.H. Bailey) Gleason,western sandcherry
PRVI,,Prunus virginiana L.,chokecherry
QUMA2,,Quercus macrocarpa Michx.,bur oak
RHAL,,Rhamnus alnifolia L'Hér.,alderleaf buckthorn
RHLA2,,Rhododendron lapponicum (L.) Wahlenb.,Lapland rosebay
RHGL,,Rhus glabra L.,smooth sumac
RIAM2,,Ribes americanum Mill.,American black currant
RIHU,,Ribes hudsonianum Richardson,northern black currant
RILA,,Ribes lacustre (Pers.) Poir.,prickly currant
RITR,,Ribes triste Pall.,red currant
SAAL,,Salix alaxensis (Andersson) Coville,feltleaf willow
SAAM2,,Salix amygdaloides Andersson,peachleaf willow
SAAR3,,Salix arbusculoides Andersson,littletree willow
SABE2,,Salix bebbiana Sarg.,Bebb willow
SABR,,Salix brachycarpa Nutt.,shortfruit willow
SACA4,,Salix candida Flueggé ex Willd.,sageleaf willow
SADI,,Salix discolor Muhl.,pussy willow
SAER,,Salix eriocephala Michx.,Missouri River willow
SAFU,,Salix fuscescens Andersson,Alaska bog willow
SAGL,,Salix glauca L.,grayleaf willow
SAHU2,,Salix humilis Marshall,prairie willow
SAIN3,,Salix interior Rowlee,sandbar willow
SALU,,Salix lucida Muhl.,shining willow
SALU2,,Salix lutea Nutt.,yellow willow
SANI,,Salix nigra Marshall,black willow
SAPL2,,Salix planifolia Pursh,diamondleaf willow
SARE2,,Salix reticulata L.,netleaf willow
SARI4,,Salix richardsonii Hook.,Richardson's willow
SANIC4,,Sambucus nigra L. ssp. canadensis (L.) R. Bolli,American black elderberry
SARAR3,,Sambucus racemosa L. var. racemosa,red elderberry
SHAR,,Shepherdia argentea (Pursh) Nutt.,silver buffaloberry
SHCA,,Shepherdia canadensis (L.) Nutt.,russet buffaloberry
SODE3,,Sorbus decora (Sarg.) C.K. Schneid.,northern mountain ash
SPAL2,,Spiraea alba Du Roi,white meadowsweet
SYAL,,Symphoricarpos albus (L.) S.F. Blake,common snowberry
SYOC,,Symphoricarpos occidentalis Hook.,western snowberry
TACA7,,Taxus canadensis Marshall,Canada yew
THOC2,,Thuja occidentalis L.,arborvitae
TIAM,,Tilia americana L.,American basswood
ULAM,,Ulmus americana L.,American elm
VAAN,,Vaccinium angustifolium Aiton,lowbush blueberry
VACE,,Vaccinium cespitosum Michx.,dwarf bilberry
VACE,VACA13,"Vaccinium caespitosum Michx., orth. var.",
VAUL,,Vaccinium uliginosum L.,bog blueberry
VAVI,,Vaccinium vitis-idaea L.,lingonberry
VIED,,Viburnum edule (Michx.) Raf.,squashberry
VILE,,Viburnum lentago L.,nannyberry
VIOP,,Viburnum opulus L.,European cranberrybush
VIOPA2,,Viburnum opulus L. var. americanum Aiton,American cranberrybush
VIRA,,Viburnum rafinesqueanum Schult.,downy arrowwood
