Search type: Characteristics
Shrub|Tree|Native - L48|Native - CAN|Saskatchewan

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABBA,,Abies balsamea (L.) Mill.,balsam fir
ACNE2,,Acer negundo L.,boxelder
ACSA2,,Acer saccharinum L.,silver maple
ACSP2,,Acer spicatum Lam.,mountain maple
AGGL,,Agoseris glauca (Pursh) Raf.,pale agoseris
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINR,,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,speckled alder
ALINT,,Alnus incana (L.) Moench ssp. tenuifolia (Nutt.) Breitung,thinleaf alder
ALVIC,,Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill,mountain alder
AMAL2,,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,Saskatoon serviceberry
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ARCA13,,Artemisia cana Pursh,silver sagebrush
ATAP,,Atriplex ×aptera A. Nelson (pro sp.) [canescens × nutallii],moundscale
ATGA,,Atriplex gardneri (Moq.) D. Dietr.,Gardner's saltbush
BENA,,Betula nana L.,dwarf birch
BEOC2,,Betula occidentalis Hook.,water birch
BEPA,,Betula papyrifera Marshall,paper birch
BEPU4,,Betula pumila L.,bog birch
CHCA2,,Chamaedaphne calyculata (L.) Moench,leatherleaf
COCA13,,Cornus canadensis L.,bunchberry dogwood
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
COCO6,,Corylus cornuta Marshall,beaked hazelnut
CRDO2,,Crataegus douglasii Lindl.,black hawthorn
DAFRF,,Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz,shrubby cinquefoil
DAFRF,DAFL3,Dasiphora floribunda (Pursh) Raf.,
DILO,,Diervilla lonicera Mill.,northern bush honeysuckle
DRDR,,Dryas drummondii Richardson ex Hook.,Drummond's mountain-avens
ELCO,,Elaeagnus commutata Bernh. ex Rydb.,silverberry
EMNI,,Empetrum nigrum L.,black crowberry
FRPE,,Fraxinus pennsylvanica Marshall,green ash
GAHI2,,Gaultheria hispidula (L.) Muhl. ex Bigelow,creeping snowberry
GUSA2,,Gutierrezia sarothrae (Pursh) Britton & Rusby,broom snakeweed
HUTO,,Hudsonia tomentosa Nutt.,woolly beachheather
JUCO6,,Juniperus communis L.,common juniper
JUSC2,,Juniperus scopulorum Sarg.,Rocky Mountain juniper
KAPO,,Kalmia polifolia Wangenh.,bog laurel
KRLA2,,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,winterfat
LALA,,Larix laricina (Du Roi) K. Koch,tamarack
LEGR,,Ledum groenlandicum Oeder,bog Labrador tea
LEPA11,,Ledum palustre L.,marsh Labrador tea
LOIN5,,Lonicera involucrata (Richardson) Banks ex Spreng.,twinberry honeysuckle
MYGA,,Myrica gale L.,sweetgale
OPPO,,Opuntia polyacantha Haw.,plains pricklypear
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIGL,,Picea glauca (Moench) Voss,white spruce
PIMA,,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",black spruce
PIBA2,,Pinus banksiana Lamb.,jack pine
PICO,,Pinus contorta Douglas ex Loudon,lodgepole pine
POAN3,,Populus angustifolia James,narrowleaf cottonwood
POBA2,,Populus balsamifera L.,balsam poplar
PODE3,,Populus deltoides W. Bartram ex Marshall,eastern cottonwood
PODEM,,Populus deltoides W. Bartram ex Marshall ssp. monilifera (Aiton) Eckenwalder,plains cottonwood
POTR5,,Populus tremuloides Michx.,quaking aspen
PRAM,,Prunus americana Marshall,American plum
PRPE2,,Prunus pensylvanica L. f.,pin cherry
PRPU3,,Prunus pumila L.,sandcherry
PRPUB,,Prunus pumila L. var. besseyi (L.H. Bailey) Gleason,western sandcherry
PRVI,,Prunus virginiana L.,chokecherry
QUMA2,,Quercus macrocarpa Michx.,bur oak
RHAL,,Rhamnus alnifolia L'Hér.,alderleaf buckthorn
RHGL,,Rhus glabra L.,smooth sumac
RHTR,,Rhus trilobata Nutt.,skunkbush sumac
RIAM2,,Ribes americanum Mill.,American black currant
RIAU,,Ribes aureum Pursh,golden currant
RIHU,,Ribes hudsonianum Richardson,northern black currant
RILA,,Ribes lacustre (Pers.) Poir.,prickly currant
RITR,,Ribes triste Pall.,red currant
SAAM2,,Salix amygdaloides Andersson,peachleaf willow
SAAR3,,Salix arbusculoides Andersson,littletree willow
SABE2,,Salix bebbiana Sarg.,Bebb willow
SABR,,Salix brachycarpa Nutt.,shortfruit willow
SACA4,,Salix candida Flueggé ex Willd.,sageleaf willow
SADI,,Salix discolor Muhl.,pussy willow
SADR,,Salix drummondiana Barratt ex Hook.,Drummond's willow
SAER,,Salix eriocephala Michx.,Missouri River willow
SAEX,,Salix exigua Nutt.,narrowleaf willow
SAGL,,Salix glauca L.,grayleaf willow
SAIN3,,Salix interior Rowlee,sandbar willow
SALU,,Salix lucida Muhl.,shining willow
SALUL,,Salix lucida Muhl. ssp. lasiandra (Benth.) A.E. Murray,Pacific willow
SALU2,,Salix lutea Nutt.,yellow willow
SAPL2,,Salix planifolia Pursh,diamondleaf willow
SARE2,,Salix reticulata L.,netleaf willow
SASC,,Salix scouleriana Barratt ex Hook.,Scouler's willow
SARAR3,,Sambucus racemosa L. var. racemosa,red elderberry
SAVE4,,Sarcobatus vermiculatus (Hook.) Torr.,greasewood
SHAR,,Shepherdia argentea (Pursh) Nutt.,silver buffaloberry
SHCA,,Shepherdia canadensis (L.) Nutt.,russet buffaloberry
SODE3,,Sorbus decora (Sarg.) C.K. Schneid.,northern mountain ash
SOSC2,,Sorbus scopulina Greene,Greene's mountain ash
SPAL2,,Spiraea alba Du Roi,white meadowsweet
SYAL,,Symphoricarpos albus (L.) S.F. Blake,common snowberry
SYOC,,Symphoricarpos occidentalis Hook.,western snowberry
TIAM,,Tilia americana L.,American basswood
ULAM,,Ulmus americana L.,American elm
VACE,,Vaccinium cespitosum Michx.,dwarf bilberry
VACE,VACA13,"Vaccinium caespitosum Michx., orth. var.",
VAUL,,Vaccinium uliginosum L.,bog blueberry
VAVI,,Vaccinium vitis-idaea L.,lingonberry
VIED,,Viburnum edule (Michx.) Raf.,squashberry
VILE,,Viburnum lentago L.,nannyberry
VIOP,,Viburnum opulus L.,European cranberrybush
VIOPA2,,Viburnum opulus L. var. americanum Aiton,American cranberrybush
