Search type: Characteristics
Shrub|Tree|Native - L48|Utah

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABCO,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir
ACGL,,Acer glabrum Torr.,Rocky Mountain maple
ACGR3,,Acer grandidentatum Nutt.,bigtooth maple
ACNE2,,Acer negundo L.,boxelder
AGUT,,Agave utahensis Engelm.,Utah agave
AGGL,,Agoseris glauca (Pursh) Raf.,pale agoseris
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINT,,Alnus incana (L.) Moench ssp. tenuifolia (Nutt.) Breitung,thinleaf alder
AMDU2,,Ambrosia dumosa (A. Gray) Payne,burrobush
AMAL2,,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,Saskatoon serviceberry
AMUT,,Amelanchier utahensis Koehne,Utah serviceberry
AMUTU,,Amelanchier utahensis Koehne var. utahensis,Utah serviceberry
AMFR,,Amorpha fruticosa L.,false indigo bush
ARPA6,,Arctostaphylos patula Greene,greenleaf manzanita
ARPU5,,Arctostaphylos pungens Kunth,pointleaf manzanita
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ARAR8,,Artemisia arbuscula Nutt.,little sagebrush
ARCA13,,Artemisia cana Pursh,silver sagebrush
ARNO4,,Artemisia nova A. Nelson,black sagebrush
ARTR2,,Artemisia tridentata Nutt.,big sagebrush
ARTRT,,Artemisia tridentata Nutt. ssp. tridentata,basin big sagebrush
ARTRV,,Artemisia tridentata Nutt. ssp. vaseyana (Rydb.) Beetle,mountain big sagebrush
ARTRW8,,Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young,Wyoming big sagebrush
ARTR4,,Artemisia tripartita Rydb.,threetip sagebrush
ASLE8,,Astragalus lentiginosus Douglas ex Hook.,freckled milkvetch
ATCA2,,Atriplex canescens (Pursh) Nutt.,fourwing saltbush
ATCO,,Atriplex confertifolia (Torr. & Frém.) S. Watson,shadscale saltbush
ATFA,,Atriplex falcata (M.E. Jones) Standl.,sickle saltbush
ATGA,,Atriplex gardneri (Moq.) D. Dietr.,Gardner's saltbush
ATLE,,Atriplex lentiformis (Torr.) S. Watson,big saltbush
ATPO,,Atriplex polycarpa (Torr.) S. Watson,cattle saltbush
BASA4,,Baccharis salicifolia (Ruiz & Pav.) Pers.,mule-fat
BEFE,,Berberis fendleri A. Gray,Colorado barberry
BENA,,Betula nana L.,dwarf birch
BEOC2,,Betula occidentalis Hook.,water birch
CABI8,,Catalpa bignonioides Walter,southern catalpa
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CEGR,,Ceanothus greggii A. Gray,desert ceanothus
CEVE,,Ceanothus velutinus Douglas ex Hook.,snowbrush ceanothus
CELA,,Celtis laevigata Willd.,sugarberry
CELAR,,Celtis laevigata Willd. var. reticulata (Torr.) L.D. Benson,netleaf hackberry
CEOC,,Celtis occidentalis L.,common hackberry
CELE3,,Cercocarpus ledifolius Nutt.,curl-leaf mountain mahogany
CEMO2,,Cercocarpus montanus Raf.,alderleaf mountain mahogany
CHMI2,,Chamaebatiaria millefolium (Torr.) Maxim.,desert sweet
CHLI2,,Chilopsis linearis (Cav.) Sweet,desert willow
CHVI8,,Chrysothamnus viscidiflorus (Hook.) Nutt.,yellow rabbitbrush
CORA,,Coleogyne ramosissima Torr.,blackbrush
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
CRER,,Crataegus erythropoda Ashe,cerro hawthorn
DAFRF,,Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz,shrubby cinquefoil
DAFRF,DAFL3,Dasiphora floribunda (Pursh) Raf.,
DIVI5,,Diospyros virginiana L.,common persimmon
DROC,,Dryas octopetala L.,eightpetal mountain-avens
ELCO,,Elaeagnus commutata Bernh. ex Rydb.,silverberry
ENFA,,Encelia farinosa A. Gray ex Torr.,brittlebush
EPNE,,Ephedra nevadensis S. Watson,Nevada jointfir
EPTO,,Ephedra torreyana S. Watson,Torrey's jointfir
EPVI,,Ephedra viridis Coville,mormon tea
ERFA2,,Eriogonum fasciculatum Benth.,Eastern Mojave buckwheat
ERMI4,,Eriogonum microthecum Nutt.,slender buckwheat
ERUM,,Eriogonum umbellatum Torr.,sulphur-flower buckwheat
ERWR,,Eriogonum wrightii Torr. ex Benth.,bastardsage
FAGR,,Fagus grandifolia Ehrh.,American beech
FAPA,,Fallugia paradoxa (D. Don) Endl. ex Torr.,Apache plume
FERU,,Fendlera rupicola A. Gray,cliff fendlerbush
FOPUP,,Forestiera pubescens Nutt. var. pubescens,stretchberry
FRAN2,,Fraxinus anomala Torr. ex S. Watson,singleleaf ash
FRPE,,Fraxinus pennsylvanica Marshall,green ash
FRVE2,,Fraxinus velutina Torr.,velvet ash
GLTR,,Gleditsia triacanthos L.,honeylocust
GRSP,,Grayia spinosa (Hook.) Moq.,spiny hopsage
GUSA2,,Gutierrezia sarothrae (Pursh) Britton & Rusby,broom snakeweed
HEAR22,,Hesperocyparis arizonica (Greene) Bartel,Arizona cypress
HEAR22,CUAR,Cupressus arizonica Greene,
HODI,,Holodiscus discolor (Pursh) Maxim.,oceanspray
HODU,,Holodiscus dumosus (Nutt. ex Hook.) A. Heller,rockspirea
JAAM,,Jamesia americana Torr. & A. Gray,fivepetal cliffbush
JUMA,,Juglans major (Torr.) A. Heller,Arizona walnut
JUNI,,Juglans nigra L.,black walnut
JUCO6,,Juniperus communis L.,common juniper
JUMO,,Juniperus monosperma (Engelm.) Sarg.,oneseed juniper
JUOS,,Juniperus osteosperma (Torr.) Little,Utah juniper
JUSC2,,Juniperus scopulorum Sarg.,Rocky Mountain juniper
KAMI,,Kalmia microphylla (Hook.) A. Heller,alpine laurel
KRER,,Krameria erecta Willd. ex Schult.,littleleaf ratany
KRLA2,,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,winterfat
LAOC,,Larix occidentalis Nutt.,western larch
LEGL,,Ledum glandulosum Nutt.,western Labrador tea
LOIN5,,Lonicera involucrata (Richardson) Banks ex Spreng.,twinberry honeysuckle
LOUT2,,Lonicera utahensis S. Watson,Utah honeysuckle
LYPA,,Lycium pallidum Miers,pale desert-thorn
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MARE11,,Mahonia repens (Lindl.) G. Don,creeping barberry
MALUS,,Malus Mill.,apple
NOMI,,Nolina microcarpa S. Watson,sacahuista
OPPO,,Opuntia polyacantha Haw.,plains pricklypear
PEVE2,,Penstemon venustus Douglas ex Lindl.,Venus penstemon
PHMI4,,Philadelphus microphyllus A. Gray,littleleaf mock orange
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
