Search type: Characteristics
Shrub|Tree|Native - L48|Wyoming

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABCO,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir
ACGL,,Acer glabrum Torr.,Rocky Mountain maple
ACGLD4,,Acer glabrum Torr. var. douglasii (Hook.) Dippel,Douglas maple
ACGR3,,Acer grandidentatum Nutt.,bigtooth maple
ACNE2,,Acer negundo L.,boxelder
AGGL,,Agoseris glauca (Pursh) Raf.,pale agoseris
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINT,,Alnus incana (L.) Moench ssp. tenuifolia (Nutt.) Breitung,thinleaf alder
ALVIS,,Alnus viridis (Chaix) DC. ssp. sinuata (Regel) Á. Löve & D. Löve,Sitka alder
AMAL2,,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,Saskatoon serviceberry
AMUT,,Amelanchier utahensis Koehne,Utah serviceberry
AMUTU,,Amelanchier utahensis Koehne var. utahensis,Utah serviceberry
AMCA6,,Amorpha canescens Pursh,leadplant
AMFR,,Amorpha fruticosa L.,false indigo bush
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ARAR8,,Artemisia arbuscula Nutt.,little sagebrush
ARCA13,,Artemisia cana Pursh,silver sagebrush
ARNO4,,Artemisia nova A. Nelson,black sagebrush
ARTR2,,Artemisia tridentata Nutt.,big sagebrush
ARTRT,,Artemisia tridentata Nutt. ssp. tridentata,basin big sagebrush
ARTRV,,Artemisia tridentata Nutt. ssp. vaseyana (Rydb.) Beetle,mountain big sagebrush
ARTRW8,,Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young,Wyoming big sagebrush
ARTR4,,Artemisia tripartita Rydb.,threetip sagebrush
ASLE8,,Astragalus lentiginosus Douglas ex Hook.,freckled milkvetch
ATAP,,Atriplex ×aptera A. Nelson (pro sp.) [canescens × nutallii],moundscale
ATCA2,,Atriplex canescens (Pursh) Nutt.,fourwing saltbush
ATCO,,Atriplex confertifolia (Torr. & Frém.) S. Watson,shadscale saltbush
ATFA,,Atriplex falcata (M.E. Jones) Standl.,sickle saltbush
ATGA,,Atriplex gardneri (Moq.) D. Dietr.,Gardner's saltbush
BENA,,Betula nana L.,dwarf birch
BEOC2,,Betula occidentalis Hook.,water birch
BEPA,,Betula papyrifera Marshall,paper birch
CEVE,,Ceanothus velutinus Douglas ex Hook.,snowbrush ceanothus
CELA,,Celtis laevigata Willd.,sugarberry
CELAR,,Celtis laevigata Willd. var. reticulata (Torr.) L.D. Benson,netleaf hackberry
CEOC,,Celtis occidentalis L.,common hackberry
CELE3,,Cercocarpus ledifolius Nutt.,curl-leaf mountain mahogany
CEMO2,,Cercocarpus montanus Raf.,alderleaf mountain mahogany
CHVI8,,Chrysothamnus viscidiflorus (Hook.) Nutt.,yellow rabbitbrush
COCA13,,Cornus canadensis L.,bunchberry dogwood
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
COCO6,,Corylus cornuta Marshall,beaked hazelnut
CRDO2,,Crataegus douglasii Lindl.,black hawthorn
CRER,,Crataegus erythropoda Ashe,cerro hawthorn
DAFRF,,Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz,shrubby cinquefoil
DAFRF,DAFL3,Dasiphora floribunda (Pursh) Raf.,
DROC,,Dryas octopetala L.,eightpetal mountain-avens
ELCO,,Elaeagnus commutata Bernh. ex Rydb.,silverberry
EPVI,,Ephedra viridis Coville,mormon tea
ERNAN5,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. nauseosa,rubber rabbitbrush
ERMI4,,Eriogonum microthecum Nutt.,slender buckwheat
ERUM,,Eriogonum umbellatum Torr.,sulphur-flower buckwheat
FRAN2,,Fraxinus anomala Torr. ex S. Watson,singleleaf ash
FRPE,,Fraxinus pennsylvanica Marshall,green ash
GLTR,,Gleditsia triacanthos L.,honeylocust
GRSP,,Grayia spinosa (Hook.) Moq.,spiny hopsage
GUSA2,,Gutierrezia sarothrae (Pursh) Britton & Rusby,broom snakeweed
HODU,,Holodiscus dumosus (Nutt. ex Hook.) A. Heller,rockspirea
JAAM,,Jamesia americana Torr. & A. Gray,fivepetal cliffbush
JUCO6,,Juniperus communis L.,common juniper
JUOS,,Juniperus osteosperma (Torr.) Little,Utah juniper
JUSC2,,Juniperus scopulorum Sarg.,Rocky Mountain juniper
KAMI,,Kalmia microphylla (Hook.) A. Heller,alpine laurel
KRLA2,,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,winterfat
LAOC,,Larix occidentalis Nutt.,western larch
LEGL,,Ledum glandulosum Nutt.,western Labrador tea
LOIN5,,Lonicera involucrata (Richardson) Banks ex Spreng.,twinberry honeysuckle
LOUT2,,Lonicera utahensis S. Watson,Utah honeysuckle
MARE11,,Mahonia repens (Lindl.) G. Don,creeping barberry
MALUS,,Malus Mill.,apple
OPPO,,Opuntia polyacantha Haw.,plains pricklypear
OSVI,,Ostrya virginiana (Mill.) K. Koch,hophornbeam
PHMI4,,Philadelphus microphyllus A. Gray,littleleaf mock orange
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHMA5,,Physocarpus malvaceus (Greene) Kuntze,mallow ninebark
PIEN,,Picea engelmannii Parry ex Engelm.,Engelmann spruce
PIGL,,Picea glauca (Moench) Voss,white spruce
PIPU,,Picea pungens Engelm.,blue spruce
PIDE4,,Picrothamnus desertorum Nutt.,bud sagebrush
PIAL,,Pinus albicaulis Engelm.,whitebark pine
PICO,,Pinus contorta Douglas ex Loudon,lodgepole pine
PIED,,Pinus edulis Engelm.,twoneedle pinyon
PIFL2,,Pinus flexilis James,limber pine
PIPO,,Pinus ponderosa Lawson & C. Lawson,ponderosa pine
POCA19,,Populus ×canadensis Moench (pro sp.) [deltoides × nigra],Carolina poplar
POAN3,,Populus angustifolia James,narrowleaf cottonwood
POBA2,,Populus balsamifera L.,balsam poplar
POBAT,,Populus balsamifera L. ssp. trichocarpa (Torr. & A. Gray ex Hook.) Brayshaw,black cottonwood
PODE3,,Populus deltoides W. Bartram ex Marshall,eastern cottonwood
PODEM,,Populus deltoides W. Bartram ex Marshall ssp. monilifera (Aiton) Eckenwalder,plains cottonwood
POTR5,,Populus tremuloides Michx.,quaking aspen
PRAM,,Prunus americana Marshall,American plum
PREM,,Prunus emarginata (Douglas ex Hook.) D. Dietr.,bitter cherry
PRPE2,,Prunus pensylvanica L. f.,pin cherry
PRPU3,,Prunus pumila L.,sandcherry
PRPUB,,Prunus pumila L. var. besseyi (L.H. Bailey) Gleason,western sandcherry
PRVI,,Prunus virginiana L.,chokecherry
PSME,,Pseudotsuga menziesii (Mirb.) Franco,Douglas-fir
