Search type: Characteristics
Shrub|Tree|Native - L48|Missouri

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple
ACFL,ACBA3,Acer barbatum Michx. p.p.,
ACNE2,,Acer negundo L.,boxelder
ACNI5,,Acer nigrum Michx. f.,black maple
ACRU,,Acer rubrum L.,red maple
ACSA2,,Acer saccharinum L.,silver maple
ACSA3,,Acer saccharum Marshall,sugar maple
AEGL,,Aesculus glabra Willd.,Ohio buckeye
AEPA,,Aesculus pavia L.,red buckeye
ALSE2,,Alnus serrulata (Aiton) Willd.,hazel alder
AMAR3,,Amelanchier arborea (Michx. f.) Fernald,common serviceberry
AMCA6,,Amorpha canescens Pursh,leadplant
AMFR,,Amorpha fruticosa L.,false indigo bush
ARSP2,,Aralia spinosa L.,devil's walkingstick
ARME6,,Aronia melanocarpa (Michx.) Elliott,black chokeberry
ARME6,PHME13,Photinia melanocarpa (Michx.) K.R. Robertson & Phipps,
ARGI,,Arundinaria gigantea (Walter) Muhl.,giant cane
ASTR,,Asimina triloba (L.) Dunal,pawpaw
BENI,,Betula nigra L.,river birch
CAAM2,,Callicarpa americana L.,American beautyberry
CACA18,,Carpinus caroliniana Walter,American hornbeam
CAAQ2,,Carya aquatica (Michx. f.) Nutt.,water hickory
CACO15,,Carya cordiformis (Wangenh.) K. Koch,bitternut hickory
CAGL8,,Carya glabra (Mill.) Sweet,pignut hickory
CAIL2,,Carya illinoinensis (Wangenh.) K. Koch,pecan
CALA21,,Carya laciniosa (Michx. f.) G. Don,shellbark hickory
CAOV2,,Carya ovata (Mill.) K. Koch,shagbark hickory
CATO6,,Carya tomentosa (Lam.) Nutt.,mockernut hickory
CATO6,CAAL27,"Carya alba (L.) Nutt., nom. utique rej.",
CADE12,,Castanea dentata (Marshall) Borkh.,American chestnut
CAPU9,,Castanea pumila (L.) Mill.,chinquapin
CABI8,,Catalpa bignonioides Walter,southern catalpa
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CEAM,,Ceanothus americanus L.,New Jersey tea
CELA,,Celtis laevigata Willd.,sugarberry
CEOC,,Celtis occidentalis L.,common hackberry
CEOC2,,Cephalanthus occidentalis L.,common buttonbush
CECA4,,Cercis canadensis L.,eastern redbud
CHVI3,,Chionanthus virginicus L.,white fringetree
CLKE,,Cladrastis kentukea (Dum. Cours.) Rudd,Kentucky yellowwood
COAL2,,Cornus alternifolia L. f.,alternateleaf dogwood
COAM2,,Cornus amomum Mill.,silky dogwood
CODR,,Cornus drummondii C.A. Mey.,roughleaf dogwood
COFL2,,Cornus florida L.,flowering dogwood
COFO,,Cornus foemina Mill.,stiff dogwood
CORA6,,Cornus racemosa Lam.,gray dogwood
COAM3,,Corylus americana Walter,American hazelnut
CRCR2,,Crataegus crus-galli L.,cockspur hawthorn
CRMA5,,Crataegus marshallii Eggl.,parsley hawthorn
CRPH,,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn
CRVI2,,Crataegus viridis L.,green hawthorn
DEVE,,Decodon verticillatus (L.) Elliott,swamp loosestrife
DIVI5,,Diospyros virginiana L.,common persimmon
EUAT5,,Euonymus atropurpureus Jacq.,burningbush
EUAT5,EUAT3,"Euonymus atropurpurea Jacq., orth. var.",
FAGR,,Fagus grandifolia Ehrh.,American beech
FOAC,,Forestiera acuminata (Michx.) Poir.,eastern swampprivet
FRCA13,,Frangula caroliniana (Walter) A. Gray,Carolina buckthorn
FRAM2,,Fraxinus americana L.,white ash
FRPE,,Fraxinus pennsylvanica Marshall,green ash
FRPR,,Fraxinus profunda (Bush) Bush,pumpkin ash
GABA,,Gaylussacia baccata (Wangenh.) K. Koch,black huckleberry
GLAQ,,Gleditsia aquatica Marshall,water locust
GLTR,,Gleditsia triacanthos L.,honeylocust
GYDI,,Gymnocladus dioicus (L.) K. Koch,Kentucky coffeetree
HAVI4,,Hamamelis virginiana L.,American witchhazel
HYPR,,Hypericum prolificum L.,shrubby St. Johnswort
ILDE,,Ilex decidua Walter,possumhaw
ILOP,,Ilex opaca Aiton,American holly
ILVE,,Ilex verticillata (L.) A. Gray,common winterberry
ITVI,,Itea virginica L.,Virginia sweetspire
JUCI,,Juglans cinerea L.,butternut
JUNI,,Juglans nigra L.,black walnut
JUVI,,Juniperus virginiana L.,eastern redcedar
LIBE3,,Lindera benzoin (L.) Blume,northern spicebush
LIST2,,Liquidambar styraciflua L.,sweetgum
LITU,,Liriodendron tulipifera L.,tuliptree
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MAAC,,Magnolia acuminata (L.) L.,cucumber tree
MATR,,Magnolia tripetala (L.) L.,umbrella-tree
MALUS,,Malus Mill.,apple
MAIO,,Malus ioensis (Alph. Wood) Britton,prairie crab apple
MORU2,,Morus rubra L.,red mulberry
NEAR5,,Nekemias arborea (L.) J. Wen & Boggan,peppervine
NEAR5,AMAR5,Ampelopsis arborea (L.) Koehne,
NYAQ2,,Nyssa aquatica L.,water tupelo
NYBI,,Nyssa biflora Walter,swamp tupelo
NYSY,,Nyssa sylvatica Marshall,blackgum
OPPO,,Opuntia polyacantha Haw.,plains pricklypear
OSVI,,Ostrya virginiana (Mill.) K. Koch,hophornbeam
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHOP,,"Physocarpus opulifolius (L.) Maxim., orth. cons.",common ninebark
PIBA2,,Pinus banksiana Lamb.,jack pine
PIEC2,,Pinus echinata Mill.,shortleaf pine
PIRE,,Pinus resinosa Aiton,red pine
PIST,,Pinus strobus L.,eastern white pine
PITA,,Pinus taeda L.,loblolly pine
PIVI2,,Pinus virginiana Mill.,Virginia pine
PLAQ,,Planera aquatica J.F. Gmel.,planertree
PLOC,,Platanus occidentalis L.,American sycamore
POCA19,,Populus ×canadensis Moench (pro sp.) [deltoides × nigra],Carolina poplar
PODE3,,Populus deltoides W. Bartram ex Marshall,eastern cottonwood
PODEM,,Populus deltoides W. Bartram ex Marshall ssp. monilifera (Aiton) Eckenwalder,plains cottonwood
POGR4,,Populus grandidentata Michx.,bigtooth aspen
POHE4,,Populus heterophylla L.,swamp cottonwood
POTR5,,Populus tremuloides Michx.,quaking aspen
PRAM,,Prunus americana Marshall,American plum
PRAN3,,Prunus angustifolia Marshall,Chickasaw plum
PRSE2,,Prunus serotina Ehrh.,black cherry
PRVI,,Prunus virginiana L.,chokecherry
PTTR,,Ptelea trifoliata L.,common hoptree
QUAL,,Quercus alba L.,white oak
QUBI,,Quercus bicolor Willd.,swamp white oak
QUCO2,,Quercus coccinea Münchh.,scarlet oak
QUFA,,Quercus falcata Michx.,southern red oak
QUIM,,Quercus imbricaria Michx.,shingle oak
QULY,,Quercus lyrata Walter,overcup oak
QUMA2,,Quercus macrocarpa Michx.,bur oak
QUMA3,,Quercus marilandica Münchh.,blackjack oak
QUMI,,Quercus michauxii Nutt.,swamp chestnut oak
QUMU,,Quercus muehlenbergii Engelm.,chinquapin oak
QUNI,,Quercus nigra L.,water oak
QUPA5,,Quercus pagoda Raf.,cherrybark oak
QUPA2,,Quercus palustris Münchh.,pin oak
QUPH,,Quercus phellos L.,willow oak
QURU,,Quercus rubra L.,northern red oak
QUSH,,Quercus shumardii Buckley,Shumard's oak
QUST,,Quercus stellata Wangenh.,post oak
QUTE,,Quercus texana Buckley,Nuttall oak
QUVE,,Quercus velutina Lam.,black oak
RHARS,,Rhus aromatica Aiton var. serotina (Greene) Rehder,fragrant sumac
RHCO,,Rhus copallinum L.,winged sumac
RHGL,,Rhus glabra L.,smooth sumac
RHTY,,Rhus typhina L.,staghorn sumac
RHTY,RHHI2,"Rhus hirta (L.) Sudw., nom. utique rej.",
RIAM2,,Ribes americanum Mill.,American black currant
RIAU,,Ribes aureum Pursh,golden currant
RIAUV,,Ribes aureum Pursh var. villosum DC.,golden currant
ROPS,,Robinia pseudoacacia L.,black locust
SAAM2,,Salix amygdaloides Andersson,peachleaf willow
SACA5,,Salix caroliniana Michx.,coastal plain willow
SADI,,Salix discolor Muhl.,pussy willow
SAER,,Salix eriocephala Michx.,Missouri River willow
SAHU2,,Salix humilis Marshall,prairie willow
SAIN3,,Salix interior Rowlee,sandbar willow
SALU2,,Salix lutea Nutt.,yellow willow
SANI,,Salix nigra Marshall,black willow
SASE,,Salix sericea Marshall,silky willow
SANIC4,,Sambucus nigra L. ssp. canadensis (L.) R. Bolli,American black elderberry
SARAR3,,Sambucus racemosa L. var. racemosa,red elderberry
SASAD,,Sapindus saponaria L. var. drummondii (Hook. & Arn.) L.D. Benson,western soapberry
SAAL5,,Sassafras albidum (Nutt.) Nees,sassafras
SILY,,Sideroxylon lycioides L.,buckthorn bully
SMBO2,,Smilax bona-nox L.,saw greenbrier
SMGL,,Smilax glauca Walter,cat greenbrier
SMRO,,Smilax rotundifolia L.,roundleaf greenbrier
SPAL2,,Spiraea alba Du Roi,white meadowsweet
SPDO,,Spiraea douglasii Hook.,rose spirea
SPTO2,,Spiraea tomentosa L.,steeplebush
STAM4,,Styrax americanus Lam.,American snowbell
SYAL,,Symphoricarpos albus (L.) S.F. Blake,common snowberry
SYOC,,Symphoricarpos occidentalis Hook.,western snowberry
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
TADI2,,Taxodium distichum (L.) Rich.,bald cypress
TIAM,,Tilia americana L.,American basswood
TIAMH,,Tilia americana L. var. heterophylla (Vent.) Loudon,American basswood
TSCA,,Tsuga canadensis (L.) Carrière,eastern hemlock
ULAL,,Ulmus alata Michx.,winged elm
ULAM,,Ulmus americana L.,American elm
ULCR,,Ulmus crassifolia Nutt.,cedar elm
ULRU,,Ulmus rubra Muhl.,slippery elm
ULTH,,Ulmus thomasii Sarg.,rock elm
VAAR,,Vaccinium arboreum Marshall,farkleberry
VAST,,Vaccinium stamineum L.,deerberry
VIDED4,,Viburnum dentatum L. var. dentatum,southern arrowwood
VILE,,Viburnum lentago L.,nannyberry
VIOP,,Viburnum opulus L.,European cranberrybush
VIPR,,Viburnum prunifolium L.,blackhaw
VIRA,,Viburnum rafinesqueanum Schult.,downy arrowwood
VIRE7,,Viburnum recognitum Fernald,southern arrowwood
VIRE7,VIDEL,Viburnum dentatum L. var. lucidum Aiton,
YUGL,,Yucca glauca Nutt.,soapweed yucca
