Search type: Characteristics
Shrub|Tree|Native - L48|Nebraska

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACGL,,Acer glabrum Torr.,Rocky Mountain maple
ACNE2,,Acer negundo L.,boxelder
ACSA2,,Acer saccharinum L.,silver maple
AEGL,,Aesculus glabra Willd.,Ohio buckeye
AGGL,,Agoseris glauca (Pursh) Raf.,pale agoseris
AMAL2,,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,Saskatoon serviceberry
AMAR3,,Amelanchier arborea (Michx. f.) Fernald,common serviceberry
AMCA6,,Amorpha canescens Pursh,leadplant
AMFR,,Amorpha fruticosa L.,false indigo bush
ARCA13,,Artemisia cana Pursh,silver sagebrush
ARTR2,,Artemisia tridentata Nutt.,big sagebrush
ARTRV,,Artemisia tridentata Nutt. ssp. vaseyana (Rydb.) Beetle,mountain big sagebrush
ARTRW8,,Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young,Wyoming big sagebrush
ASTR,,Asimina triloba (L.) Dunal,pawpaw
ATCA2,,Atriplex canescens (Pursh) Nutt.,fourwing saltbush
BEOC2,,Betula occidentalis Hook.,water birch
BEPA,,Betula papyrifera Marshall,paper birch
CACO15,,Carya cordiformis (Wangenh.) K. Koch,bitternut hickory
CAOV2,,Carya ovata (Mill.) K. Koch,shagbark hickory
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CEAM,,Ceanothus americanus L.,New Jersey tea
CEOC,,Celtis occidentalis L.,common hackberry
CEOC2,,Cephalanthus occidentalis L.,common buttonbush
CECA4,,Cercis canadensis L.,eastern redbud
CEMO2,,Cercocarpus montanus Raf.,alderleaf mountain mahogany
CHVI8,,Chrysothamnus viscidiflorus (Hook.) Nutt.,yellow rabbitbrush
CODR,,Cornus drummondii C.A. Mey.,roughleaf dogwood
CORA6,,Cornus racemosa Lam.,gray dogwood
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
COAM3,,Corylus americana Walter,American hazelnut
DIVI5,,Diospyros virginiana L.,common persimmon
ERNAN5,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. nauseosa,rubber rabbitbrush
EUAT5,,Euonymus atropurpureus Jacq.,burningbush
EUAT5,EUAT3,"Euonymus atropurpurea Jacq., orth. var.",
FRAM2,,Fraxinus americana L.,white ash
FRPE,,Fraxinus pennsylvanica Marshall,green ash
GLTR,,Gleditsia triacanthos L.,honeylocust
GUSA2,,Gutierrezia sarothrae (Pursh) Britton & Rusby,broom snakeweed
GYDI,,Gymnocladus dioicus (L.) K. Koch,Kentucky coffeetree
JUNI,,Juglans nigra L.,black walnut
JUCO6,,Juniperus communis L.,common juniper
JUSC2,,Juniperus scopulorum Sarg.,Rocky Mountain juniper
JUVI,,Juniperus virginiana L.,eastern redcedar
KRLA2,,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,winterfat
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MARE11,,Mahonia repens (Lindl.) G. Don,creeping barberry
MALUS,,Malus Mill.,apple
MAIO,,Malus ioensis (Alph. Wood) Britton,prairie crab apple
MORU2,,Morus rubra L.,red mulberry
OPPO,,Opuntia polyacantha Haw.,plains pricklypear
OSVI,,Ostrya virginiana (Mill.) K. Koch,hophornbeam
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHOP,,"Physocarpus opulifolius (L.) Maxim., orth. cons.",common ninebark
PIFL2,,Pinus flexilis James,limber pine
PIPO,,Pinus ponderosa Lawson & C. Lawson,ponderosa pine
PLOC,,Platanus occidentalis L.,American sycamore
POAN3,,Populus angustifolia James,narrowleaf cottonwood
PODE3,,Populus deltoides W. Bartram ex Marshall,eastern cottonwood
PODEM,,Populus deltoides W. Bartram ex Marshall ssp. monilifera (Aiton) Eckenwalder,plains cottonwood
POTR5,,Populus tremuloides Michx.,quaking aspen
PRAM,,Prunus americana Marshall,American plum
PRAN3,,Prunus angustifolia Marshall,Chickasaw plum
PRPU3,,Prunus pumila L.,sandcherry
PRPUB,,Prunus pumila L. var. besseyi (L.H. Bailey) Gleason,western sandcherry
PRSE2,,Prunus serotina Ehrh.,black cherry
PRVI,,Prunus virginiana L.,chokecherry
PRVID,,Prunus virginiana L. var. demissa (Nutt.) Torr.,western chokecherry
PTTR,,Ptelea trifoliata L.,common hoptree
PUTR2,,Purshia tridentata (Pursh) DC.,antelope bitterbrush
QUAL,,Quercus alba L.,white oak
QUMA2,,Quercus macrocarpa Michx.,bur oak
QUMA3,,Quercus marilandica Münchh.,blackjack oak
QUMU,,Quercus muehlenbergii Engelm.,chinquapin oak
QUPA2,,Quercus palustris Münchh.,pin oak
QURU,,Quercus rubra L.,northern red oak
QUVE,,Quercus velutina Lam.,black oak
RHARS,,Rhus aromatica Aiton var. serotina (Greene) Rehder,fragrant sumac
RHCO,,Rhus copallinum L.,winged sumac
RHGL,,Rhus glabra L.,smooth sumac
RHTR,,Rhus trilobata Nutt.,skunkbush sumac
RIAM2,,Ribes americanum Mill.,American black currant
RIAU,,Ribes aureum Pursh,golden currant
RIAUV,,Ribes aureum Pursh var. villosum DC.,golden currant
RICE,,Ribes cereum Douglas,wax currant
ROPS,,Robinia pseudoacacia L.,black locust
SAAM2,,Salix amygdaloides Andersson,peachleaf willow
SABE2,,Salix bebbiana Sarg.,Bebb willow
SAER,,Salix eriocephala Michx.,Missouri River willow
SAHU2,,Salix humilis Marshall,prairie willow
SAIN3,,Salix interior Rowlee,sandbar willow
SALU2,,Salix lutea Nutt.,yellow willow
SANI,,Salix nigra Marshall,black willow
SANIC4,,Sambucus nigra L. ssp. canadensis (L.) R. Bolli,American black elderberry
SAVE4,,Sarcobatus vermiculatus (Hook.) Torr.,greasewood
SHAR,,Shepherdia argentea (Pursh) Nutt.,silver buffaloberry
SMGL,,Smilax glauca Walter,cat greenbrier
SYAL,,Symphoricarpos albus (L.) S.F. Blake,common snowberry
SYOC,,Symphoricarpos occidentalis Hook.,western snowberry
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
TIAM,,Tilia americana L.,American basswood
ULAM,,Ulmus americana L.,American elm
ULRU,,Ulmus rubra Muhl.,slippery elm
ULTH,,Ulmus thomasii Sarg.,rock elm
VILE,,Viburnum lentago L.,nannyberry
VIOP,,Viburnum opulus L.,European cranberrybush
VIOPA2,,Viburnum opulus L. var. americanum Aiton,American cranberrybush
YUGL,,Yucca glauca Nutt.,soapweed yucca
