Search type: Characteristics
Shrub|Tree|Native - L48|North Dakota

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACNE2,,Acer negundo L.,boxelder
ACSA2,,Acer saccharinum L.,silver maple
ACSA3,,Acer saccharum Marshall,sugar maple
AGGL,,Agoseris glauca (Pursh) Raf.,pale agoseris
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINR,,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,speckled alder
AMAL2,,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,Saskatoon serviceberry
AMSA,,Amelanchier sanguinea (Pursh) DC.,roundleaf serviceberry
AMCA6,,Amorpha canescens Pursh,leadplant
AMFR,,Amorpha fruticosa L.,false indigo bush
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ARCA13,,Artemisia cana Pursh,silver sagebrush
ARTR2,,Artemisia tridentata Nutt.,big sagebrush
ARTRV,,Artemisia tridentata Nutt. ssp. vaseyana (Rydb.) Beetle,mountain big sagebrush
ARTRW8,,Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young,Wyoming big sagebrush
ATAP,,Atriplex ×aptera A. Nelson (pro sp.) [canescens × nutallii],moundscale
ATCA2,,Atriplex canescens (Pursh) Nutt.,fourwing saltbush
ATCO,,Atriplex confertifolia (Torr. & Frém.) S. Watson,shadscale saltbush
ATGA,,Atriplex gardneri (Moq.) D. Dietr.,Gardner's saltbush
BEOC2,,Betula occidentalis Hook.,water birch
BEPA,,Betula papyrifera Marshall,paper birch
BEPU4,,Betula pumila L.,bog birch
CAOV2,,Carya ovata (Mill.) K. Koch,shagbark hickory
CABI8,,Catalpa bignonioides Walter,southern catalpa
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CEOC,,Celtis occidentalis L.,common hackberry
COCA13,,Cornus canadensis L.,bunchberry dogwood
CORA6,,Cornus racemosa Lam.,gray dogwood
CORU,,Cornus rugosa Lam.,roundleaf dogwood
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
COAM3,,Corylus americana Walter,American hazelnut
COCO6,,Corylus cornuta Marshall,beaked hazelnut
CRDO2,,Crataegus douglasii Lindl.,black hawthorn
DAFRF,,Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz,shrubby cinquefoil
DAFRF,DAFL3,Dasiphora floribunda (Pursh) Raf.,
DILO,,Diervilla lonicera Mill.,northern bush honeysuckle
ELCO,,Elaeagnus commutata Bernh. ex Rydb.,silverberry
ERNAN5,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. nauseosa,rubber rabbitbrush
EUAT5,,Euonymus atropurpureus Jacq.,burningbush
EUAT5,EUAT3,"Euonymus atropurpurea Jacq., orth. var.",
FRNI,,Fraxinus nigra Marshall,black ash
FRPE,,Fraxinus pennsylvanica Marshall,green ash
GLTR,,Gleditsia triacanthos L.,honeylocust
GUSA2,,Gutierrezia sarothrae (Pursh) Britton & Rusby,broom snakeweed
GYDI,,Gymnocladus dioicus (L.) K. Koch,Kentucky coffeetree
HUTO,,Hudsonia tomentosa Nutt.,woolly beachheather
JUNI,,Juglans nigra L.,black walnut
JUCO6,,Juniperus communis L.,common juniper
JUSC2,,Juniperus scopulorum Sarg.,Rocky Mountain juniper
JUVI,,Juniperus virginiana L.,eastern redcedar
KRLA2,,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,winterfat
LEGR,,Ledum groenlandicum Oeder,bog Labrador tea
MARE11,,Mahonia repens (Lindl.) G. Don,creeping barberry
OPPO,,Opuntia polyacantha Haw.,plains pricklypear
OSVI,,Ostrya virginiana (Mill.) K. Koch,hophornbeam
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHOP,,"Physocarpus opulifolius (L.) Maxim., orth. cons.",common ninebark
PIBA2,,Pinus banksiana Lamb.,jack pine
PIFL2,,Pinus flexilis James,limber pine
PIPO,,Pinus ponderosa Lawson & C. Lawson,ponderosa pine
POCA19,,Populus ×canadensis Moench (pro sp.) [deltoides × nigra],Carolina poplar
POBA2,,Populus balsamifera L.,balsam poplar
POBAT,,Populus balsamifera L. ssp. trichocarpa (Torr. & A. Gray ex Hook.) Brayshaw,black cottonwood
PODE3,,Populus deltoides W. Bartram ex Marshall,eastern cottonwood
PODEM,,Populus deltoides W. Bartram ex Marshall ssp. monilifera (Aiton) Eckenwalder,plains cottonwood
POGR4,,Populus grandidentata Michx.,bigtooth aspen
POTR5,,Populus tremuloides Michx.,quaking aspen
PRAM,,Prunus americana Marshall,American plum
PRPE2,,Prunus pensylvanica L. f.,pin cherry
PRPU3,,Prunus pumila L.,sandcherry
PRPUB,,Prunus pumila L. var. besseyi (L.H. Bailey) Gleason,western sandcherry
PRSE2,,Prunus serotina Ehrh.,black cherry
PRVI,,Prunus virginiana L.,chokecherry
QUMA2,,Quercus macrocarpa Michx.,bur oak
RHAL,,Rhamnus alnifolia L'Hér.,alderleaf buckthorn
RHGL,,Rhus glabra L.,smooth sumac
RHTR,,Rhus trilobata Nutt.,skunkbush sumac
RIAM2,,Ribes americanum Mill.,American black currant
RIAU,,Ribes aureum Pursh,golden currant
RIAUV,,Ribes aureum Pursh var. villosum DC.,golden currant
RICE,,Ribes cereum Douglas,wax currant
RITR,,Ribes triste Pall.,red currant
ROPS,,Robinia pseudoacacia L.,black locust
SAAM2,,Salix amygdaloides Andersson,peachleaf willow
SABE2,,Salix bebbiana Sarg.,Bebb willow
SACA4,,Salix candida Flueggé ex Willd.,sageleaf willow
SADI,,Salix discolor Muhl.,pussy willow
SAER,,Salix eriocephala Michx.,Missouri River willow
SAHU2,,Salix humilis Marshall,prairie willow
SAIN3,,Salix interior Rowlee,sandbar willow
SALU,,Salix lucida Muhl.,shining willow
SALU2,,Salix lutea Nutt.,yellow willow
SANIC4,,Sambucus nigra L. ssp. canadensis (L.) R. Bolli,American black elderberry
SARAR3,,Sambucus racemosa L. var. racemosa,red elderberry
SAVE4,,Sarcobatus vermiculatus (Hook.) Torr.,greasewood
SHAR,,Shepherdia argentea (Pursh) Nutt.,silver buffaloberry
SHCA,,Shepherdia canadensis (L.) Nutt.,russet buffaloberry
SOSC2,,Sorbus scopulina Greene,Greene's mountain ash
SPAL2,,Spiraea alba Du Roi,white meadowsweet
SYAL,,Symphoricarpos albus (L.) S.F. Blake,common snowberry
SYOC,,Symphoricarpos occidentalis Hook.,western snowberry
TIAM,,Tilia americana L.,American basswood
ULAM,,Ulmus americana L.,American elm
ULRU,,Ulmus rubra Muhl.,slippery elm
ULTH,,Ulmus thomasii Sarg.,rock elm
VILE,,Viburnum lentago L.,nannyberry
VIOP,,Viburnum opulus L.,European cranberrybush
VIOPA2,,Viburnum opulus L. var. americanum Aiton,American cranberrybush
VIRA,,Viburnum rafinesqueanum Schult.,downy arrowwood
YUGL,,Yucca glauca Nutt.,soapweed yucca
