Search type: Characteristics
Shrub|Tree|Native - L48|Wisconsin

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABBA,,Abies balsamea (L.) Mill.,balsam fir
ACNE2,,Acer negundo L.,boxelder
ACNI5,,Acer nigrum Michx. f.,black maple
ACPE,,Acer pensylvanicum L.,striped maple
ACRU,,Acer rubrum L.,red maple
ACSA2,,Acer saccharinum L.,silver maple
ACSA3,,Acer saccharum Marshall,sugar maple
ACSP2,,Acer spicatum Lam.,mountain maple
AEGL,,Aesculus glabra Willd.,Ohio buckeye
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINR,,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,speckled alder
ALVIC,,Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill,mountain alder
AMAR3,,Amelanchier arborea (Michx. f.) Fernald,common serviceberry
AMLA,,Amelanchier laevis Wiegand,Allegheny serviceberry
AMSA,,Amelanchier sanguinea (Pursh) DC.,roundleaf serviceberry
AMCA6,,Amorpha canescens Pursh,leadplant
AMFR,,Amorpha fruticosa L.,false indigo bush
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ARME6,,Aronia melanocarpa (Michx.) Elliott,black chokeberry
ARME6,PHME13,Photinia melanocarpa (Michx.) K.R. Robertson & Phipps,
ASTR,,Asimina triloba (L.) Dunal,pawpaw
BEAL2,,Betula alleghaniensis Britton,yellow birch
BENI,,Betula nigra L.,river birch
BEPA,,Betula papyrifera Marshall,paper birch
BEPU4,,Betula pumila L.,bog birch
CACA18,,Carpinus caroliniana Walter,American hornbeam
CACO15,,Carya cordiformis (Wangenh.) K. Koch,bitternut hickory
CAOV2,,Carya ovata (Mill.) K. Koch,shagbark hickory
CADE12,,Castanea dentata (Marshall) Borkh.,American chestnut
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CEAM,,Ceanothus americanus L.,New Jersey tea
CEOC,,Celtis occidentalis L.,common hackberry
CEOC2,,Cephalanthus occidentalis L.,common buttonbush
CECA4,,Cercis canadensis L.,eastern redbud
CHCA2,,Chamaedaphne calyculata (L.) Moench,leatherleaf
COPE80,,Comptonia peregrina (L.) J.M. Coult.,sweet fern
COAL2,,Cornus alternifolia L. f.,alternateleaf dogwood
COCA13,,Cornus canadensis L.,bunchberry dogwood
CODR,,Cornus drummondii C.A. Mey.,roughleaf dogwood
CORA6,,Cornus racemosa Lam.,gray dogwood
CORU,,Cornus rugosa Lam.,roundleaf dogwood
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
COAM3,,Corylus americana Walter,American hazelnut
COCO6,,Corylus cornuta Marshall,beaked hazelnut
CRAN6,,Crataegus ×anomala Sarg. (pro sp.) [intricata × mollis],Arnold hawthorn
CRCR2,,Crataegus crus-galli L.,cockspur hawthorn
CRDO2,,Crataegus douglasii Lindl.,black hawthorn
DAFRF,,Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz,shrubby cinquefoil
DAFRF,DAFL3,Dasiphora floribunda (Pursh) Raf.,
DEVE,,Decodon verticillatus (L.) Elliott,swamp loosestrife
DILO,,Diervilla lonicera Mill.,northern bush honeysuckle
EUAT5,,Euonymus atropurpureus Jacq.,burningbush
EUAT5,EUAT3,"Euonymus atropurpurea Jacq., orth. var.",
FAGR,,Fagus grandifolia Ehrh.,American beech
FRAM2,,Fraxinus americana L.,white ash
FRNI,,Fraxinus nigra Marshall,black ash
FRPE,,Fraxinus pennsylvanica Marshall,green ash
GAHI2,,Gaultheria hispidula (L.) Muhl. ex Bigelow,creeping snowberry
GAPR2,,Gaultheria procumbens L.,eastern teaberry
GABA,,Gaylussacia baccata (Wangenh.) K. Koch,black huckleberry
GLTR,,Gleditsia triacanthos L.,honeylocust
GYDI,,Gymnocladus dioicus (L.) K. Koch,Kentucky coffeetree
HAVI4,,Hamamelis virginiana L.,American witchhazel
HUTO,,Hudsonia tomentosa Nutt.,woolly beachheather
HYPR,,Hypericum prolificum L.,shrubby St. Johnswort
ILVE,,Ilex verticillata (L.) A. Gray,common winterberry
JUCI,,Juglans cinerea L.,butternut
JUNI,,Juglans nigra L.,black walnut
JUCO6,,Juniperus communis L.,common juniper
JUVI,,Juniperus virginiana L.,eastern redcedar
KAPO,,Kalmia polifolia Wangenh.,bog laurel
LALA,,Larix laricina (Du Roi) K. Koch,tamarack
LEGR,,Ledum groenlandicum Oeder,bog Labrador tea
LOIN5,,Lonicera involucrata (Richardson) Banks ex Spreng.,twinberry honeysuckle
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,,Malus Mill.,apple
MAIO,,Malus ioensis (Alph. Wood) Britton,prairie crab apple
MORU2,,Morus rubra L.,red mulberry
MYGA,,Myrica gale L.,sweetgale
NYSY,,Nyssa sylvatica Marshall,blackgum
OSVI,,Ostrya virginiana (Mill.) K. Koch,hophornbeam
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHOP,,"Physocarpus opulifolius (L.) Maxim., orth. cons.",common ninebark
PIGL,,Picea glauca (Moench) Voss,white spruce
PIMA,,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",black spruce
PIBA2,,Pinus banksiana Lamb.,jack pine
PIRE,,Pinus resinosa Aiton,red pine
PIST,,Pinus strobus L.,eastern white pine
PLOC,,Platanus occidentalis L.,American sycamore
POCA19,,Populus ×canadensis Moench (pro sp.) [deltoides × nigra],Carolina poplar
POBA2,,Populus balsamifera L.,balsam poplar
PODE3,,Populus deltoides W. Bartram ex Marshall,eastern cottonwood
PODEM,,Populus deltoides W. Bartram ex Marshall ssp. monilifera (Aiton) Eckenwalder,plains cottonwood
POGR4,,Populus grandidentata Michx.,bigtooth aspen
POTR5,,Populus tremuloides Michx.,quaking aspen
PRAM,,Prunus americana Marshall,American plum
PRNI,,Prunus nigra Aiton,Canadian plum
PRPE2,,Prunus pensylvanica L. f.,pin cherry
PRPU3,,Prunus pumila L.,sandcherry
PRPUB,,Prunus pumila L. var. besseyi (L.H. Bailey) Gleason,western sandcherry
PRSE2,,Prunus serotina Ehrh.,black cherry
PRVI,,Prunus virginiana L.,chokecherry
PTTR,,Ptelea trifoliata L.,common hoptree
QUAL,,Quercus alba L.,white oak
QUBI,,Quercus bicolor Willd.,swamp white oak
QUCO2,,Quercus coccinea Münchh.,scarlet oak
QUMA2,,Quercus macrocarpa Michx.,bur oak
QUMU,,Quercus muehlenbergii Engelm.,chinquapin oak
QUPA2,,Quercus palustris Münchh.,pin oak
QURU,,Quercus rubra L.,northern red oak
QUVE,,Quercus velutina Lam.,black oak
RHAL,,Rhamnus alnifolia L'Hér.,alderleaf buckthorn
RHLA2,,Rhododendron lapponicum (L.) Wahlenb.,Lapland rosebay
RHARS,,Rhus aromatica Aiton var. serotina (Greene) Rehder,fragrant sumac
RHCO,,Rhus copallinum L.,winged sumac
RHGL,,Rhus glabra L.,smooth sumac
RHTY,,Rhus typhina L.,staghorn sumac
RHTY,RHHI2,"Rhus hirta (L.) Sudw., nom. utique rej.",
RIAM2,,Ribes americanum Mill.,American black currant
RIAU,,Ribes aureum Pursh,golden currant
RIAUV,,Ribes aureum Pursh var. villosum DC.,golden currant
RIHU,,Ribes hudsonianum Richardson,northern black currant
RILA,,Ribes lacustre (Pers.) Poir.,prickly currant
RITR,,Ribes triste Pall.,red currant
ROPS,,Robinia pseudoacacia L.,black locust
SAAM2,,Salix amygdaloides Andersson,peachleaf willow
SABE2,,Salix bebbiana Sarg.,Bebb willow
SACA4,,Salix candida Flueggé ex Willd.,sageleaf willow
SADI,,Salix discolor Muhl.,pussy willow
SAER,,Salix eriocephala Michx.,Missouri River willow
SAHU2,,Salix humilis Marshall,prairie willow
SAIN3,,Salix interior Rowlee,sandbar willow
SALU,,Salix lucida Muhl.,shining willow
SANI,,Salix nigra Marshall,black willow
SAPL2,,Salix planifolia Pursh,diamondleaf willow
SASE,,Salix sericea Marshall,silky willow
SANIC4,,Sambucus nigra L. ssp. canadensis (L.) R. Bolli,American black elderberry
SARAR3,,Sambucus racemosa L. var. racemosa,red elderberry
SAAL5,,Sassafras albidum (Nutt.) Nees,sassafras
SHAR,,Shepherdia argentea (Pursh) Nutt.,silver buffaloberry
SHCA,,Shepherdia canadensis (L.) Nutt.,russet buffaloberry
SOAM3,,Sorbus americana Marshall,American mountain ash
SODE3,,Sorbus decora (Sarg.) C.K. Schneid.,northern mountain ash
SPAL2,,Spiraea alba Du Roi,white meadowsweet
SPTO2,,Spiraea tomentosa L.,steeplebush
SYAL,,Symphoricarpos albus (L.) S.F. Blake,common snowberry
SYOC,,Symphoricarpos occidentalis Hook.,western snowberry
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
TACA7,,Taxus canadensis Marshall,Canada yew
THOC2,,Thuja occidentalis L.,arborvitae
TIAM,,Tilia americana L.,American basswood
TSCA,,Tsuga canadensis (L.) Carrière,eastern hemlock
ULAM,,Ulmus americana L.,American elm
ULRU,,Ulmus rubra Muhl.,slippery elm
ULTH,,Ulmus thomasii Sarg.,rock elm
VAAN,,Vaccinium angustifolium Aiton,lowbush blueberry
VACE,,Vaccinium cespitosum Michx.,dwarf bilberry
VACE,VACA13,"Vaccinium caespitosum Michx., orth. var.",
VACO,,Vaccinium corymbosum L.,highbush blueberry
VAVI,,Vaccinium vitis-idaea L.,lingonberry
VIAC,,Viburnum acerifolium L.,mapleleaf viburnum
VIED,,Viburnum edule (Michx.) Raf.,squashberry
VILE,,Viburnum lentago L.,nannyberry
VINUC,,Viburnum nudum L. var. cassinoides (L.) Torr. & A. Gray,withe-rod
VIOP,,Viburnum opulus L.,European cranberrybush
VIOPA2,,Viburnum opulus L. var. americanum Aiton,American cranberrybush
