Search type: Characteristics
Shrub|Tree|Native - L48|Delaware

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACNE2,,Acer negundo L.,boxelder
ACNI5,,Acer nigrum Michx. f.,black maple
ACRU,,Acer rubrum L.,red maple
ACSA2,,Acer saccharinum L.,silver maple
ACSA3,,Acer saccharum Marshall,sugar maple
ALMA7,,Alnus maritima (Marshall) Muhl. ex Nutt.,seaside alder
ALSE2,,Alnus serrulata (Aiton) Willd.,hazel alder
AMAR3,,Amelanchier arborea (Michx. f.) Fernald,common serviceberry
AMCA4,,Amelanchier canadensis (L.) Medik.,Canadian serviceberry
AMLA,,Amelanchier laevis Wiegand,Allegheny serviceberry
AMOB2,,Amelanchier obovalis (Michx.) Ashe,coastal serviceberry
AMFR,,Amorpha fruticosa L.,false indigo bush
ARSP2,,Aralia spinosa L.,devil's walkingstick
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ARAR7,,Aronia arbutifolia (L.) Pers.,red chokeberry
ARAR7,PHPY4,Photinia pyrifolia (Lam.) K.R. Robertson & Phipps,
ARME6,,Aronia melanocarpa (Michx.) Elliott,black chokeberry
ARME6,PHME13,Photinia melanocarpa (Michx.) K.R. Robertson & Phipps,
ARGI,,Arundinaria gigantea (Walter) Muhl.,giant cane
ASTR,,Asimina triloba (L.) Dunal,pawpaw
BAHA,,Baccharis halimifolia L.,eastern baccharis
BELE,,Betula lenta L.,sweet birch
BENI,,Betula nigra L.,river birch
BEPO,,Betula populifolia Marshall,gray birch
CACA18,,Carpinus caroliniana Walter,American hornbeam
CACO15,,Carya cordiformis (Wangenh.) K. Koch,bitternut hickory
CAGL8,,Carya glabra (Mill.) Sweet,pignut hickory
CALA21,,Carya laciniosa (Michx. f.) G. Don,shellbark hickory
CAOV2,,Carya ovata (Mill.) K. Koch,shagbark hickory
CATO6,,Carya tomentosa (Lam.) Nutt.,mockernut hickory
CATO6,CAAL27,"Carya alba (L.) Nutt., nom. utique rej.",
CADE12,,Castanea dentata (Marshall) Borkh.,American chestnut
CAPU9,,Castanea pumila (L.) Mill.,chinquapin
CABI8,,Catalpa bignonioides Walter,southern catalpa
CEAM,,Ceanothus americanus L.,New Jersey tea
CEOC,,Celtis occidentalis L.,common hackberry
CEOC2,,Cephalanthus occidentalis L.,common buttonbush
CECA4,,Cercis canadensis L.,eastern redbud
CHTH2,,"Chamaecyparis thyoides (L.) Britton, Sterns & Poggenb.",Atlantic white cedar
CHCA2,,Chamaedaphne calyculata (L.) Moench,leatherleaf
CHVI3,,Chionanthus virginicus L.,white fringetree
CLAL3,,Clethra alnifolia L.,coastal sweetpepperbush
COPE80,,Comptonia peregrina (L.) J.M. Coult.,sweet fern
COAL2,,Cornus alternifolia L. f.,alternateleaf dogwood
COAM2,,Cornus amomum Mill.,silky dogwood
COFL2,,Cornus florida L.,flowering dogwood
COFO,,Cornus foemina Mill.,stiff dogwood
CORA6,,Cornus racemosa Lam.,gray dogwood
CORU,,Cornus rugosa Lam.,roundleaf dogwood
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
COAM3,,Corylus americana Walter,American hazelnut
COCO6,,Corylus cornuta Marshall,beaked hazelnut
CRCR2,,Crataegus crus-galli L.,cockspur hawthorn
CRPH,,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn
CRVI2,,Crataegus viridis L.,green hawthorn
CYRA,,Cyrilla racemiflora L.,swamp titi
DEVE,,Decodon verticillatus (L.) Elliott,swamp loosestrife
DILO,,Diervilla lonicera Mill.,northern bush honeysuckle
DIVI5,,Diospyros virginiana L.,common persimmon
EURA14,,Eubotrys racemosus (L.) Nutt.,swamp doghobble
EURA14,LERA4,Leucothoe racemosa (L.) A. Gray,
EUAT5,,Euonymus atropurpureus Jacq.,burningbush
EUAT5,EUAT3,"Euonymus atropurpurea Jacq., orth. var.",
FAGR,,Fagus grandifolia Ehrh.,American beech
FRAM2,,Fraxinus americana L.,white ash
FRNI,,Fraxinus nigra Marshall,black ash
FRPE,,Fraxinus pennsylvanica Marshall,green ash
FRPR,,Fraxinus profunda (Bush) Bush,pumpkin ash
GAPR2,,Gaultheria procumbens L.,eastern teaberry
GABA,,Gaylussacia baccata (Wangenh.) K. Koch,black huckleberry
GADU,,Gaylussacia dumosa (Andrews) Torr. & A. Gray,dwarf huckleberry
GAFR2,,Gaylussacia frondosa (L.) Torr. & A. Gray ex Torr.,blue huckleberry
GLTR,,Gleditsia triacanthos L.,honeylocust
GYDI,,Gymnocladus dioicus (L.) K. Koch,Kentucky coffeetree
HAVI4,,Hamamelis virginiana L.,American witchhazel
HUTO,,Hudsonia tomentosa Nutt.,woolly beachheather
HYCR3,,Hypericum crux-andreae (L.) Crantz,St. Peterswort
HYDE,,Hypericum densiflorum Pursh,bushy St. Johnswort
HYPR,,Hypericum prolificum L.,shrubby St. Johnswort
ILGL,,Ilex glabra (L.) A. Gray,inkberry
ILOP,,Ilex opaca Aiton,American holly
ILVE,,Ilex verticillata (L.) A. Gray,common winterberry
ITVI,,Itea virginica L.,Virginia sweetspire
JUCI,,Juglans cinerea L.,butternut
JUNI,,Juglans nigra L.,black walnut
