Search type: Characteristics
Shrub|Tree|Native - L48|Maryland

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABBA,,Abies balsamea (L.) Mill.,balsam fir
ACNE2,,Acer negundo L.,boxelder
ACNI5,,Acer nigrum Michx. f.,black maple
ACPE,,Acer pensylvanicum L.,striped maple
ACRU,,Acer rubrum L.,red maple
ACSA2,,Acer saccharinum L.,silver maple
ACSA3,,Acer saccharum Marshall,sugar maple
ACSP2,,Acer spicatum Lam.,mountain maple
AEFL,,Aesculus flava Aiton,yellow buckeye
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINR,,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,speckled alder
ALMA7,,Alnus maritima (Marshall) Muhl. ex Nutt.,seaside alder
ALSE2,,Alnus serrulata (Aiton) Willd.,hazel alder
AMAR3,,Amelanchier arborea (Michx. f.) Fernald,common serviceberry
AMCA4,,Amelanchier canadensis (L.) Medik.,Canadian serviceberry
AMLA,,Amelanchier laevis Wiegand,Allegheny serviceberry
AMOB2,,Amelanchier obovalis (Michx.) Ashe,coastal serviceberry
AMSA,,Amelanchier sanguinea (Pursh) DC.,roundleaf serviceberry
AMFR,,Amorpha fruticosa L.,false indigo bush
ARSP2,,Aralia spinosa L.,devil's walkingstick
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ARAR7,,Aronia arbutifolia (L.) Pers.,red chokeberry
ARAR7,PHPY4,Photinia pyrifolia (Lam.) K.R. Robertson & Phipps,
ARME6,,Aronia melanocarpa (Michx.) Elliott,black chokeberry
ARME6,PHME13,Photinia melanocarpa (Michx.) K.R. Robertson & Phipps,
ARGI,,Arundinaria gigantea (Walter) Muhl.,giant cane
ARTE4,,Arundinaria tecta (Walter) Muhl.,switchcane
ARTE4,ARGIT8,Arundinaria gigantea (Walter) Muhl. ssp. tecta (Walter) McClure,
ASTR,,Asimina triloba (L.) Dunal,pawpaw
BAHA,,Baccharis halimifolia L.,eastern baccharis
BEAL2,,Betula alleghaniensis Britton,yellow birch
BELE,,Betula lenta L.,sweet birch
BENI,,Betula nigra L.,river birch
BEPA,,Betula papyrifera Marshall,paper birch
BEPO,,Betula populifolia Marshall,gray birch
CAAM2,,Callicarpa americana L.,American beautyberry
CACA18,,Carpinus caroliniana Walter,American hornbeam
CACO15,,Carya cordiformis (Wangenh.) K. Koch,bitternut hickory
CAGL8,,Carya glabra (Mill.) Sweet,pignut hickory
CAIL2,,Carya illinoinensis (Wangenh.) K. Koch,pecan
CALA21,,Carya laciniosa (Michx. f.) G. Don,shellbark hickory
CAOV2,,Carya ovata (Mill.) K. Koch,shagbark hickory
CATO6,,Carya tomentosa (Lam.) Nutt.,mockernut hickory
CATO6,CAAL27,"Carya alba (L.) Nutt., nom. utique rej.",
CADE12,,Castanea dentata (Marshall) Borkh.,American chestnut
CAPU9,,Castanea pumila (L.) Mill.,chinquapin
CABI8,,Catalpa bignonioides Walter,southern catalpa
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CEAM,,Ceanothus americanus L.,New Jersey tea
CELA,,Celtis laevigata Willd.,sugarberry
CEOC,,Celtis occidentalis L.,common hackberry
CEOC2,,Cephalanthus occidentalis L.,common buttonbush
CECA4,,Cercis canadensis L.,eastern redbud
CHTH2,,"Chamaecyparis thyoides (L.) Britton, Sterns & Poggenb.",Atlantic white cedar
CHCA2,,Chamaedaphne calyculata (L.) Moench,leatherleaf
CHVI3,,Chionanthus virginicus L.,white fringetree
CLAL3,,Clethra alnifolia L.,coastal sweetpepperbush
COPE80,,Comptonia peregrina (L.) J.M. Coult.,sweet fern
COAL2,,Cornus alternifolia L. f.,alternateleaf dogwood
COAM2,,Cornus amomum Mill.,silky dogwood
COCA13,,Cornus canadensis L.,bunchberry dogwood
COFL2,,Cornus florida L.,flowering dogwood
COFO,,Cornus foemina Mill.,stiff dogwood
CORA6,,Cornus racemosa Lam.,gray dogwood
CORU,,Cornus rugosa Lam.,roundleaf dogwood
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
COAM3,,Corylus americana Walter,American hazelnut
COCO6,,Corylus cornuta Marshall,beaked hazelnut
CRCR2,,Crataegus crus-galli L.,cockspur hawthorn
CRPH,,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn
CRVI2,,Crataegus viridis L.,green hawthorn
DEVE,,Decodon verticillatus (L.) Elliott,swamp loosestrife
DILO,,Diervilla lonicera Mill.,northern bush honeysuckle
DIVI5,,Diospyros virginiana L.,common persimmon
ELCO,,Elaeagnus commutata Bernh. ex Rydb.,silverberry
EURA14,,Eubotrys racemosus (L.) Nutt.,swamp doghobble
EURA14,LERA4,Leucothoe racemosa (L.) A. Gray,
EUAT5,,Euonymus atropurpureus Jacq.,burningbush
EUAT5,EUAT3,"Euonymus atropurpurea Jacq., orth. var.",
FAGR,,Fagus grandifolia Ehrh.,American beech
FRCA13,,Frangula caroliniana (Walter) A. Gray,Carolina buckthorn
FRAM2,,Fraxinus americana L.,white ash
FRNI,,Fraxinus nigra Marshall,black ash
FRPE,,Fraxinus pennsylvanica Marshall,green ash
FRPR,,Fraxinus profunda (Bush) Bush,pumpkin ash
GAHI2,,Gaultheria hispidula (L.) Muhl. ex Bigelow,creeping snowberry
GAPR2,,Gaultheria procumbens L.,eastern teaberry
GABA,,Gaylussacia baccata (Wangenh.) K. Koch,black huckleberry
GADU,,Gaylussacia dumosa (Andrews) Torr. & A. Gray,dwarf huckleberry
GAFR2,,Gaylussacia frondosa (L.) Torr. & A. Gray ex Torr.,blue huckleberry
GLTR,,Gleditsia triacanthos L.,honeylocust
GYDI,,Gymnocladus dioicus (L.) K. Koch,Kentucky coffeetree
HAVI4,,Hamamelis virginiana L.,American witchhazel
HUTO,,Hudsonia tomentosa Nutt.,woolly beachheather
HYCR3,,Hypericum crux-andreae (L.) Crantz,St. Peterswort
HYDE,,Hypericum densiflorum Pursh,bushy St. Johnswort
HYPR,,Hypericum prolificum L.,shrubby St. Johnswort
ILDE,,Ilex decidua Walter,possumhaw
ILGL,,Ilex glabra (L.) A. Gray,inkberry
ILOP,,Ilex opaca Aiton,American holly
ILVE,,Ilex verticillata (L.) A. Gray,common winterberry
ITVI,,Itea virginica L.,Virginia sweetspire
JUCI,,Juglans cinerea L.,butternut
JUNI,,Juglans nigra L.,black walnut
JUCO6,,Juniperus communis L.,common juniper
JUVI,,Juniperus virginiana L.,eastern redcedar
KALA,,Kalmia latifolia L.,mountain laurel
LALA,,Larix laricina (Du Roi) K. Koch,tamarack
LEFO,,Leucothoe fontanesiana (Steud.) Sleumer,highland doghobble
LIBE3,,Lindera benzoin (L.) Blume,northern spicebush
LIST2,,Liquidambar styraciflua L.,sweetgum
LITU,,Liriodendron tulipifera L.,tuliptree
LYLI,,Lyonia ligustrina (L.) DC.,maleberry
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MAAC,,Magnolia acuminata (L.) L.,cucumber tree
MAGR4,,Magnolia grandiflora L.,southern magnolia
MATR,,Magnolia tripetala (L.) L.,umbrella-tree
MAVI2,,Magnolia virginiana L.,sweetbay
MALUS,,Malus Mill.,apple
MOCA7,,Morella caroliniensis (Mill.) Small,southern bayberry
MOCE2,,Morella cerifera (L.) Small,wax myrtle
MOPE6,,Morella pensylvanica (Mirb.) Kartesz,northern bayberry
MORU2,,Morus rubra L.,red mulberry
NEAR5,,Nekemias arborea (L.) J. Wen & Boggan,peppervine
NEAR5,AMAR5,Ampelopsis arborea (L.) Koehne,
NYBI,,Nyssa biflora Walter,swamp tupelo
NYSY,,Nyssa sylvatica Marshall,blackgum
OSVI,,Ostrya virginiana (Mill.) K. Koch,hophornbeam
OXAR,,Oxydendrum arboreum (L.) DC.,sourwood
PEPA37,,Persea palustris (Raf.) Sarg.,swamp bay
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHOP,,"Physocarpus opulifolius (L.) Maxim., orth. cons.",common ninebark
PIGL,,Picea glauca (Moench) Voss,white spruce
PIPU,,Picea pungens Engelm.,blue spruce
PIRU,,Picea rubens Sarg.,red spruce
PIEC2,,Pinus echinata Mill.,shortleaf pine
PIPU5,,Pinus pungens Lamb.,Table Mountain pine
PIRE,,Pinus resinosa Aiton,red pine
PIRI,,Pinus rigida Mill.,pitch pine
PISE,,Pinus serotina Michx.,pond pine
PIST,,Pinus strobus L.,eastern white pine
PITA,,Pinus taeda L.,loblolly pine
PIVI2,,Pinus virginiana Mill.,Virginia pine
PLOC,,Platanus occidentalis L.,American sycamore
POCA19,,Populus ×canadensis Moench (pro sp.) [deltoides × nigra],Carolina poplar
POBA2,,Populus balsamifera L.,balsam poplar
PODE3,,Populus deltoides W. Bartram ex Marshall,eastern cottonwood
POGR4,,Populus grandidentata Michx.,bigtooth aspen
POHE4,,Populus heterophylla L.,swamp cottonwood
POTR5,,Populus tremuloides Michx.,quaking aspen
PRAM,,Prunus americana Marshall,American plum
PRAN3,,Prunus angustifolia Marshall,Chickasaw plum
PRMA2,,Prunus maritima Marshall,beach plum
PRPE2,,Prunus pensylvanica L. f.,pin cherry
PRPU3,,Prunus pumila L.,sandcherry
PRSE2,,Prunus serotina Ehrh.,black cherry
PRVI,,Prunus virginiana L.,chokecherry
PTTR,,Ptelea trifoliata L.,common hoptree
QUAL,,Quercus alba L.,white oak
QUBI,,Quercus bicolor Willd.,swamp white oak
QUCO2,,Quercus coccinea Münchh.,scarlet oak
QUFA,,Quercus falcata Michx.,southern red oak
QUIM,,Quercus imbricaria Michx.,shingle oak
QULA3,,Quercus laurifolia Michx.,laurel oak
QULY,,Quercus lyrata Walter,overcup oak
QUMA2,,Quercus macrocarpa Michx.,bur oak
QUMA3,,Quercus marilandica Münchh.,blackjack oak
