Search type: Characteristics
Shrub|Tree|Native - L48|New Hampshire

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABBA,,Abies balsamea (L.) Mill.,balsam fir
ACNE2,,Acer negundo L.,boxelder
ACNI5,,Acer nigrum Michx. f.,black maple
ACPE,,Acer pensylvanicum L.,striped maple
ACRU,,Acer rubrum L.,red maple
ACSA2,,Acer saccharinum L.,silver maple
ACSA3,,Acer saccharum Marshall,sugar maple
ACSP2,,Acer spicatum Lam.,mountain maple
AEGL,,Aesculus glabra Willd.,Ohio buckeye
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINR,,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,speckled alder
ALSE2,,Alnus serrulata (Aiton) Willd.,hazel alder
ALVIC,,Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill,mountain alder
AMAR3,,Amelanchier arborea (Michx. f.) Fernald,common serviceberry
AMCA4,,Amelanchier canadensis (L.) Medik.,Canadian serviceberry
AMLA,,Amelanchier laevis Wiegand,Allegheny serviceberry
AMSA,,Amelanchier sanguinea (Pursh) DC.,roundleaf serviceberry
AMFR,,Amorpha fruticosa L.,false indigo bush
ARAL2,,Arctostaphylos alpina (L.) Spreng.,alpine bearberry
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ARAR7,,Aronia arbutifolia (L.) Pers.,red chokeberry
ARAR7,PHPY4,Photinia pyrifolia (Lam.) K.R. Robertson & Phipps,
ARME6,,Aronia melanocarpa (Michx.) Elliott,black chokeberry
ARME6,PHME13,Photinia melanocarpa (Michx.) K.R. Robertson & Phipps,
BEAL2,,Betula alleghaniensis Britton,yellow birch
BELE,,Betula lenta L.,sweet birch
BENA,,Betula nana L.,dwarf birch
BENI,,Betula nigra L.,river birch
BEPA,,Betula papyrifera Marshall,paper birch
BEPO,,Betula populifolia Marshall,gray birch
BEPU4,,Betula pumila L.,bog birch
CACA18,,Carpinus caroliniana Walter,American hornbeam
CACO15,,Carya cordiformis (Wangenh.) K. Koch,bitternut hickory
CAGL8,,Carya glabra (Mill.) Sweet,pignut hickory
CAOV2,,Carya ovata (Mill.) K. Koch,shagbark hickory
CATO6,,Carya tomentosa (Lam.) Nutt.,mockernut hickory
CATO6,CAAL27,"Carya alba (L.) Nutt., nom. utique rej.",
CADE12,,Castanea dentata (Marshall) Borkh.,American chestnut
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CEAM,,Ceanothus americanus L.,New Jersey tea
CEOC,,Celtis occidentalis L.,common hackberry
CEOC2,,Cephalanthus occidentalis L.,common buttonbush
CHTH2,,"Chamaecyparis thyoides (L.) Britton, Sterns & Poggenb.",Atlantic white cedar
CHCA2,,Chamaedaphne calyculata (L.) Moench,leatherleaf
CLAL3,,Clethra alnifolia L.,coastal sweetpepperbush
COPE80,,Comptonia peregrina (L.) J.M. Coult.,sweet fern
COAL2,,Cornus alternifolia L. f.,alternateleaf dogwood
COAM2,,Cornus amomum Mill.,silky dogwood
COCA13,,Cornus canadensis L.,bunchberry dogwood
COFL2,,Cornus florida L.,flowering dogwood
CORA6,,Cornus racemosa Lam.,gray dogwood
CORU,,Cornus rugosa Lam.,roundleaf dogwood
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
COAM3,,Corylus americana Walter,American hazelnut
COCO6,,Corylus cornuta Marshall,beaked hazelnut
CRAN6,,Crataegus ×anomala Sarg. (pro sp.) [intricata × mollis],Arnold hawthorn
DAFRF,,Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz,shrubby cinquefoil
DAFRF,DAFL3,Dasiphora floribunda (Pursh) Raf.,
DEVE,,Decodon verticillatus (L.) Elliott,swamp loosestrife
DILO,,Diervilla lonicera Mill.,northern bush honeysuckle
EMNI,,Empetrum nigrum L.,black crowberry
EUAT5,,Euonymus atropurpureus Jacq.,burningbush
EUAT5,EUAT3,"Euonymus atropurpurea Jacq., orth. var.",
FAGR,,Fagus grandifolia Ehrh.,American beech
FRAM2,,Fraxinus americana L.,white ash
FRNI,,Fraxinus nigra Marshall,black ash
FRPE,,Fraxinus pennsylvanica Marshall,green ash
GAHI2,,Gaultheria hispidula (L.) Muhl. ex Bigelow,creeping snowberry
GAPR2,,Gaultheria procumbens L.,eastern teaberry
GABA,,Gaylussacia baccata (Wangenh.) K. Koch,black huckleberry
GADU,,Gaylussacia dumosa (Andrews) Torr. & A. Gray,dwarf huckleberry
GAFR2,,Gaylussacia frondosa (L.) Torr. & A. Gray ex Torr.,blue huckleberry
GLTR,,Gleditsia triacanthos L.,honeylocust
HAVI4,,Hamamelis virginiana L.,American witchhazel
HUTO,,Hudsonia tomentosa Nutt.,woolly beachheather
HYPR,,Hypericum prolificum L.,shrubby St. Johnswort
ILGL,,Ilex glabra (L.) A. Gray,inkberry
ILVE,,Ilex verticillata (L.) A. Gray,common winterberry
JUCI,,Juglans cinerea L.,butternut
JUNI,,Juglans nigra L.,black walnut
JUCO6,,Juniperus communis L.,common juniper
JUVI,,Juniperus virginiana L.,eastern redcedar
KALA,,Kalmia latifolia L.,mountain laurel
KAPO,,Kalmia polifolia Wangenh.,bog laurel
LALA,,Larix laricina (Du Roi) K. Koch,tamarack
LEGR,,Ledum groenlandicum Oeder,bog Labrador tea
LIBE3,,Lindera benzoin (L.) Blume,northern spicebush
LYLI,,Lyonia ligustrina (L.) DC.,maleberry
MALUS,,Malus Mill.,apple
MOPE6,,Morella pensylvanica (Mirb.) Kartesz,northern bayberry
MYGA,,Myrica gale L.,sweetgale
NYSY,,Nyssa sylvatica Marshall,blackgum
OSVI,,Ostrya virginiana (Mill.) K. Koch,hophornbeam
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHOP,,"Physocarpus opulifolius (L.) Maxim., orth. cons.",common ninebark
PIGL,,Picea glauca (Moench) Voss,white spruce
PIMA,,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",black spruce
PIRU,,Picea rubens Sarg.,red spruce
PIBA2,,Pinus banksiana Lamb.,jack pine
PIRE,,Pinus resinosa Aiton,red pine
PIRI,,Pinus rigida Mill.,pitch pine
PIST,,Pinus strobus L.,eastern white pine
PLOC,,Platanus occidentalis L.,American sycamore
POBA2,,Populus balsamifera L.,balsam poplar
PODE3,,Populus deltoides W. Bartram ex Marshall,eastern cottonwood
POGR4,,Populus grandidentata Michx.,bigtooth aspen
POTR5,,Populus tremuloides Michx.,quaking aspen
PRAM,,Prunus americana Marshall,American plum
PRMA2,,Prunus maritima Marshall,beach plum
PRNI,,Prunus nigra Aiton,Canadian plum
PRPE2,,Prunus pensylvanica L. f.,pin cherry
PRPU3,,Prunus pumila L.,sandcherry
PRSE2,,Prunus serotina Ehrh.,black cherry
PRVI,,Prunus virginiana L.,chokecherry
PTTR,,Ptelea trifoliata L.,common hoptree
QUAL,,Quercus alba L.,white oak
QUBI,,Quercus bicolor Willd.,swamp white oak
QUCO2,,Quercus coccinea Münchh.,scarlet oak
QUMA2,,Quercus macrocarpa Michx.,bur oak
QUMO4,,Quercus montana Willd.,chestnut oak
QUMO4,QUPR2,"Quercus prinus L. p.p., nom. utique rej.",
QURU,,Quercus rubra L.,northern red oak
QUVE,,Quercus velutina Lam.,black oak
RHAL,,Rhamnus alnifolia L'Hér.,alderleaf buckthorn
RHCA6,,Rhododendron canadense (L.) Torr.,rhodora
RHLA2,,Rhododendron lapponicum (L.) Wahlenb.,Lapland rosebay
RHMA4,,Rhododendron maximum L.,great laurel
RHPE4,,Rhododendron periclymenoides (Michx.) Shinners,pink azalea
RHVI2,,Rhododendron viscosum (L.) Torr.,swamp azalea
RHCO,,Rhus copallinum L.,winged sumac
RHGL,,Rhus glabra L.,smooth sumac
RHTY,,Rhus typhina L.,staghorn sumac
RHTY,RHHI2,"Rhus hirta (L.) Sudw., nom. utique rej.",
RIAM2,,Ribes americanum Mill.,American black currant
RILA,,Ribes lacustre (Pers.) Poir.,prickly currant
RITR,,Ribes triste Pall.,red currant
ROPS,,Robinia pseudoacacia L.,black locust
SABE2,,Salix bebbiana Sarg.,Bebb willow
SADI,,Salix discolor Muhl.,pussy willow
SAER,,Salix eriocephala Michx.,Missouri River willow
SAHU2,,Salix humilis Marshall,prairie willow
SALU,,Salix lucida Muhl.,shining willow
SANI,,Salix nigra Marshall,black willow
SAPL2,,Salix planifolia Pursh,diamondleaf willow
SASE,,Salix sericea Marshall,silky willow
SANIC4,,Sambucus nigra L. ssp. canadensis (L.) R. Bolli,American black elderberry
SARAR3,,Sambucus racemosa L. var. racemosa,red elderberry
SAAL5,,Sassafras albidum (Nutt.) Nees,sassafras
SMRO,,Smilax rotundifolia L.,roundleaf greenbrier
SOAM3,,Sorbus americana Marshall,American mountain ash
SODE3,,Sorbus decora (Sarg.) C.K. Schneid.,northern mountain ash
SPAL2,,Spiraea alba Du Roi,white meadowsweet
SPTO2,,Spiraea tomentosa L.,steeplebush
SYAL,,Symphoricarpos albus (L.) S.F. Blake,common snowberry
TACA7,,Taxus canadensis Marshall,Canada yew
THOC2,,Thuja occidentalis L.,arborvitae
TIAM,,Tilia americana L.,American basswood
TSCA,,Tsuga canadensis (L.) Carrière,eastern hemlock
ULAM,,Ulmus americana L.,American elm
ULRU,,Ulmus rubra Muhl.,slippery elm
ULTH,,Ulmus thomasii Sarg.,rock elm
VAAN,,Vaccinium angustifolium Aiton,lowbush blueberry
VACE,,Vaccinium cespitosum Michx.,dwarf bilberry
VACE,VACA13,"Vaccinium caespitosum Michx., orth. var.",
VACO,,Vaccinium corymbosum L.,highbush blueberry
VAUL,,Vaccinium uliginosum L.,bog blueberry
VAVI,,Vaccinium vitis-idaea L.,lingonberry
VIAC,,Viburnum acerifolium L.,mapleleaf viburnum
