Search type: Characteristics
Shrub|Tree|Native - L48|Native - CAN|Alaska

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABAM,,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Pacific silver fir
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir
ACCI,,Acer circinatum Pursh,vine maple
ACGL,,Acer glabrum Torr.,Rocky Mountain maple
AGGL,,Agoseris glauca (Pursh) Raf.,pale agoseris
ALIN2,,Alnus incana (L.) Moench,gray alder
ALRU2,,Alnus rubra Bong.,red alder
AMAL2,,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,Saskatoon serviceberry
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ARCA13,,Artemisia cana Pursh,silver sagebrush
BENA,,Betula nana L.,dwarf birch
BEOC2,,Betula occidentalis Hook.,water birch
BEPA,,Betula papyrifera Marshall,paper birch
CANO9,,Callitropsis nootkatensis (D. Don) Oerst. ex D.P. Little,Alaska cedar
CANO9,CHNO,Chamaecyparis nootkatensis (D. Don) Spach,
CATE11,,Cassiope tetragona (L.) D. Don,white arctic mountain heather
CHCA2,,Chamaedaphne calyculata (L.) Moench,leatherleaf
COCA13,,Cornus canadensis L.,bunchberry dogwood
CRDO2,,Crataegus douglasii Lindl.,black hawthorn
DRDR,,Dryas drummondii Richardson ex Hook.,Drummond's mountain-avens
ELCO,,Elaeagnus commutata Bernh. ex Rydb.,silverberry
ELPY,,Elliottia pyroliflora (Bong.) S.W. Brim & P.F. Stevens,copperbush
EMNI,,Empetrum nigrum L.,black crowberry
GASH,,Gaultheria shallon Pursh,salal
JUCO6,,Juniperus communis L.,common juniper
KAMI,,Kalmia microphylla (Hook.) A. Heller,alpine laurel
LALA,,Larix laricina (Du Roi) K. Koch,tamarack
LOIN5,,Lonicera involucrata (Richardson) Banks ex Spreng.,twinberry honeysuckle
MAFU,,Malus fusca (Raf.) C.K. Schneid.,Oregon crab apple
MYGA,,Myrica gale L.,sweetgale
PHCA11,,Physocarpus capitatus (Pursh) Kuntze,Pacific ninebark
PIGL,,Picea glauca (Moench) Voss,white spruce
PIMA,,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",black spruce
PISI,,Picea sitchensis (Bong.) Carrière,Sitka spruce
PICO,,Pinus contorta Douglas ex Loudon,lodgepole pine
POBA2,,Populus balsamifera L.,balsam poplar
POTR5,,Populus tremuloides Michx.,quaking aspen
PRVI,,Prunus virginiana L.,chokecherry
RHLA2,,Rhododendron lapponicum (L.) Wahlenb.,Lapland rosebay
RIHU,,Ribes hudsonianum Richardson,northern black currant
RILA,,Ribes lacustre (Pers.) Poir.,prickly currant
RITR,,Ribes triste Pall.,red currant
SAAL,,Salix alaxensis (Andersson) Coville,feltleaf willow
SAAR3,,Salix arbusculoides Andersson,littletree willow
SABA3,,Salix barclayi Andersson,Barclay's willow
SABE2,,Salix bebbiana Sarg.,Bebb willow
SABO2,,Salix boothii Dorn,Booth's willow
SACA4,,Salix candida Flueggé ex Willd.,sageleaf willow
SACO2,,Salix commutata Bebb,undergreen willow
SAFU,,Salix fuscescens Andersson,Alaska bog willow
SAGL,,Salix glauca L.,grayleaf willow
SAHA,,Salix hastata L.,halberd willow
SAHO,,Salix hookeriana Barratt ex Hook.,dune willow
SAIN3,,Salix interior Rowlee,sandbar willow
SAPL2,,Salix planifolia Pursh,diamondleaf willow
SAPO,,Salix polaris Wahlenb.,polar willow
SAPR3,,Salix prolixa Andersson,MacKenzie's willow
SAPU15,,Salix pulchra Cham.,tealeaf willow
SARE2,,Salix reticulata L.,netleaf willow
SARI4,,Salix richardsonii Hook.,Richardson's willow
SARO2,,Salix rotundifolia Trautv.,least willow
SASC,,Salix scouleriana Barratt ex Hook.,Scouler's willow
SASI2,,Salix sitchensis Sanson ex Bong.,Sitka willow
SHCA,,Shepherdia canadensis (L.) Nutt.,russet buffaloberry
SOSC2,,Sorbus scopulina Greene,Greene's mountain ash
SPDO,,Spiraea douglasii Hook.,rose spirea
SYAL,,Symphoricarpos albus (L.) S.F. Blake,common snowberry
TABR2,,Taxus brevifolia Nutt.,Pacific yew
THPL,,Thuja plicata Donn ex D. Don,western redcedar
TSHE,,Tsuga heterophylla (Raf.) Sarg.,western hemlock
TSME,,Tsuga mertensiana (Bong.) Carrière,mountain hemlock
VAME,,Vaccinium membranaceum Douglas ex Torr.,thinleaf huckleberry
VAOV,,Vaccinium ovalifolium Sm.,oval-leaf blueberry
VAPA,,Vaccinium parvifolium Sm.,red huckleberry
VAUL,,Vaccinium uliginosum L.,bog blueberry
VAVI,,Vaccinium vitis-idaea L.,lingonberry
VIED,,Viburnum edule (Michx.) Raf.,squashberry
