Search type: Characteristics
Shrub|Tree|Native - L48|Native - CAN|Northwest Territories

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir
ACNE2,,Acer negundo L.,boxelder
AGGL,,Agoseris glauca (Pursh) Raf.,pale agoseris
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINT,,Alnus incana (L.) Moench ssp. tenuifolia (Nutt.) Breitung,thinleaf alder
ALVIC,,Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill,mountain alder
ALVIS,,Alnus viridis (Chaix) DC. ssp. sinuata (Regel) Á. Löve & D. Löve,Sitka alder
AMAL2,,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,Saskatoon serviceberry
ARAL2,,Arctostaphylos alpina (L.) Spreng.,alpine bearberry
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
BENA,,Betula nana L.,dwarf birch
BEOC2,,Betula occidentalis Hook.,water birch
BEPA,,Betula papyrifera Marshall,paper birch
BEPU4,,Betula pumila L.,bog birch
CATE11,,Cassiope tetragona (L.) D. Don,white arctic mountain heather
CHCA2,,Chamaedaphne calyculata (L.) Moench,leatherleaf
COCA13,,Cornus canadensis L.,bunchberry dogwood
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
DAFRF,,Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz,shrubby cinquefoil
DAFRF,DAFL3,Dasiphora floribunda (Pursh) Raf.,
DRDR,,Dryas drummondii Richardson ex Hook.,Drummond's mountain-avens
DROC,,Dryas octopetala L.,eightpetal mountain-avens
ELCO,,Elaeagnus commutata Bernh. ex Rydb.,silverberry
EMNI,,Empetrum nigrum L.,black crowberry
HUTO,,Hudsonia tomentosa Nutt.,woolly beachheather
JUCO6,,Juniperus communis L.,common juniper
KAMI,,Kalmia microphylla (Hook.) A. Heller,alpine laurel
KAPO,,Kalmia polifolia Wangenh.,bog laurel
LALA,,Larix laricina (Du Roi) K. Koch,tamarack
LEGR,,Ledum groenlandicum Oeder,bog Labrador tea
LEPA11,,Ledum palustre L.,marsh Labrador tea
MYGA,,Myrica gale L.,sweetgale
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIGL,,Picea glauca (Moench) Voss,white spruce
PIMA,,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",black spruce
PIBA2,,Pinus banksiana Lamb.,jack pine
PICO,,Pinus contorta Douglas ex Loudon,lodgepole pine
POBA2,,Populus balsamifera L.,balsam poplar
POTR5,,Populus tremuloides Michx.,quaking aspen
PRPE2,,Prunus pensylvanica L. f.,pin cherry
PRVI,,Prunus virginiana L.,chokecherry
RHLA2,,Rhododendron lapponicum (L.) Wahlenb.,Lapland rosebay
RIHU,,Ribes hudsonianum Richardson,northern black currant
RILA,,Ribes lacustre (Pers.) Poir.,prickly currant
RITR,,Ribes triste Pall.,red currant
SAAL,,Salix alaxensis (Andersson) Coville,feltleaf willow
SAAR3,,Salix arbusculoides Andersson,littletree willow
SABA3,,Salix barclayi Andersson,Barclay's willow
SABE2,,Salix bebbiana Sarg.,Bebb willow
SABR,,Salix brachycarpa Nutt.,shortfruit willow
SACA4,,Salix candida Flueggé ex Willd.,sageleaf willow
SACO2,,Salix commutata Bebb,undergreen willow
SADI,,Salix discolor Muhl.,pussy willow
SADR,,Salix drummondiana Barratt ex Hook.,Drummond's willow
SAFU,,Salix fuscescens Andersson,Alaska bog willow
SAGL,,Salix glauca L.,grayleaf willow
SAHA,,Salix hastata L.,halberd willow
SAIN3,,Salix interior Rowlee,sandbar willow
SALU,,Salix lucida Muhl.,shining willow
SALUL,,Salix lucida Muhl. ssp. lasiandra (Benth.) A.E. Murray,Pacific willow
SALU2,,Salix lutea Nutt.,yellow willow
SANI10,,Salix niphoclada Rydb.,barrenground willow
SAPL2,,Salix planifolia Pursh,diamondleaf willow
SAPO,,Salix polaris Wahlenb.,polar willow
SAPR3,,Salix prolixa Andersson,MacKenzie's willow
SAPU15,,Salix pulchra Cham.,tealeaf willow
SARE2,,Salix reticulata L.,netleaf willow
SARI4,,Salix richardsonii Hook.,Richardson's willow
SARO2,,Salix rotundifolia Trautv.,least willow
SASC,,Salix scouleriana Barratt ex Hook.,Scouler's willow
SHCA,,Shepherdia canadensis (L.) Nutt.,russet buffaloberry
SOSC2,,Sorbus scopulina Greene,Greene's mountain ash
SYAL,,Symphoricarpos albus (L.) S.F. Blake,common snowberry
SYOC,,Symphoricarpos occidentalis Hook.,western snowberry
VACE,,Vaccinium cespitosum Michx.,dwarf bilberry
VACE,VACA13,"Vaccinium caespitosum Michx., orth. var.",
VAME,,Vaccinium membranaceum Douglas ex Torr.,thinleaf huckleberry
VAOV,,Vaccinium ovalifolium Sm.,oval-leaf blueberry
VAUL,,Vaccinium uliginosum L.,bog blueberry
VAVI,,Vaccinium vitis-idaea L.,lingonberry
VIED,,Viburnum edule (Michx.) Raf.,squashberry
