Search type: Characteristics
Shrub|Tree|Native - L48|Native - CAN|Nunavut

Symbol,Scientific Name,Common Name
ALVIC,Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill,mountain alder
ARAL2,Arctostaphylos alpina (L.) Spreng.,alpine bearberry
ARUV,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
BENA,Betula nana L.,dwarf birch
BEOC2,Betula occidentalis Hook.,water birch
CATE11,Cassiope tetragona (L.) D. Don,white arctic mountain heather
CHCA2,Chamaedaphne calyculata (L.) Moench,leatherleaf
COCA13,Cornus canadensis L.,bunchberry dogwood
COSES,Cornus sericea L. ssp. sericea,redosier dogwood
DROC,Dryas octopetala L.,eightpetal mountain-avens
ELCO,Elaeagnus commutata Bernh. ex Rydb.,silverberry
EMNI,Empetrum nigrum L.,black crowberry
GAHI2,Gaultheria hispidula (L.) Muhl. ex Bigelow,creeping snowberry
JUCO6,Juniperus communis L.,common juniper
KAPO,Kalmia polifolia Wangenh.,bog laurel
LALA,Larix laricina (Du Roi) K. Koch,tamarack
LEGR,Ledum groenlandicum Oeder,bog Labrador tea
LEPA11,Ledum palustre L.,marsh Labrador tea
LOIN5,Lonicera involucrata (Richardson) Banks ex Spreng.,twinberry honeysuckle
MYGA,Myrica gale L.,sweetgale
PIGL,Picea glauca (Moench) Voss,white spruce
PIMA,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",black spruce
POBA2,Populus balsamifera L.,balsam poplar
RHLA2,Rhododendron lapponicum (L.) Wahlenb.,Lapland rosebay
RIHU,Ribes hudsonianum Richardson,northern black currant
RITR,Ribes triste Pall.,red currant
SAAL,Salix alaxensis (Andersson) Coville,feltleaf willow
SAAR3,Salix arbusculoides Andersson,littletree willow
SABE2,Salix bebbiana Sarg.,Bebb willow
SACA4,Salix candida Flueggé ex Willd.,sageleaf willow
SAFU,Salix fuscescens Andersson,Alaska bog willow
SAGL,Salix glauca L.,grayleaf willow
SANI10,Salix niphoclada Rydb.,barrenground willow
SAPL2,Salix planifolia Pursh,diamondleaf willow
SAPO,Salix polaris Wahlenb.,polar willow
SAPU15,Salix pulchra Cham.,tealeaf willow
SARE2,Salix reticulata L.,netleaf willow
SARI4,Salix richardsonii Hook.,Richardson's willow
SHCA,Shepherdia canadensis (L.) Nutt.,russet buffaloberry
VAUL,Vaccinium uliginosum L.,bog blueberry
VAVI,Vaccinium vitis-idaea L.,lingonberry
VIED,Viburnum edule (Michx.) Raf.,squashberry
