Search type: Characteristics
Shrub|Tree|Native - L48|Oregon

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABAM,,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Pacific silver fir
ABCO,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir
ABGR,,Abies grandis (Douglas ex D. Don) Lindl.,grand fir
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir
ABMA,,Abies magnifica A. Murray bis,California red fir
ABMAS,,Abies magnifica A. Murray bis var. shastensis Lemmon,Shasta red fir
ABMAS,ABSH,Abies ×shastensis (Lemmon) Lemmon,
ABPR,,Abies procera Rehder,noble fir
ACCI,,Acer circinatum Pursh,vine maple
ACGL,,Acer glabrum Torr.,Rocky Mountain maple
ACGLD4,,Acer glabrum Torr. var. douglasii (Hook.) Dippel,Douglas maple
ACMA3,,Acer macrophyllum Pursh,bigleaf maple
ACNE2,,Acer negundo L.,boxelder
ACRU,,Acer rubrum L.,red maple
AECA,,Aesculus californica (Spach) Nutt.,California buckeye
AGGL,,Agoseris glauca (Pursh) Raf.,pale agoseris
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINT,,Alnus incana (L.) Moench ssp. tenuifolia (Nutt.) Breitung,thinleaf alder
ALRH2,,Alnus rhombifolia Nutt.,white alder
ALRU2,,Alnus rubra Bong.,red alder
ALVIS,,Alnus viridis (Chaix) DC. ssp. sinuata (Regel) Á. Löve & D. Löve,Sitka alder
AMAL2,,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,Saskatoon serviceberry
AMALS,,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. semiintegrifolia (Hook.) C.L. Hitchc.,Saskatoon serviceberry
AMUT,,Amelanchier utahensis Koehne,Utah serviceberry
AMUTU,,Amelanchier utahensis Koehne var. utahensis,Utah serviceberry
AMFR,,Amorpha fruticosa L.,false indigo bush
ARME,,Arbutus menziesii Pursh,Pacific madrone
ARCO3,,Arctostaphylos columbiana Piper,hairy manzanita
ARNE,,Arctostaphylos nevadensis A. Gray,pinemat manzanita
ARPA6,,Arctostaphylos patula Greene,greenleaf manzanita
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ARAR8,,Artemisia arbuscula Nutt.,little sagebrush
ARCA13,,Artemisia cana Pursh,silver sagebrush
ARNO4,,Artemisia nova A. Nelson,black sagebrush
ARRI2,,Artemisia rigida (Nutt.) A. Gray,scabland sagebrush
ARTR2,,Artemisia tridentata Nutt.,big sagebrush
ARTRT,,Artemisia tridentata Nutt. ssp. tridentata,basin big sagebrush
ARTRV,,Artemisia tridentata Nutt. ssp. vaseyana (Rydb.) Beetle,mountain big sagebrush
ARTRW8,,Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young,Wyoming big sagebrush
ARTR4,,Artemisia tripartita Rydb.,threetip sagebrush
ASLE8,,Astragalus lentiginosus Douglas ex Hook.,freckled milkvetch
ATCA2,,Atriplex canescens (Pursh) Nutt.,fourwing saltbush
ATCO,,Atriplex confertifolia (Torr. & Frém.) S. Watson,shadscale saltbush
ATFA,,Atriplex falcata (M.E. Jones) Standl.,sickle saltbush
BAPI,,Baccharis pilularis DC.,coyotebrush
BENA,,Betula nana L.,dwarf birch
BEOC2,,Betula occidentalis Hook.,water birch
BEPA,,Betula papyrifera Marshall,paper birch
BEPU4,,Betula pumila L.,bog birch
CANO9,,Callitropsis nootkatensis (D. Don) Oerst. ex D.P. Little,Alaska cedar
CANO9,CHNO,Chamaecyparis nootkatensis (D. Don) Spach,
