Search type: Characteristics
Shrub|Tree|Native - L48|Arkansas

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple
ACFL,ACBA3,Acer barbatum Michx. p.p.,
ACNE2,,Acer negundo L.,boxelder
ACNI5,,Acer nigrum Michx. f.,black maple
ACRU,,Acer rubrum L.,red maple
ACSA2,,Acer saccharinum L.,silver maple
ACSA3,,Acer saccharum Marshall,sugar maple
AEGL,,Aesculus glabra Willd.,Ohio buckeye
AEPA,,Aesculus pavia L.,red buckeye
ALSE2,,Alnus serrulata (Aiton) Willd.,hazel alder
AMAR3,,Amelanchier arborea (Michx. f.) Fernald,common serviceberry
AMCA6,,Amorpha canescens Pursh,leadplant
AMFR,,Amorpha fruticosa L.,false indigo bush
ARSP2,,Aralia spinosa L.,devil's walkingstick
ARAR7,,Aronia arbutifolia (L.) Pers.,red chokeberry
ARAR7,PHPY4,Photinia pyrifolia (Lam.) K.R. Robertson & Phipps,
ARME6,,Aronia melanocarpa (Michx.) Elliott,black chokeberry
ARME6,PHME13,Photinia melanocarpa (Michx.) K.R. Robertson & Phipps,
ARGI,,Arundinaria gigantea (Walter) Muhl.,giant cane
ARTE4,,Arundinaria tecta (Walter) Muhl.,switchcane
ARTE4,ARGIT8,Arundinaria gigantea (Walter) Muhl. ssp. tecta (Walter) McClure,
ASTR,,Asimina triloba (L.) Dunal,pawpaw
BAHA,,Baccharis halimifolia L.,eastern baccharis
BENI,,Betula nigra L.,river birch
CAAM2,,Callicarpa americana L.,American beautyberry
CACA18,,Carpinus caroliniana Walter,American hornbeam
CAAQ2,,Carya aquatica (Michx. f.) Nutt.,water hickory
CACO15,,Carya cordiformis (Wangenh.) K. Koch,bitternut hickory
CAGL8,,Carya glabra (Mill.) Sweet,pignut hickory
CAIL2,,Carya illinoinensis (Wangenh.) K. Koch,pecan
CALA21,,Carya laciniosa (Michx. f.) G. Don,shellbark hickory
CAMY,,Carya myristiciformis (Michx. f.) Nutt.,nutmeg hickory
CAOV2,,Carya ovata (Mill.) K. Koch,shagbark hickory
CATO6,,Carya tomentosa (Lam.) Nutt.,mockernut hickory
CATO6,CAAL27,"Carya alba (L.) Nutt., nom. utique rej.",
CAPU9,,Castanea pumila (L.) Mill.,chinquapin
CABI8,,Catalpa bignonioides Walter,southern catalpa
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CEAM,,Ceanothus americanus L.,New Jersey tea
CELA,,Celtis laevigata Willd.,sugarberry
CEOC,,Celtis occidentalis L.,common hackberry
CEOC2,,Cephalanthus occidentalis L.,common buttonbush
CECA4,,Cercis canadensis L.,eastern redbud
CHVI3,,Chionanthus virginicus L.,white fringetree
CLKE,,Cladrastis kentukea (Dum. Cours.) Rudd,Kentucky yellowwood
COAL2,,Cornus alternifolia L. f.,alternateleaf dogwood
CODR,,Cornus drummondii C.A. Mey.,roughleaf dogwood
COFL2,,Cornus florida L.,flowering dogwood
COFO,,Cornus foemina Mill.,stiff dogwood
CORA6,,Cornus racemosa Lam.,gray dogwood
COAM3,,Corylus americana Walter,American hazelnut
CRCR2,,Crataegus crus-galli L.,cockspur hawthorn
CRMA5,,Crataegus marshallii Eggl.,parsley hawthorn
CRPH,,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn
CRVI2,,Crataegus viridis L.,green hawthorn
DEVE,,Decodon verticillatus (L.) Elliott,swamp loosestrife
DIVI5,,Diospyros virginiana L.,common persimmon
DIFR6,,Ditrysinia fruticosa (W. Bartram) Govaerts & Frodin,Gulf Sebastian-bush
DIFR6,SEFR,Sebastiania fruticosa (W. Bartram) Fernald,
EUAT5,,Euonymus atropurpureus Jacq.,burningbush
EUAT5,EUAT3,"Euonymus atropurpurea Jacq., orth. var.",
FAGR,,Fagus grandifolia Ehrh.,American beech
FOAC,,Forestiera acuminata (Michx.) Poir.,eastern swampprivet
FRCA13,,Frangula caroliniana (Walter) A. Gray,Carolina buckthorn
FRAM2,,Fraxinus americana L.,white ash
FRCA3,,Fraxinus caroliniana Mill.,Carolina ash
FRPE,,Fraxinus pennsylvanica Marshall,green ash
FRPR,,Fraxinus profunda (Bush) Bush,pumpkin ash
GABA,,Gaylussacia baccata (Wangenh.) K. Koch,black huckleberry
GLAQ,,Gleditsia aquatica Marshall,water locust
GLTR,,Gleditsia triacanthos L.,honeylocust
GYDI,,Gymnocladus dioicus (L.) K. Koch,Kentucky coffeetree
HADI3,,Halesia diptera Ellis,two-wing silverbell
HAVI4,,Hamamelis virginiana L.,American witchhazel
HYCR3,,Hypericum crux-andreae (L.) Crantz,St. Peterswort
HYPR,,Hypericum prolificum L.,shrubby St. Johnswort
ILDE,,Ilex decidua Walter,possumhaw
ILGL,,Ilex glabra (L.) A. Gray,inkberry
ILOP,,Ilex opaca Aiton,American holly
ILVE,,Ilex verticillata (L.) A. Gray,common winterberry
ILVO,,Ilex vomitoria Aiton,yaupon
ITVI,,Itea virginica L.,Virginia sweetspire
JUCI,,Juglans cinerea L.,butternut
JUNI,,Juglans nigra L.,black walnut
JUVI,,Juniperus virginiana L.,eastern redcedar
LIBE3,,Lindera benzoin (L.) Blume,northern spicebush
LIST2,,Liquidambar styraciflua L.,sweetgum
LITU,,Liriodendron tulipifera L.,tuliptree
LYLI,,Lyonia ligustrina (L.) DC.,maleberry
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MAAC,,Magnolia acuminata (L.) L.,cucumber tree
MAGR4,,Magnolia grandiflora L.,southern magnolia
MATR,,Magnolia tripetala (L.) L.,umbrella-tree
MAVI2,,Magnolia virginiana L.,sweetbay
MALUS,,Malus Mill.,apple
MAIO,,Malus ioensis (Alph. Wood) Britton,prairie crab apple
MOCA7,,Morella caroliniensis (Mill.) Small,southern bayberry
MOCE2,,Morella cerifera (L.) Small,wax myrtle
MORU2,,Morus rubra L.,red mulberry
NEAR5,,Nekemias arborea (L.) J. Wen & Boggan,peppervine
NEAR5,AMAR5,Ampelopsis arborea (L.) Koehne,
NYAQ2,,Nyssa aquatica L.,water tupelo
NYBI,,Nyssa biflora Walter,swamp tupelo
NYSY,,Nyssa sylvatica Marshall,blackgum
OSVI,,Ostrya virginiana (Mill.) K. Koch,hophornbeam
OXAR,,Oxydendrum arboreum (L.) DC.,sourwood
PEBO,,Persea borbonia (L.) Spreng.,redbay
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHOP,,"Physocarpus opulifolius (L.) Maxim., orth. cons.",common ninebark
PIEC2,,Pinus echinata Mill.,shortleaf pine
PIPA2,,Pinus palustris Mill.,longleaf pine
PIST,,Pinus strobus L.,eastern white pine
PITA,,Pinus taeda L.,loblolly pine
PLAQ,,Planera aquatica J.F. Gmel.,planertree
PLOC,,Platanus occidentalis L.,American sycamore
POCA19,,Populus ×canadensis Moench (pro sp.) [deltoides × nigra],Carolina poplar
PODE3,,Populus deltoides W. Bartram ex Marshall,eastern cottonwood
POHE4,,Populus heterophylla L.,swamp cottonwood
POTR5,,Populus tremuloides Michx.,quaking aspen
PRAM,,Prunus americana Marshall,American plum
PRAN3,,Prunus angustifolia Marshall,Chickasaw plum
PRPU3,,Prunus pumila L.,sandcherry
PRPUB,,Prunus pumila L. var. besseyi (L.H. Bailey) Gleason,western sandcherry
PRSE2,,Prunus serotina Ehrh.,black cherry
PRVI,,Prunus virginiana L.,chokecherry
PTTR,,Ptelea trifoliata L.,common hoptree
QUAL,,Quercus alba L.,white oak
QUCO2,,Quercus coccinea Münchh.,scarlet oak
QUFA,,Quercus falcata Michx.,southern red oak
QUIM,,Quercus imbricaria Michx.,shingle oak
QULA3,,Quercus laurifolia Michx.,laurel oak
QULY,,Quercus lyrata Walter,overcup oak
QUMA2,,Quercus macrocarpa Michx.,bur oak
QUMA3,,Quercus marilandica Münchh.,blackjack oak
QUMI,,Quercus michauxii Nutt.,swamp chestnut oak
QUMU,,Quercus muehlenbergii Engelm.,chinquapin oak
QUNI,,Quercus nigra L.,water oak
QUPA5,,Quercus pagoda Raf.,cherrybark oak
QUPA2,,Quercus palustris Münchh.,pin oak
QUPH,,Quercus phellos L.,willow oak
QURU,,Quercus rubra L.,northern red oak
QUSH,,Quercus shumardii Buckley,Shumard's oak
QUST,,Quercus stellata Wangenh.,post oak
QUTE,,Quercus texana Buckley,Nuttall oak
QUVE,,Quercus velutina Lam.,black oak
RHCA7,,Rhododendron canescens (Michx.) Sweet,mountain azalea
RHVI2,,Rhododendron viscosum (L.) Torr.,swamp azalea
RHARS,,Rhus aromatica Aiton var. serotina (Greene) Rehder,fragrant sumac
RHCO,,Rhus copallinum L.,winged sumac
RHGL,,Rhus glabra L.,smooth sumac
RHTR,,Rhus trilobata Nutt.,skunkbush sumac
RIAU,,Ribes aureum Pursh,golden currant
RIAUV,,Ribes aureum Pursh var. villosum DC.,golden currant
ROPS,,Robinia pseudoacacia L.,black locust
SAMI8,,Sabal minor (Jacq.) Pers.,dwarf palmetto
SACA5,,Salix caroliniana Michx.,coastal plain willow
SAER,,Salix eriocephala Michx.,Missouri River willow
SAHU2,,Salix humilis Marshall,prairie willow
SAIN3,,Salix interior Rowlee,sandbar willow
SANI,,Salix nigra Marshall,black willow
SASE,,Salix sericea Marshall,silky willow
SANIC4,,Sambucus nigra L. ssp. canadensis (L.) R. Bolli,American black elderberry
SASAD,,Sapindus saponaria L. var. drummondii (Hook. & Arn.) L.D. Benson,western soapberry
SAAL5,,Sassafras albidum (Nutt.) Nees,sassafras
SILY,,Sideroxylon lycioides L.,buckthorn bully
SMBO2,,Smilax bona-nox L.,saw greenbrier
SMGL,,Smilax glauca Walter,cat greenbrier
SMLA,,Smilax laurifolia L.,laurel greenbrier
SMRO,,Smilax rotundifolia L.,roundleaf greenbrier
SMSM,,Smilax smallii Morong,lanceleaf greenbrier
SMWA,,Smilax walteri Pursh,coral greenbrier
SPTO2,,Spiraea tomentosa L.,steeplebush
STAM4,,Styrax americanus Lam.,American snowbell
STGR4,,Styrax grandifolius Aiton,bigleaf snowbell
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
SYTI,,Symplocos tinctoria (L.) L'Hér.,common sweetleaf
TADI2,,Taxodium distichum (L.) Rich.,bald cypress
TIAM,,Tilia americana L.,American basswood
TIAMH,,Tilia americana L. var. heterophylla (Vent.) Loudon,American basswood
ULAL,,Ulmus alata Michx.,winged elm
ULAM,,Ulmus americana L.,American elm
ULCR,,Ulmus crassifolia Nutt.,cedar elm
ULRU,,Ulmus rubra Muhl.,slippery elm
ULSE,,Ulmus serotina Sarg.,September elm
ULTH,,Ulmus thomasii Sarg.,rock elm
VAAR,,Vaccinium arboreum Marshall,farkleberry
VACO,,Vaccinium corymbosum L.,highbush blueberry
VAEL,,Vaccinium elliottii Chapm.,Elliott's blueberry
VAST,,Vaccinium stamineum L.,deerberry
VIAC,,Viburnum acerifolium L.,mapleleaf viburnum
VIDED4,,Viburnum dentatum L. var. dentatum,southern arrowwood
VIPR,,Viburnum prunifolium L.,blackhaw
VIRA,,Viburnum rafinesqueanum Schult.,downy arrowwood
VIRE7,,Viburnum recognitum Fernald,southern arrowwood
VIRE7,VIDEL,Viburnum dentatum L. var. lucidum Aiton,
YUGL,,Yucca glauca Nutt.,soapweed yucca
