Search type: Characteristics
Shrub|Tree|Native - L48|Mississippi

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple
ACFL,ACBA3,Acer barbatum Michx. p.p.,
ACNE2,,Acer negundo L.,boxelder
ACRU,,Acer rubrum L.,red maple
ACSA2,,Acer saccharinum L.,silver maple
ACSA3,,Acer saccharum Marshall,sugar maple
AEFL,,Aesculus flava Aiton,yellow buckeye
AEGL,,Aesculus glabra Willd.,Ohio buckeye
AEPA,,Aesculus pavia L.,red buckeye
ALSE2,,Alnus serrulata (Aiton) Willd.,hazel alder
AMAR3,,Amelanchier arborea (Michx. f.) Fernald,common serviceberry
AMCA4,,Amelanchier canadensis (L.) Medik.,Canadian serviceberry
AMFR,,Amorpha fruticosa L.,false indigo bush
ARSP2,,Aralia spinosa L.,devil's walkingstick
ARAR7,,Aronia arbutifolia (L.) Pers.,red chokeberry
ARAR7,PHPY4,Photinia pyrifolia (Lam.) K.R. Robertson & Phipps,
ARME6,,Aronia melanocarpa (Michx.) Elliott,black chokeberry
ARME6,PHME13,Photinia melanocarpa (Michx.) K.R. Robertson & Phipps,
ARGI,,Arundinaria gigantea (Walter) Muhl.,giant cane
ARTE4,,Arundinaria tecta (Walter) Muhl.,switchcane
ARTE4,ARGIT8,Arundinaria gigantea (Walter) Muhl. ssp. tecta (Walter) McClure,
ASTR,,Asimina triloba (L.) Dunal,pawpaw
AVGE,,Avicennia germinans (L.) L.,black mangrove
BAAN,,Baccharis angustifolia Michx.,saltwater false willow
BAHA,,Baccharis halimifolia L.,eastern baccharis
BELE,,Betula lenta L.,sweet birch
BENI,,Betula nigra L.,river birch
CAAM2,,Callicarpa americana L.,American beautyberry
CACA18,,Carpinus caroliniana Walter,American hornbeam
CAAQ2,,Carya aquatica (Michx. f.) Nutt.,water hickory
CACO15,,Carya cordiformis (Wangenh.) K. Koch,bitternut hickory
CAGL8,,Carya glabra (Mill.) Sweet,pignut hickory
CAIL2,,Carya illinoinensis (Wangenh.) K. Koch,pecan
CALA21,,Carya laciniosa (Michx. f.) G. Don,shellbark hickory
CAMY,,Carya myristiciformis (Michx. f.) Nutt.,nutmeg hickory
CAOV2,,Carya ovata (Mill.) K. Koch,shagbark hickory
CATO6,,Carya tomentosa (Lam.) Nutt.,mockernut hickory
CATO6,CAAL27,"Carya alba (L.) Nutt., nom. utique rej.",
CADE12,,Castanea dentata (Marshall) Borkh.,American chestnut
CAPU9,,Castanea pumila (L.) Mill.,chinquapin
CABI8,,Catalpa bignonioides Walter,southern catalpa
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CEAM,,Ceanothus americanus L.,New Jersey tea
CELA,,Celtis laevigata Willd.,sugarberry
CEOC,,Celtis occidentalis L.,common hackberry
CEOC2,,Cephalanthus occidentalis L.,common buttonbush
CECA4,,Cercis canadensis L.,eastern redbud
CHTH2,,"Chamaecyparis thyoides (L.) Britton, Sterns & Poggenb.",Atlantic white cedar
CHVI3,,Chionanthus virginicus L.,white fringetree
CLKE,,Cladrastis kentukea (Dum. Cours.) Rudd,Kentucky yellowwood
CLAL3,,Clethra alnifolia L.,coastal sweetpepperbush
COUV,,Coccoloba uvifera (L.) L.,seagrape
COAL2,,Cornus alternifolia L. f.,alternateleaf dogwood
COAM2,,Cornus amomum Mill.,silky dogwood
CODR,,Cornus drummondii C.A. Mey.,roughleaf dogwood
COFL2,,Cornus florida L.,flowering dogwood
COFO,,Cornus foemina Mill.,stiff dogwood
COAM3,,Corylus americana Walter,American hazelnut
CRAE,,Crataegus aestivalis (Walter) Torr. & A. Gray,may hawthorn
CRCR2,,Crataegus crus-galli L.,cockspur hawthorn
CRMA5,,Crataegus marshallii Eggl.,parsley hawthorn
CRPH,,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn
CRVI2,,Crataegus viridis L.,green hawthorn
CYRA,,Cyrilla racemiflora L.,swamp titi
DEVE,,Decodon verticillatus (L.) Elliott,swamp loosestrife
DIVI5,,Diospyros virginiana L.,common persimmon
DIFR6,,Ditrysinia fruticosa (W. Bartram) Govaerts & Frodin,Gulf Sebastian-bush
DIFR6,SEFR,Sebastiania fruticosa (W. Bartram) Fernald,
EURA14,,Eubotrys racemosus (L.) Nutt.,swamp doghobble
EURA14,LERA4,Leucothoe racemosa (L.) A. Gray,
EUAT5,,Euonymus atropurpureus Jacq.,burningbush
EUAT5,EUAT3,"Euonymus atropurpurea Jacq., orth. var.",
FAGR,,Fagus grandifolia Ehrh.,American beech
FOAC,,Forestiera acuminata (Michx.) Poir.,eastern swampprivet
FRCA13,,Frangula caroliniana (Walter) A. Gray,Carolina buckthorn
FRAM2,,Fraxinus americana L.,white ash
FRCA3,,Fraxinus caroliniana Mill.,Carolina ash
FRPE,,Fraxinus pennsylvanica Marshall,green ash
FRPR,,Fraxinus profunda (Bush) Bush,pumpkin ash
GABA,,Gaylussacia baccata (Wangenh.) K. Koch,black huckleberry
GADU,,Gaylussacia dumosa (Andrews) Torr. & A. Gray,dwarf huckleberry
GAFR2,,Gaylussacia frondosa (L.) Torr. & A. Gray ex Torr.,blue huckleberry
GLAQ,,Gleditsia aquatica Marshall,water locust
GLTR,,Gleditsia triacanthos L.,honeylocust
GOLA,,Gordonia lasianthus (L.) Ellis,loblolly bay
GYDI,,Gymnocladus dioicus (L.) K. Koch,Kentucky coffeetree
HACA3,,Halesia carolina L.,Carolina silverbell
HADI3,,Halesia diptera Ellis,two-wing silverbell
HAVI4,,Hamamelis virginiana L.,American witchhazel
HYQU3,,Hydrangea quercifolia W. Bartram,oakleaf hydrangea
HYCI,,Hypericum cistifolium Lam.,roundpod St. Johnswort
HYCR3,,Hypericum crux-andreae (L.) Crantz,St. Peterswort
HYFA,,Hypericum fasciculatum Lam.,peelbark St. Johnswort
HYPR,,Hypericum prolificum L.,shrubby St. Johnswort
ILAM2,,Ilex amelanchier M.A. Curtis ex Chapm.,sarvis holly
ILCA,,Ilex cassine L.,dahoon
ILCO,,Ilex coriacea (Pursh) Chapm.,large gallberry
ILDE,,Ilex decidua Walter,possumhaw
ILGL,,Ilex glabra (L.) A. Gray,inkberry
ILOP,,Ilex opaca Aiton,American holly
ILVE,,Ilex verticillata (L.) A. Gray,common winterberry
ILVO,,Ilex vomitoria Aiton,yaupon
ITVI,,Itea virginica L.,Virginia sweetspire
JUCI,,Juglans cinerea L.,butternut
JUNI,,Juglans nigra L.,black walnut
JUVI,,Juniperus virginiana L.,eastern redcedar
JUVIS,,Juniperus virginiana L. var. silicicola (Small) Silba,southern redcedar
KALA,,Kalmia latifolia L.,mountain laurel
LEAX,,Leucothoe axillaris (Lam.) D. Don,coastal doghobble
LIBE3,,Lindera benzoin (L.) Blume,northern spicebush
LIST2,,Liquidambar styraciflua L.,sweetgum
LITU,,Liriodendron tulipifera L.,tuliptree
LYCA2,,Lycium carolinianum Walter,Carolina desert-thorn
LYLI,,Lyonia ligustrina (L.) DC.,maleberry
LYLU3,,Lyonia lucida (Lam.) K. Koch,fetterbush lyonia
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MAAC,,Magnolia acuminata (L.) L.,cucumber tree
MAGR4,,Magnolia grandiflora L.,southern magnolia
MATR,,Magnolia tripetala (L.) L.,umbrella-tree
MAVI2,,Magnolia virginiana L.,sweetbay
MALUS,,Malus Mill.,apple
MOCA7,,Morella caroliniensis (Mill.) Small,southern bayberry
MOCE2,,Morella cerifera (L.) Small,wax myrtle
MOIN,,Morella inodora (W. Bartram) Small,scentless bayberry
MORU2,,Morus rubra L.,red mulberry
NEAR5,,Nekemias arborea (L.) J. Wen & Boggan,peppervine
NEAR5,AMAR5,Ampelopsis arborea (L.) Koehne,
NYAQ2,,Nyssa aquatica L.,water tupelo
NYBI,,Nyssa biflora Walter,swamp tupelo
NYSY,,Nyssa sylvatica Marshall,blackgum
OSVI,,Ostrya virginiana (Mill.) K. Koch,hophornbeam
OXAR,,Oxydendrum arboreum (L.) DC.,sourwood
PEBO,,Persea borbonia (L.) Spreng.,redbay
PEPA37,,Persea palustris (Raf.) Sarg.,swamp bay
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PICL,,Pinus clausa (Chapm. ex Engelm.) Vasey ex Sarg.,sand pine
PIEC2,,Pinus echinata Mill.,shortleaf pine
PIEL,,Pinus elliottii Engelm.,slash pine
PIGL2,,Pinus glabra Walter,spruce pine
PIPA2,,Pinus palustris Mill.,longleaf pine
PITA,,Pinus taeda L.,loblolly pine
PIVI2,,Pinus virginiana Mill.,Virginia pine
PLAQ,,Planera aquatica J.F. Gmel.,planertree
PLOC,,Platanus occidentalis L.,American sycamore
PODE3,,Populus deltoides W. Bartram ex Marshall,eastern cottonwood
POHE4,,Populus heterophylla L.,swamp cottonwood
PRAM,,Prunus americana Marshall,American plum
PRAN3,,Prunus angustifolia Marshall,Chickasaw plum
PRSE2,,Prunus serotina Ehrh.,black cherry
PTTR,,Ptelea trifoliata L.,common hoptree
QUAL,,Quercus alba L.,white oak
QUBI,,Quercus bicolor Willd.,swamp white oak
QUCO2,,Quercus coccinea Münchh.,scarlet oak
QUFA,,Quercus falcata Michx.,southern red oak
QUIM,,Quercus imbricaria Michx.,shingle oak
QULA2,,Quercus laevis Walter,turkey oak
QULA3,,Quercus laurifolia Michx.,laurel oak
QULY,,Quercus lyrata Walter,overcup oak
QUMA2,,Quercus macrocarpa Michx.,bur oak
QUMA3,,Quercus marilandica Münchh.,blackjack oak
QUMI,,Quercus michauxii Nutt.,swamp chestnut oak
QUMO4,,Quercus montana Willd.,chestnut oak
QUMO4,QUPR2,"Quercus prinus L. p.p., nom. utique rej.",
QUMU,,Quercus muehlenbergii Engelm.,chinquapin oak
QUNI,,Quercus nigra L.,water oak
QUPA5,,Quercus pagoda Raf.,cherrybark oak
QUPA2,,Quercus palustris Münchh.,pin oak
QUPH,,Quercus phellos L.,willow oak
QUPU80,,Quercus pumila Walter,running oak
QURU,,Quercus rubra L.,northern red oak
QUSH,,Quercus shumardii Buckley,Shumard's oak
QUST,,Quercus stellata Wangenh.,post oak
QUTE,,Quercus texana Buckley,Nuttall oak
QUVE,,Quercus velutina Lam.,black oak
QUVI,,Quercus virginiana Mill.,live oak
RHAR3,,Rhododendron arborescens (Pursh) Torr.,smooth azalea
RHCA7,,Rhododendron canescens (Michx.) Sweet,mountain azalea
RHVI2,,Rhododendron viscosum (L.) Torr.,swamp azalea
RHCO,,Rhus copallinum L.,winged sumac
RHGL,,Rhus glabra L.,smooth sumac
RHTY,,Rhus typhina L.,staghorn sumac
RHTY,RHHI2,"Rhus hirta (L.) Sudw., nom. utique rej.",
ROPS,,Robinia pseudoacacia L.,black locust
SAMI8,,Sabal minor (Jacq.) Pers.,dwarf palmetto
SAPA,,Sabal palmetto (Walter) Lodd. ex Schult. & Schult. f.,cabbage palmetto
SACA5,,Salix caroliniana Michx.,coastal plain willow
SADI,,Salix discolor Muhl.,pussy willow
SAHU2,,Salix humilis Marshall,prairie willow
SAIN3,,Salix interior Rowlee,sandbar willow
SANI,,Salix nigra Marshall,black willow
SANIC4,,Sambucus nigra L. ssp. canadensis (L.) R. Bolli,American black elderberry
SAAL5,,Sassafras albidum (Nutt.) Nees,sassafras
SERE2,,Serenoa repens (W. Bartram) Small,saw palmetto
SILY,,Sideroxylon lycioides L.,buckthorn bully
SIRER2,,Sideroxylon reclinatum Michx. ssp. reclinatum,Florida bully
SMBO2,,Smilax bona-nox L.,saw greenbrier
SMGL,,Smilax glauca Walter,cat greenbrier
SMLA,,Smilax laurifolia L.,laurel greenbrier
SMRO,,Smilax rotundifolia L.,roundleaf greenbrier
SMSM,,Smilax smallii Morong,lanceleaf greenbrier
SMWA,,Smilax walteri Pursh,coral greenbrier
SPTO2,,Spiraea tomentosa L.,steeplebush
STAM4,,Styrax americanus Lam.,American snowbell
STGR4,,Styrax grandifolius Aiton,bigleaf snowbell
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
SYTI,,Symplocos tinctoria (L.) L'Hér.,common sweetleaf
TAAS,,Taxodium ascendens Brongn.,pond cypress
TADI2,,Taxodium distichum (L.) Rich.,bald cypress
TIAM,,Tilia americana L.,American basswood
TIAMH,,Tilia americana L. var. heterophylla (Vent.) Loudon,American basswood
ULAL,,Ulmus alata Michx.,winged elm
ULAM,,Ulmus americana L.,American elm
ULCR,,Ulmus crassifolia Nutt.,cedar elm
ULRU,,Ulmus rubra Muhl.,slippery elm
ULSE,,Ulmus serotina Sarg.,September elm
VAAR,,Vaccinium arboreum Marshall,farkleberry
VACO,,Vaccinium corymbosum L.,highbush blueberry
VAEL,,Vaccinium elliottii Chapm.,Elliott's blueberry
