Search type: Characteristics
Shrub|Tree|Native - L48|North Carolina

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABFR,,Abies fraseri (Pursh) Poir.,Fraser fir
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple
ACFL,ACBA3,Acer barbatum Michx. p.p.,
ACNE2,,Acer negundo L.,boxelder
ACNI5,,Acer nigrum Michx. f.,black maple
ACPE,,Acer pensylvanicum L.,striped maple
ACRU,,Acer rubrum L.,red maple
ACSA2,,Acer saccharinum L.,silver maple
ACSA3,,Acer saccharum Marshall,sugar maple
ACSP2,,Acer spicatum Lam.,mountain maple
AEFL,,Aesculus flava Aiton,yellow buckeye
AEPA,,Aesculus pavia L.,red buckeye
AESY,,Aesculus sylvatica W. Bartram,painted buckeye
ALSE2,,Alnus serrulata (Aiton) Willd.,hazel alder
ALVIC,,Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill,mountain alder
AMAR3,,Amelanchier arborea (Michx. f.) Fernald,common serviceberry
AMCA4,,Amelanchier canadensis (L.) Medik.,Canadian serviceberry
AMLA,,Amelanchier laevis Wiegand,Allegheny serviceberry
AMOB2,,Amelanchier obovalis (Michx.) Ashe,coastal serviceberry
AMSA,,Amelanchier sanguinea (Pursh) DC.,roundleaf serviceberry
AMFR,,Amorpha fruticosa L.,false indigo bush
AMGL2,,Amorpha glabra Desf. ex Poir.,mountain false indigo
ARSP2,,Aralia spinosa L.,devil's walkingstick
ARAR7,,Aronia arbutifolia (L.) Pers.,red chokeberry
ARAR7,PHPY4,Photinia pyrifolia (Lam.) K.R. Robertson & Phipps,
ARME6,,Aronia melanocarpa (Michx.) Elliott,black chokeberry
ARME6,PHME13,Photinia melanocarpa (Michx.) K.R. Robertson & Phipps,
ARGI,,Arundinaria gigantea (Walter) Muhl.,giant cane
ARTE4,,Arundinaria tecta (Walter) Muhl.,switchcane
ARTE4,ARGIT8,Arundinaria gigantea (Walter) Muhl. ssp. tecta (Walter) McClure,
ASTR,,Asimina triloba (L.) Dunal,pawpaw
BAAN,,Baccharis angustifolia Michx.,saltwater false willow
BAHA,,Baccharis halimifolia L.,eastern baccharis
BEAL2,,Betula alleghaniensis Britton,yellow birch
BELE,,Betula lenta L.,sweet birch
BENI,,Betula nigra L.,river birch
BEPA,,Betula papyrifera Marshall,paper birch
BEPO,,Betula populifolia Marshall,gray birch
CAAM2,,Callicarpa americana L.,American beautyberry
CACA18,,Carpinus caroliniana Walter,American hornbeam
CAAQ2,,Carya aquatica (Michx. f.) Nutt.,water hickory
CACO15,,Carya cordiformis (Wangenh.) K. Koch,bitternut hickory
CAGL8,,Carya glabra (Mill.) Sweet,pignut hickory
CAIL2,,Carya illinoinensis (Wangenh.) K. Koch,pecan
CALA21,,Carya laciniosa (Michx. f.) G. Don,shellbark hickory
CAMY,,Carya myristiciformis (Michx. f.) Nutt.,nutmeg hickory
CAOV2,,Carya ovata (Mill.) K. Koch,shagbark hickory
