Search type: Characteristics
Shrub|Tree|Native - L48|Texas

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple
ACFL,ACBA3,Acer barbatum Michx. p.p.,
ACGR3,,Acer grandidentatum Nutt.,bigtooth maple
ACNE2,,Acer negundo L.,boxelder
ACRU,,Acer rubrum L.,red maple
ACSA2,,Acer saccharinum L.,silver maple
AEGL,,Aesculus glabra Willd.,Ohio buckeye
AEPA,,Aesculus pavia L.,red buckeye
AGAM,,Agave americana L.,American century plant
ALSE2,,Alnus serrulata (Aiton) Willd.,hazel alder
AMAR3,,Amelanchier arborea (Michx. f.) Fernald,common serviceberry
AMUT,,Amelanchier utahensis Koehne,Utah serviceberry
AMUTU,,Amelanchier utahensis Koehne var. utahensis,Utah serviceberry
AMCA6,,Amorpha canescens Pursh,leadplant
AMFR,,Amorpha fruticosa L.,false indigo bush
ARSP2,,Aralia spinosa L.,devil's walkingstick
ARPU5,,Arctostaphylos pungens Kunth,pointleaf manzanita
ARAR7,,Aronia arbutifolia (L.) Pers.,red chokeberry
ARAR7,PHPY4,Photinia pyrifolia (Lam.) K.R. Robertson & Phipps,
ARGI,,Arundinaria gigantea (Walter) Muhl.,giant cane
ARTE4,,Arundinaria tecta (Walter) Muhl.,switchcane
ARTE4,ARGIT8,Arundinaria gigantea (Walter) Muhl. ssp. tecta (Walter) McClure,
ASTR,,Asimina triloba (L.) Dunal,pawpaw
ASLE8,,Astragalus lentiginosus Douglas ex Hook.,freckled milkvetch
ATCA2,,Atriplex canescens (Pursh) Nutt.,fourwing saltbush
ATCO,,Atriplex confertifolia (Torr. & Frém.) S. Watson,shadscale saltbush
AVGE,,Avicennia germinans (L.) L.,black mangrove
BAHA,,Baccharis halimifolia L.,eastern baccharis
BASA4,,Baccharis salicifolia (Ruiz & Pav.) Pers.,mule-fat
BASA2,,Baccharis sarothroides A. Gray,desertbroom
BENI,,Betula nigra L.,river birch
CAER,,Calliandra eriophylla Benth.,fairyduster
CAAM2,,Callicarpa americana L.,American beautyberry
CACA18,,Carpinus caroliniana Walter,American hornbeam
CAAQ2,,Carya aquatica (Michx. f.) Nutt.,water hickory
CACO15,,Carya cordiformis (Wangenh.) K. Koch,bitternut hickory
CAGL8,,Carya glabra (Mill.) Sweet,pignut hickory
CAIL2,,Carya illinoinensis (Wangenh.) K. Koch,pecan
CALA21,,Carya laciniosa (Michx. f.) G. Don,shellbark hickory
CAMY,,Carya myristiciformis (Michx. f.) Nutt.,nutmeg hickory
CAOV2,,Carya ovata (Mill.) K. Koch,shagbark hickory
CATO6,,Carya tomentosa (Lam.) Nutt.,mockernut hickory
CATO6,CAAL27,"Carya alba (L.) Nutt., nom. utique rej.",
CAPU9,,Castanea pumila (L.) Mill.,chinquapin
CABI8,,Catalpa bignonioides Walter,southern catalpa
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CEAM,,Ceanothus americanus L.,New Jersey tea
CEGR,,Ceanothus greggii A. Gray,desert ceanothus
CEEH,,Celtis ehrenbergiana (Klotzsch) Liebm.,spiny hackberry
CEEH,CEPA8,Celtis pallida Torr.,
CELA,,Celtis laevigata Willd.,sugarberry
CELAR,,Celtis laevigata Willd. var. reticulata (Torr.) L.D. Benson,netleaf hackberry
CEOC,,Celtis occidentalis L.,common hackberry
CEOC2,,Cephalanthus occidentalis L.,common buttonbush
CECA4,,Cercis canadensis L.,eastern redbud
CECAT,,Cercis canadensis L. var. texensis (S. Watson) M. Hopkins,Texas redbud
CEMO2,,Cercocarpus montanus Raf.,alderleaf mountain mahogany
CHLI2,,Chilopsis linearis (Cav.) Sweet,desert willow
CHVI3,,Chionanthus virginicus L.,white fringetree
CHDU,,Choisya dumosa (Torr.) A. Gray,Mexican orange
CLAL3,,Clethra alnifolia L.,coastal sweetpepperbush
CODR,,Cornus drummondii C.A. Mey.,roughleaf dogwood
COFL2,,Cornus florida L.,flowering dogwood
COFO,,Cornus foemina Mill.,stiff dogwood
CORA6,,Cornus racemosa Lam.,gray dogwood
CRCR2,,Crataegus crus-galli L.,cockspur hawthorn
CRMA5,,Crataegus marshallii Eggl.,parsley hawthorn
CRVI2,,Crataegus viridis L.,green hawthorn
CYRA,,Cyrilla racemiflora L.,swamp titi
DAFO,,Dalea formosa Torr.,featherplume
DAWH2,,Dasylirion wheeleri S. Watson,common sotol
DEVE,,Decodon verticillatus (L.) Elliott,swamp loosestrife
DIVI5,,Diospyros virginiana L.,common persimmon
DIFR6,,Ditrysinia fruticosa (W. Bartram) Govaerts & Frodin,Gulf Sebastian-bush
DIFR6,SEFR,Sebastiania fruticosa (W. Bartram) Fernald,
ELCO,,Elaeagnus commutata Bernh. ex Rydb.,silverberry
EPTO,,Ephedra torreyana S. Watson,Torrey's jointfir
EPTR,,Ephedra trifurca Torr. ex S. Watson,longleaf jointfir
ERNAN5,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. nauseosa,rubber rabbitbrush
ERWR,,Eriogonum wrightii Torr. ex Benth.,bastardsage
EURA14,,Eubotrys racemosus (L.) Nutt.,swamp doghobble
EURA14,LERA4,Leucothoe racemosa (L.) A. Gray,
EUAT5,,Euonymus atropurpureus Jacq.,burningbush
EUAT5,EUAT3,"Euonymus atropurpurea Jacq., orth. var.",
FAGR,,Fagus grandifolia Ehrh.,American beech
FAPA,,Fallugia paradoxa (D. Don) Endl. ex Torr.,Apache plume
FERU,,Fendlera rupicola A. Gray,cliff fendlerbush
FEWI,,Ferocactus wislizeni (Engelm.) Britton & Rose,candy barrelcactus
FLCE,,Flourensia cernua DC.,American tarwort
FOAC,,Forestiera acuminata (Michx.) Poir.,eastern swampprivet
FOPUP,,Forestiera pubescens Nutt. var. pubescens,stretchberry
FOSP2,,Fouquieria splendens Engelm.,ocotillo
FRCA13,,Frangula caroliniana (Walter) A. Gray,Carolina buckthorn
FRAM2,,Fraxinus americana L.,white ash
FRCA3,,Fraxinus caroliniana Mill.,Carolina ash
FRPE,,Fraxinus pennsylvanica Marshall,green ash
FRVE2,,Fraxinus velutina Torr.,velvet ash
GAWR3,,Garrya wrightii Torr.,Wright's silktassel
GLAQ,,Gleditsia aquatica Marshall,water locust
GLTR,,Gleditsia triacanthos L.,honeylocust
GUSA2,,Gutierrezia sarothrae (Pursh) Britton & Rusby,broom snakeweed
GYDI,,Gymnocladus dioicus (L.) K. Koch,Kentucky coffeetree
HADI3,,Halesia diptera Ellis,two-wing silverbell
HAVI4,,Hamamelis virginiana L.,American witchhazel
HEAR22,,Hesperocyparis arizonica (Greene) Bartel,Arizona cypress
HEAR22,CUAR,Cupressus arizonica Greene,
HODU,,Holodiscus dumosus (Nutt. ex Hook.) A. Heller,rockspirea
HYMO,,Hymenoclea monogyra Torr. & A. Gray,singlewhorl burrobrush
HYCI,,Hypericum cistifolium Lam.,roundpod St. Johnswort
HYCR3,,Hypericum crux-andreae (L.) Crantz,St. Peterswort
HYDE,,Hypericum densiflorum Pursh,bushy St. Johnswort
HYPR,,Hypericum prolificum L.,shrubby St. Johnswort
ILCA,,Ilex cassine L.,dahoon
ILCO,,Ilex coriacea (Pursh) Chapm.,large gallberry
ILDE,,Ilex decidua Walter,possumhaw
ILGL,,Ilex glabra (L.) A. Gray,inkberry
ILOP,,Ilex opaca Aiton,American holly
ILVE,,Ilex verticillata (L.) A. Gray,common winterberry
ILVO,,Ilex vomitoria Aiton,yaupon
ITVI,,Itea virginica L.,Virginia sweetspire
JUMA,,Juglans major (Torr.) A. Heller,Arizona walnut
JUMI,,Juglans microcarpa Berl.,little walnut
JUNI,,Juglans nigra L.,black walnut
JUMO,,Juniperus monosperma (Engelm.) Sarg.,oneseed juniper
JUSC2,,Juniperus scopulorum Sarg.,Rocky Mountain juniper
JUVI,,Juniperus virginiana L.,eastern redcedar
KRER,,Krameria erecta Willd. ex Schult.,littleleaf ratany
KRLA2,,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,winterfat
LARA2,,Laguncularia racemosa (L.) C.F. Gaertn.,white mangrove
LERE5,,Leucaena retusa Benth.,littleleaf leadtree
LIBE3,,Lindera benzoin (L.) Blume,northern spicebush
LIST2,,Liquidambar styraciflua L.,sweetgum
LITU,,Liriodendron tulipifera L.,tuliptree
LYCA2,,Lycium carolinianum Walter,Carolina desert-thorn
LYPA,,Lycium pallidum Miers,pale desert-thorn
LYLI,,Lyonia ligustrina (L.) DC.,maleberry
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MAGR4,,Magnolia grandiflora L.,southern magnolia
MAVI2,,Magnolia virginiana L.,sweetbay
MARE11,,Mahonia repens (Lindl.) G. Don,creeping barberry
MALUS,,Malus Mill.,apple
MAIO,,Malus ioensis (Alph. Wood) Britton,prairie crab apple
MOCA7,,Morella caroliniensis (Mill.) Small,southern bayberry
MOCE2,,Morella cerifera (L.) Small,wax myrtle
MORU2,,Morus rubra L.,red mulberry
NEAR5,,Nekemias arborea (L.) J. Wen & Boggan,peppervine
NEAR5,AMAR5,Ampelopsis arborea (L.) Koehne,
NYAQ2,,Nyssa aquatica L.,water tupelo
NYBI,,Nyssa biflora Walter,swamp tupelo
NYSY,,Nyssa sylvatica Marshall,blackgum
OPPO,,Opuntia polyacantha Haw.,plains pricklypear
OSVI,,Ostrya virginiana (Mill.) K. Koch,hophornbeam
PEBO,,Persea borbonia (L.) Spreng.,redbay
PEPA37,,Persea palustris (Raf.) Sarg.,swamp bay
PHMI4,,Philadelphus microphyllus A. Gray,littleleaf mock orange
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PICE,,Pinus cembroides Zucc.,Mexican pinyon
PICL,,Pinus clausa (Chapm. ex Engelm.) Vasey ex Sarg.,sand pine
PIEC2,,Pinus echinata Mill.,shortleaf pine
PIED,,Pinus edulis Engelm.,twoneedle pinyon
PIEL,,Pinus elliottii Engelm.,slash pine
PIPA2,,Pinus palustris Mill.,longleaf pine
PIPO,,Pinus ponderosa Lawson & C. Lawson,ponderosa pine
PITA,,Pinus taeda L.,loblolly pine
PLAQ,,Planera aquatica J.F. Gmel.,planertree
PLOC,,Platanus occidentalis L.,American sycamore
POAN3,,Populus angustifolia James,narrowleaf cottonwood
PODE3,,Populus deltoides W. Bartram ex Marshall,eastern cottonwood
PODEM,,Populus deltoides W. Bartram ex Marshall ssp. monilifera (Aiton) Eckenwalder,plains cottonwood
POFR2,,Populus fremontii S. Watson,Fremont cottonwood
POTR5,,Populus tremuloides Michx.,quaking aspen
PRGLG,,Prosopis glandulosa Torr. var. glandulosa,honey mesquite
PRPU,,Prosopis pubescens Benth.,screwbean mesquite
PRAN3,,Prunus angustifolia Marshall,Chickasaw plum
PRSE2,,Prunus serotina Ehrh.,black cherry
PRSER2,,Prunus serotina Ehrh. var. rufula (Wooton & Standl.) McVaugh,black cherry
PRVI,,Prunus virginiana L.,chokecherry
PRVID,,Prunus virginiana L. var. demissa (Nutt.) Torr.,western chokecherry
PSME,,Pseudotsuga menziesii (Mirb.) Franco,Douglas-fir
PSMEG,,Pseudotsuga menziesii (Mirb.) Franco var. glauca (Beissn.) Franco,Rocky Mountain Douglas-fir
PTTR,,Ptelea trifoliata L.,common hoptree
QUAL,,Quercus alba L.,white oak
QUFA,,Quercus falcata Michx.,southern red oak
QUGA,,Quercus gambelii Nutt.,Gambel oak
QULA3,,Quercus laurifolia Michx.,laurel oak
QULY,,Quercus lyrata Walter,overcup oak
QUMA2,,Quercus macrocarpa Michx.,bur oak
QUMA3,,Quercus marilandica Münchh.,blackjack oak
QUMI,,Quercus michauxii Nutt.,swamp chestnut oak
QUMU,,Quercus muehlenbergii Engelm.,chinquapin oak
QUNI,,Quercus nigra L.,water oak
QUPA5,,Quercus pagoda Raf.,cherrybark oak
QUPH,,Quercus phellos L.,willow oak
QUSH,,Quercus shumardii Buckley,Shumard's oak
QUST,,Quercus stellata Wangenh.,post oak
QUTE,,Quercus texana Buckley,Nuttall oak
QUVE,,Quercus velutina Lam.,black oak
QUVI,,Quercus virginiana Mill.,live oak
RHCA7,,Rhododendron canescens (Michx.) Sweet,mountain azalea
RHVI2,,Rhododendron viscosum (L.) Torr.,swamp azalea
RHARS,,Rhus aromatica Aiton var. serotina (Greene) Rehder,fragrant sumac
RHCO,,Rhus copallinum L.,winged sumac
RHGL,,Rhus glabra L.,smooth sumac
RHMI3,,Rhus microphylla Engelm. ex A. Gray,littleleaf sumac
RHTR,,Rhus trilobata Nutt.,skunkbush sumac
RIAU,,Ribes aureum Pursh,golden currant
RIAUV,,Ribes aureum Pursh var. villosum DC.,golden currant
RONE,,Robinia neomexicana A. Gray,New Mexico locust
