Search type: Characteristics
Shrub|Tree|Native - L48|Native - CAN|Arizona

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABCO,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir
ACGL,,Acer glabrum Torr.,Rocky Mountain maple
ACGR3,,Acer grandidentatum Nutt.,bigtooth maple
ACNE2,,Acer negundo L.,boxelder
AGAM,,Agave americana L.,American century plant
AGUT,,Agave utahensis Engelm.,Utah agave
AGGL,,Agoseris glauca (Pursh) Raf.,pale agoseris
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINT,,Alnus incana (L.) Moench ssp. tenuifolia (Nutt.) Breitung,thinleaf alder
AMDU2,,Ambrosia dumosa (A. Gray) Payne,burrobush
AMUT,,Amelanchier utahensis Koehne,Utah serviceberry
AMUTU,,Amelanchier utahensis Koehne var. utahensis,Utah serviceberry
AMFR,,Amorpha fruticosa L.,false indigo bush
ANTH2,,Anisacanthus thurberi (Torr.) A. Gray,Thurber's desert honeysuckle
ARAR2,,Arbutus arizonica (A. Gray) Sarg.,Arizona madrone
ARPA6,,Arctostaphylos patula Greene,greenleaf manzanita
ARPU5,,Arctostaphylos pungens Kunth,pointleaf manzanita
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ARCA13,,Artemisia cana Pursh,silver sagebrush
ARNO4,,Artemisia nova A. Nelson,black sagebrush
ARTR2,,Artemisia tridentata Nutt.,big sagebrush
ARTRT,,Artemisia tridentata Nutt. ssp. tridentata,basin big sagebrush
ARTRW8,,Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young,Wyoming big sagebrush
ASLE8,,Astragalus lentiginosus Douglas ex Hook.,freckled milkvetch
ATCA2,,Atriplex canescens (Pursh) Nutt.,fourwing saltbush
ATCO,,Atriplex confertifolia (Torr. & Frém.) S. Watson,shadscale saltbush
ATLE,,Atriplex lentiformis (Torr.) S. Watson,big saltbush
ATPO,,Atriplex polycarpa (Torr.) S. Watson,cattle saltbush
BASA4,,Baccharis salicifolia (Ruiz & Pav.) Pers.,mule-fat
BASA2,,Baccharis sarothroides A. Gray,desertbroom
BEOC2,,Betula occidentalis Hook.,water birch
CAER,,Calliandra eriophylla Benth.,fairyduster
CAGI10,,Carnegiea gigantea (Engelm.) Britton & Rose,saguaro
CAGI10,CAGI7,"Carnegia gigantea (Engelm.) Britton & Rose, orth. var.",
CABI8,,Catalpa bignonioides Walter,southern catalpa
CEGR,,Ceanothus greggii A. Gray,desert ceanothus
CEIN3,,Ceanothus integerrimus Hook. & Arn.,deerbrush
CEEH,,Celtis ehrenbergiana (Klotzsch) Liebm.,spiny hackberry
CEEH,CEPA8,Celtis pallida Torr.,
CELA,,Celtis laevigata Willd.,sugarberry
CELAR,,Celtis laevigata Willd. var. reticulata (Torr.) L.D. Benson,netleaf hackberry
CEOC2,,Cephalanthus occidentalis L.,common buttonbush
CELE3,,Cercocarpus ledifolius Nutt.,curl-leaf mountain mahogany
CEMO2,,Cercocarpus montanus Raf.,alderleaf mountain mahogany
CHMI2,,Chamaebatiaria millefolium (Torr.) Maxim.,desert sweet
CHLI2,,Chilopsis linearis (Cav.) Sweet,desert willow
CHDU,,Choisya dumosa (Torr.) A. Gray,Mexican orange
CHVI8,,Chrysothamnus viscidiflorus (Hook.) Nutt.,yellow rabbitbrush
CLIS,,Cleome isomeris Greene,bladderpod spiderflower
CORA,,Coleogyne ramosissima Torr.,blackbrush
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
CRER,,Crataegus erythropoda Ashe,cerro hawthorn
DAFO,,Dalea formosa Torr.,featherplume
DAFRF,,Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz,shrubby cinquefoil
DAFRF,DAFL3,Dasiphora floribunda (Pursh) Raf.,
DAWH2,,Dasylirion wheeleri S. Watson,common sotol
DOVI,,Dodonaea viscosa (L.) Jacq.,Florida hopbush
ENFA,,Encelia farinosa A. Gray ex Torr.,brittlebush
EPNE,,Ephedra nevadensis S. Watson,Nevada jointfir
EPTO,,Ephedra torreyana S. Watson,Torrey's jointfir
EPTR,,Ephedra trifurca Torr. ex S. Watson,longleaf jointfir
EPVI,,Ephedra viridis Coville,mormon tea
ERFA2,,Eriogonum fasciculatum Benth.,Eastern Mojave buckwheat
ERMI4,,Eriogonum microthecum Nutt.,slender buckwheat
ERUM,,Eriogonum umbellatum Torr.,sulphur-flower buckwheat
ERWR,,Eriogonum wrightii Torr. ex Benth.,bastardsage
FAPA,,Fallugia paradoxa (D. Don) Endl. ex Torr.,Apache plume
FERU,,Fendlera rupicola A. Gray,cliff fendlerbush
FEWI,,Ferocactus wislizeni (Engelm.) Britton & Rose,candy barrelcactus
FLCE,,Flourensia cernua DC.,American tarwort
FOPUP,,Forestiera pubescens Nutt. var. pubescens,stretchberry
FOSP2,,Fouquieria splendens Engelm.,ocotillo
FRBEB,,Frangula betulifolia (Greene) V. Grub. ssp. betulifolia,beechleaf frangula
FRAN2,,Fraxinus anomala Torr. ex S. Watson,singleleaf ash
FRVE2,,Fraxinus velutina Torr.,velvet ash
FRCA6,,Fremontodendron californicum (Torr.) Coville,California flannelbush
GAWR3,,Garrya wrightii Torr.,Wright's silktassel
GLTR,,Gleditsia triacanthos L.,honeylocust
GRSP,,Grayia spinosa (Hook.) Moq.,spiny hopsage
GUSA2,,Gutierrezia sarothrae (Pursh) Britton & Rusby,broom snakeweed
HEAR22,,Hesperocyparis arizonica (Greene) Bartel,Arizona cypress
HEAR22,CUAR,Cupressus arizonica Greene,
HEWH,,Hesperoyucca whipplei (Torr.) Baker,chaparral yucca
HEWH,YUWH,Yucca whipplei Torr.,
HODI,,Holodiscus discolor (Pursh) Maxim.,oceanspray
HODU,,Holodiscus dumosus (Nutt. ex Hook.) A. Heller,rockspirea
HYMO,,Hymenoclea monogyra Torr. & A. Gray,singlewhorl burrobrush
JAAM,,Jamesia americana Torr. & A. Gray,fivepetal cliffbush
JUMA,,Juglans major (Torr.) A. Heller,Arizona walnut
JUCO6,,Juniperus communis L.,common juniper
JUMO,,Juniperus monosperma (Engelm.) Sarg.,oneseed juniper
JUOS,,Juniperus osteosperma (Torr.) Little,Utah juniper
JUSC2,,Juniperus scopulorum Sarg.,Rocky Mountain juniper
KRER,,Krameria erecta Willd. ex Schult.,littleleaf ratany
KRLA2,,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,winterfat
LOIN5,,Lonicera involucrata (Richardson) Banks ex Spreng.,twinberry honeysuckle
LOUT2,,Lonicera utahensis S. Watson,Utah honeysuckle
LYPA,,Lycium pallidum Miers,pale desert-thorn
MARE11,,Mahonia repens (Lindl.) G. Don,creeping barberry
