Search type: Characteristics
Shrub|Tree|Native - L48|California

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABAM,,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Pacific silver fir
ABGR,,Abies grandis (Douglas ex D. Don) Lindl.,grand fir
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir
ABMA,,Abies magnifica A. Murray bis,California red fir
ABMAS,,Abies magnifica A. Murray bis var. shastensis Lemmon,Shasta red fir
ABMAS,ABSH,Abies ×shastensis (Lemmon) Lemmon,
ABPR,,Abies procera Rehder,noble fir
ACCI,,Acer circinatum Pursh,vine maple
ACGL,,Acer glabrum Torr.,Rocky Mountain maple
ACGLD4,,Acer glabrum Torr. var. douglasii (Hook.) Dippel,Douglas maple
ACMA3,,Acer macrophyllum Pursh,bigleaf maple
ACNE2,,Acer negundo L.,boxelder
ACSA2,,Acer saccharinum L.,silver maple
ADFA,,Adenostoma fasciculatum Hook. & Arn.,chamise
AECA,,Aesculus californica (Spach) Nutt.,California buckeye
AGAM,,Agave americana L.,American century plant
AGUT,,Agave utahensis Engelm.,Utah agave
AGGL,,Agoseris glauca (Pursh) Raf.,pale agoseris
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINT,,Alnus incana (L.) Moench ssp. tenuifolia (Nutt.) Breitung,thinleaf alder
ALRH2,,Alnus rhombifolia Nutt.,white alder
ALRU2,,Alnus rubra Bong.,red alder
ALVIS,,Alnus viridis (Chaix) DC. ssp. sinuata (Regel) Á. Löve & D. Löve,Sitka alder
AMDU2,,Ambrosia dumosa (A. Gray) Payne,burrobush
AMAL2,,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,Saskatoon serviceberry
AMALS,,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. semiintegrifolia (Hook.) C.L. Hitchc.,Saskatoon serviceberry
AMUT,,Amelanchier utahensis Koehne,Utah serviceberry
AMUTU,,Amelanchier utahensis Koehne var. utahensis,Utah serviceberry
AMFR,,Amorpha fruticosa L.,false indigo bush
ARME,,Arbutus menziesii Pursh,Pacific madrone
ARCO3,,Arctostaphylos columbiana Piper,hairy manzanita
ARGL4,,Arctostaphylos glauca Lindl.,bigberry manzanita
ARMA,,Arctostaphylos manzanita Parry,whiteleaf manzanita
ARNE,,Arctostaphylos nevadensis A. Gray,pinemat manzanita
ARPA6,,Arctostaphylos patula Greene,greenleaf manzanita
ARPU5,,Arctostaphylos pungens Kunth,pointleaf manzanita
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ARAR8,,Artemisia arbuscula Nutt.,little sagebrush
ARCA13,,Artemisia cana Pursh,silver sagebrush
ARNO4,,Artemisia nova A. Nelson,black sagebrush
ARTR2,,Artemisia tridentata Nutt.,big sagebrush
ARTRT,,Artemisia tridentata Nutt. ssp. tridentata,basin big sagebrush
ARTRV,,Artemisia tridentata Nutt. ssp. vaseyana (Rydb.) Beetle,mountain big sagebrush
ARTRW8,,Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young,Wyoming big sagebrush
ASLE8,,Astragalus lentiginosus Douglas ex Hook.,freckled milkvetch
ATCA2,,Atriplex canescens (Pursh) Nutt.,fourwing saltbush
ATCO,,Atriplex confertifolia (Torr. & Frém.) S. Watson,shadscale saltbush
ATFA,,Atriplex falcata (M.E. Jones) Standl.,sickle saltbush
ATLE,,Atriplex lentiformis (Torr.) S. Watson,big saltbush
ATPO,,Atriplex polycarpa (Torr.) S. Watson,cattle saltbush
BAPI,,Baccharis pilularis DC.,coyotebrush
BASA4,,Baccharis salicifolia (Ruiz & Pav.) Pers.,mule-fat
BASA2,,Baccharis sarothroides A. Gray,desertbroom
BENA,,Betula nana L.,dwarf birch
BEOC2,,Betula occidentalis Hook.,water birch
BEPU4,,Betula pumila L.,bog birch
CAER,,Calliandra eriophylla Benth.,fairyduster
CANO9,,Callitropsis nootkatensis (D. Don) Oerst. ex D.P. Little,Alaska cedar
CANO9,CHNO,Chamaecyparis nootkatensis (D. Don) Spach,
CADE27,,Calocedrus decurrens (Torr.) Florin,incense cedar
CAGI10,,Carnegiea gigantea (Engelm.) Britton & Rose,saguaro
CAGI10,CAGI7,"Carnegia gigantea (Engelm.) Britton & Rose, orth. var.",
CABI8,,Catalpa bignonioides Walter,southern catalpa
CEFL4,,Ceanothus ×flexilis Greene ex McMinn [cuneatus × prostratus],flexible ceanothus
CECO,,Ceanothus cordulatus Kellogg,whitethorn ceanothus
CECU,,Ceanothus cuneatus (Hook.) Nutt.,buckbrush
CEFR,,Ceanothus fresnensis Dudley ex Abrams,Fresno mat
CEGR,,Ceanothus greggii A. Gray,desert ceanothus
CEIN3,,Ceanothus integerrimus Hook. & Arn.,deerbrush
CEME,,Ceanothus megacarpus Nutt.,bigpod ceanothus
CEPA2,,Ceanothus papillosus Torr. & A. Gray,wartleaf ceanothus
CEPR,,Ceanothus prostratus Benth.,prostrate ceanothus
CESA,,Ceanothus sanguineus Pursh,redstem ceanothus
CEVE,,Ceanothus velutinus Douglas ex Hook.,snowbrush ceanothus
CELA,,Celtis laevigata Willd.,sugarberry
CELAR,,Celtis laevigata Willd. var. reticulata (Torr.) L.D. Benson,netleaf hackberry
