Search type: Characteristics
Shrub|Tree|Native - L48|New Mexico

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABCO,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir
ACGL,,Acer glabrum Torr.,Rocky Mountain maple
ACGR3,,Acer grandidentatum Nutt.,bigtooth maple
ACNE2,,Acer negundo L.,boxelder
ACSA2,,Acer saccharinum L.,silver maple
AGGL,,Agoseris glauca (Pursh) Raf.,pale agoseris
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINT,,Alnus incana (L.) Moench ssp. tenuifolia (Nutt.) Breitung,thinleaf alder
AMAL2,,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,Saskatoon serviceberry
AMUT,,Amelanchier utahensis Koehne,Utah serviceberry
AMUTU,,Amelanchier utahensis Koehne var. utahensis,Utah serviceberry
AMCA6,,Amorpha canescens Pursh,leadplant
AMFR,,Amorpha fruticosa L.,false indigo bush
ANTH2,,Anisacanthus thurberi (Torr.) A. Gray,Thurber's desert honeysuckle
ARAR2,,Arbutus arizonica (A. Gray) Sarg.,Arizona madrone
ARPA6,,Arctostaphylos patula Greene,greenleaf manzanita
ARPU5,,Arctostaphylos pungens Kunth,pointleaf manzanita
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ARAR8,,Artemisia arbuscula Nutt.,little sagebrush
ARCA13,,Artemisia cana Pursh,silver sagebrush
ARNO4,,Artemisia nova A. Nelson,black sagebrush
ARTR2,,Artemisia tridentata Nutt.,big sagebrush
ARTRT,,Artemisia tridentata Nutt. ssp. tridentata,basin big sagebrush
ARTRV,,Artemisia tridentata Nutt. ssp. vaseyana (Rydb.) Beetle,mountain big sagebrush
ARTRW8,,Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young,Wyoming big sagebrush
ASLE8,,Astragalus lentiginosus Douglas ex Hook.,freckled milkvetch
ATCA2,,Atriplex canescens (Pursh) Nutt.,fourwing saltbush
ATCO,,Atriplex confertifolia (Torr. & Frém.) S. Watson,shadscale saltbush
BAPI,,Baccharis pilularis DC.,coyotebrush
BASA4,,Baccharis salicifolia (Ruiz & Pav.) Pers.,mule-fat
BASA2,,Baccharis sarothroides A. Gray,desertbroom
BEFE,,Berberis fendleri A. Gray,Colorado barberry
BEOC2,,Betula occidentalis Hook.,water birch
CAER,,Calliandra eriophylla Benth.,fairyduster
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CEGR,,Ceanothus greggii A. Gray,desert ceanothus
CEIN3,,Ceanothus integerrimus Hook. & Arn.,deerbrush
CEEH,,Celtis ehrenbergiana (Klotzsch) Liebm.,spiny hackberry
CEEH,CEPA8,Celtis pallida Torr.,
CELA,,Celtis laevigata Willd.,sugarberry
CELAR,,Celtis laevigata Willd. var. reticulata (Torr.) L.D. Benson,netleaf hackberry
CEOC,,Celtis occidentalis L.,common hackberry
CECA4,,Cercis canadensis L.,eastern redbud
CEMO2,,Cercocarpus montanus Raf.,alderleaf mountain mahogany
CHLI2,,Chilopsis linearis (Cav.) Sweet,desert willow
CHDU,,Choisya dumosa (Torr.) A. Gray,Mexican orange
CHVI8,,Chrysothamnus viscidiflorus (Hook.) Nutt.,yellow rabbitbrush
COCA13,,Cornus canadensis L.,bunchberry dogwood
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
CRER,,Crataegus erythropoda Ashe,cerro hawthorn
DAFO,,Dalea formosa Torr.,featherplume
DAFRF,,Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz,shrubby cinquefoil
DAFRF,DAFL3,Dasiphora floribunda (Pursh) Raf.,
DAWH2,,Dasylirion wheeleri S. Watson,common sotol
EPTO,,Ephedra torreyana S. Watson,Torrey's jointfir
EPTR,,Ephedra trifurca Torr. ex S. Watson,longleaf jointfir
EPVI,,Ephedra viridis Coville,mormon tea
ERNAN5,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. nauseosa,rubber rabbitbrush
ERMI4,,Eriogonum microthecum Nutt.,slender buckwheat
ERWR,,Eriogonum wrightii Torr. ex Benth.,bastardsage
FAPA,,Fallugia paradoxa (D. Don) Endl. ex Torr.,Apache plume
FERU,,Fendlera rupicola A. Gray,cliff fendlerbush
FEWI,,Ferocactus wislizeni (Engelm.) Britton & Rose,candy barrelcactus
FLCE,,Flourensia cernua DC.,American tarwort
FOPUP,,Forestiera pubescens Nutt. var. pubescens,stretchberry
FOSP2,,Fouquieria splendens Engelm.,ocotillo
FRAN2,,Fraxinus anomala Torr. ex S. Watson,singleleaf ash
FRPE,,Fraxinus pennsylvanica Marshall,green ash
FRVE2,,Fraxinus velutina Torr.,velvet ash
GAWR3,,Garrya wrightii Torr.,Wright's silktassel
GLTR,,Gleditsia triacanthos L.,honeylocust
GRSP,,Grayia spinosa (Hook.) Moq.,spiny hopsage
GUSA2,,Gutierrezia sarothrae (Pursh) Britton & Rusby,broom snakeweed
HEAR22,,Hesperocyparis arizonica (Greene) Bartel,Arizona cypress
HEAR22,CUAR,Cupressus arizonica Greene,
HODU,,Holodiscus dumosus (Nutt. ex Hook.) A. Heller,rockspirea
HYMO,,Hymenoclea monogyra Torr. & A. Gray,singlewhorl burrobrush
JAAM,,Jamesia americana Torr. & A. Gray,fivepetal cliffbush
JUMA,,Juglans major (Torr.) A. Heller,Arizona walnut
JUMI,,Juglans microcarpa Berl.,little walnut
JUNI,,Juglans nigra L.,black walnut
JUCO6,,Juniperus communis L.,common juniper
JUMO,,Juniperus monosperma (Engelm.) Sarg.,oneseed juniper
JUOS,,Juniperus osteosperma (Torr.) Little,Utah juniper
JUSC2,,Juniperus scopulorum Sarg.,Rocky Mountain juniper
KRER,,Krameria erecta Willd. ex Schult.,littleleaf ratany
KRLA2,,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,winterfat
LERE5,,Leucaena retusa Benth.,littleleaf leadtree
LOIN5,,Lonicera involucrata (Richardson) Banks ex Spreng.,twinberry honeysuckle
LOUT2,,Lonicera utahensis S. Watson,Utah honeysuckle
LYPA,,Lycium pallidum Miers,pale desert-thorn
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MARE11,,Mahonia repens (Lindl.) G. Don,creeping barberry
MALUS,,Malus Mill.,apple
NEAR5,,Nekemias arborea (L.) J. Wen & Boggan,peppervine
NEAR5,AMAR5,Ampelopsis arborea (L.) Koehne,
NOMI,,Nolina microcarpa S. Watson,sacahuista
OPPO,,Opuntia polyacantha Haw.,plains pricklypear
PHMI4,,Philadelphus microphyllus A. Gray,littleleaf mock orange
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
