"Pathogen.Species","Geographic.Origin.Cluster","Invaded.Range.Cluster"
"Allantophomopsiella pseudotsugae","Eurasian.Palearctic","NE.North.America"
"Amylostereum areolatum","Eurasian.Palearctic","N.North.America"
"Amylostereum areolatum","Eurasian.Palearctic","NE.North.America"
"Amylostereum areolatum","Eurasian.Palearctic","Australia"
"Apiognomonia errabunda","Eurasian.Palearctic","N.North.America"
"Apiognomonia errabunda","Eurasian.Palearctic","NE.North.America"
"Apiognomonia errabunda","Eurasian.Palearctic","Australia"
"Apiognomonia errabunda","Eurasian.Palearctic","SE.North.America"
"Apiognomonia errabunda","Eurasian.Palearctic","W.North.America"
"Apiognomonia hystrix","Eurasian.Palearctic","Australia"
"Apiognomonia veneta","Eurasian.Palearctic","N.North.America"
"Apiognomonia veneta","Eurasian.Palearctic","NE.North.America"
"Apiognomonia veneta","Eurasian.Palearctic","Australia"
"Apiognomonia veneta","Eurasian.Palearctic","W.North.America"
"Armatella litseae","SE.Asia","Australia"
"Armillaria gallica","NE.North.America","Hawaii"
"Armillaria nabsnona","N.Pacific","Hawaii"
"Austropuccinia psidii","Amazonia","Hawaii"
"Austropuccinia psidii","Amazonia","Australia"
"Austropuccinia psidii","Amazonia","SE.North.America"
"Austropuccinia psidii","Amazonia","W.North.America"
"Botryosphaeria dothidea","SE.Asia","Eurasian.Palearctic"
"Botryosphaeria dothidea","SE.Asia","NE.North.America"
"Botryosphaeria dothidea","SE.Asia","Australia"
"Bretziella fagacearum","C.America","N.North.America"
"Bretziella fagacearum","C.America","NE.North.America"
"Bretziella fagacearum","C.America","SE.North.America"
"Calonectria colhounii","NE.North.America","Hawaii"
"Calonectria ilicicola","Eurasian.Palearctic","Hawaii"
"Calonectria indusiata","Amazonia","Hawaii"
"Calonectria pauciramosa","Subsaharan.Africa","Eurasian.Palearctic"
"Candidatus Phytoplasma ulmi","Eurasian.Palearctic","N.North.America"
"Candidatus Phytoplasma ulmi","Eurasian.Palearctic","NE.North.America"
